id,subject,level,name
8e834bd5-5d64-4d60-b105-14b2a0dce8cc,General Studies,microtopic,"Agricultural marketing, MSP and procurement"
9cb05e22-4838-47b4-82b9-0c2440d20f97,General Studies,microtopic,Agro-chemicals and their effects
89b9d2cb-b90b-4cb3-9df9-16b8b47c3317,General Studies,microtopic,Air pollution and its control
04b86c54-f0ac-4c2b-aba9-b16993a2f6dd,General Studies,microtopic,Alien species invasion
db700d76-f035-44c5-ad88-5c7272ea41d5,General Studies,microtopic,Alternative and cleaner fuels
1722f5df-cc06-4998-9c1d-f06bdfbde0ed,General Studies,microtopic,Ancient Indian literature and authors
fca7b5dd-2ae8-4169-99e6-12d6961699b1,General Studies,microtopic,Armed forces structure and ranks
5858c30e-210b-42f7-8865-e9f37e3dd77b,General Studies,microtopic,Artificial intelligence and machine learning
87041523-91f5-4bee-ab8b-efd9c53fdae9,General Studies,microtopic,Atmospheric circulation and weather systems
4971ff36-79e1-4248-8865-190607f9b929,General Studies,microtopic,Atoms and nuclei
b56a807c-ff2c-4fed-a65a-3b39dad23211,General Studies,microtopic,"Awards, honours and civilian decorations"
71716840-b028-4707-bea4-2fd3ea3b8830,General Studies,microtopic,Balance of payments
1abf068e-3a8e-45d9-a239-54987dee3085,General Studies,microtopic,Batteries and energy storage
11f635d2-5609-4ad9-8a5e-213a185b9254,General Studies,microtopic,Bhakti movement
a6df38b4-71c0-4f48-80d2-6735046e7545,General Studies,microtopic,"Biological Diversity Act, BMCs and Nagoya Protocol"
21c46069-e9a1-419f-8dba-5cca10bf64e3,General Studies,microtopic,Biotechnology and its applications
e2e8bf83-c61e-4d97-92b3-3b4e89f05d1c,General Studies,microtopic,"Blockchain, cryptocurrency and Web3"
2d384e36-6a77-4fb9-b501-4b6ba66448c4,General Studies,microtopic,"Books, authors and personalities in news"
5cd4d5a6-5d34-47e7-8f8d-f465541a446f,General Studies,microtopic,Buddhism
ae7b07ac-7a87-4183-b467-8924abb7d13f,General Studies,microtopic,Buddhist and Jain rock-cut architecture
a8939b7e-951c-4784-bdcd-598340f7d32c,General Studies,microtopic,Capital formation and human capital
64bfd004-4a03-4e2c-832f-e2277f58cede,General Studies,microtopic,Capital market instruments and bonds
741b1b26-bb16-4931-96bb-2459aa06a661,General Studies,microtopic,Carbon markets and climate metrics
9b6155ff-703a-45ba-956b-96845914c396,General Studies,microtopic,Carbon sinks and sequestration
cea3c9c5-28f6-4169-8f35-573ac83ee43c,General Studies,microtopic,Cell structure and human physiology
3b0a64fd-7626-420a-9d4e-5a4c3ead2aff,General Studies,microtopic,Central bank digital currency
7633e848-2d87-4cdd-b7d6-3d5b37bf3351,General Studies,microtopic,Centre-State relations
39f1a761-a01d-4f14-b0b5-9106e19581bf,General Studies,microtopic,Chemistry in everyday life
796be476-da1a-4b24-bae6-a6bd5eb01591,General Studies,microtopic,Citizenship and domicile
31f1d931-de4f-4574-afce-10bcffc788ef,General Studies,microtopic,Classical and folk dance
7f80d70d-e525-46db-b404-cb612d427d34,General Studies,microtopic,Climate of India
69f5f696-e1f0-4a23-95e0-447297437ac3,General Studies,microtopic,"Climate treaties, institutions and initiatives"
31cf0e35-2872-42be-81da-39e73517a6cb,General Studies,microtopic,Colonial education and social reform
1f90fbbf-7550-43c7-8127-5292227908c1,General Studies,microtopic,Colonial land revenue systems
4ae1a175-886d-4559-b1e2-a201b7207b33,General Studies,microtopic,Commercial banking and asset classification
da25c547-22e0-4588-9da6-394acc65d1ba,General Studies,microtopic,Comparative government and constitutions
7556e6ac-71df-4dd1-b2e9-94c7e525bab5,General Studies,microtopic,Composition and structure of atmosphere
a6999dcd-82e2-4d29-8ed3-741e8f8aee22,General Studies,microtopic,Conflict zones and civil wars
6c1b6671-b0aa-4be3-8427-e5dbfca61817,General Studies,microtopic,Connectivity and development partnerships
ef19b179-017a-4b69-8d81-c9b245ca681f,General Studies,microtopic,Constitutional amendment procedure
3fcb6de8-01c5-4837-a3d4-f5aff2b2f300,General Studies,microtopic,Constitutional bodies
8c060e1c-e55a-481b-9676-6d0d49874acb,General Studies,microtopic,Constitutional reforms and Government of India Acts
b0e9c565-803b-46e0-a963-a918a302c609,General Studies,microtopic,Contempt of court and judicial accountability
071d0c52-3db8-42eb-8f00-b9bc98183c54,General Studies,microtopic,Cooperative banks and regional rural banks
93bda482-3640-4157-bbc5-0abf576df936,General Studies,microtopic,Country situations in news
66802b7b-2895-40e6-85a6-7bc889d64e48,General Studies,microtopic,"Crafts, textiles and geographical indications"
2c510a52-d73c-4674-84bc-fcc5802dd07b,General Studies,microtopic,Credit rating agencies
835acb19-80b7-41b0-8878-65dce65aaabf,General Studies,microtopic,Criminal justice and prison administration
9ae14a1c-b352-469a-a214-faf0770d16fa,General Studies,microtopic,Cybersecurity and cyber threats
e5a97b06-21bf-48f8-97cc-ff70ec70164d,General Studies,microtopic,Data protection and digital governance
