id,subject,microtopic,level,factcheck_verdict,verify_fact,stem_excerpt,keyed_answer,ref,sample,reviewer,decision,fix_note,minutes_spent
ACTI-011,financial-sector-acts,Insurance Act — assignment and nomination under ss.38–39,L2,fix_needed,Y,"Notice of an assignment of a life policy is received by the insurer on 4 January 2026. The insurer believes the assignment is for trading in policies, records…",D. The insurer had to communicate by 3 February 2026; the assignee may approach IRDAI by 28 February 2026,"Insurance Act, 1938, s.38(2)-(4)",,,,,
ACTI-023,financial-sector-acts,"IRDA Act — establishment, composition and tenure",L1,fix_needed,Y,"Under s.4 of the Insurance Regulatory and Development Authority Act, 1999, IRDAI consists of:","B. A Chairperson, not more than five whole-time members and not more than four part-time members","Insurance Regulatory and Development Authority Act, 1999, s.4",,,,,
ACTI-043,financial-sector-acts,"PFRDA Act — constitution, composition and tenure",L1,fix_needed,Y,"Under s.4 of the PFRDA Act, 2013, the Authority consists of:","B. A Chairperson, three whole-time members and three part-time members","Pension Fund Regulatory and Development Authority Act, 2013, s.4",,,,,
ACTI-050,financial-sector-acts,PFRDA Act — National Pension System and intermediaries,L2,fix_needed,Y,"A pension fund has paid-up capital of ₹300 crore. Foreign holdings: a foreign company 42%, that company's subsidiary 15%, and an individual resident abroad 6%.…",A. ₹33 crore,"Pension Fund Regulatory and Development Authority Act, 2013, s.24; Insurance Act, 1938, s.2(7A) as amended by Act 40 of 2025 (74% given as hypothetical data)",,,,,
ACTI-066,financial-sector-acts,PFRDA Act — National Pension System and intermediaries,L4,fix_needed,Y,[case ACTI-CASE-PFRDA-SUVIDHA] Regarding Suvidha's 30% foreign shareholding and its proposed registration as a pension fund:,A. Permissible: the cap is the higher of 26% and the insurance limit (74% as given),"Pension Fund Regulatory and Development Authority Act, 2013, s.24; Insurance Act, 1938, s.2(7A) as amended by Act 40 of 2025 (74% given as data; current limit 100%)",,,,,
ACTI-015,financial-sector-acts,"Insurance Act — surveyors, penalties and appeals",L3,confirmed,Y,"Two insurers default in furnishing returns required by the Insurance Act, 1938: Insurer P for 64 days and Insurer Q for 1,090 days (a long-pending filing). App…",C. ₹10.64 crore,"Insurance Act, 1938, s.102 (as amended by the Sabka Bima Sabki Raksha (Amendment of Insurance Laws) Act, 2025, in force 05-02-2026)",Y,,,,
ACTI-024,financial-sector-acts,"IRDA Act — duties, powers and functions under s.14",L1,confirmed,Y,"Which category of dispute does s.14(2) of the IRDA Act, 1999 expressly empower IRDAI to adjudicate?",C. Disputes between insurers and intermediaries or insurance intermediaries,"Insurance Regulatory and Development Authority Act, 1999, s.14(2)(m)",Y,,,,
ACTI-027,financial-sector-acts,"IRDA Act — establishment, composition and tenure",L2,confirmed,Y,"A whole-time member of IRDAI, born on 14 March 1965, enters office on 1 June 2026. Under s.5 of the IRDA Act, 1999 as amended in 2025, she holds office until:",C. 14 March 2030,"Insurance Regulatory and Development Authority Act, 1999, s.5 (as amended by the Sabka Bima Sabki Raksha (Amendment of Insurance Laws) Act, 2025, in force 05-02-2026)",Y,,,,
ACTI-044,financial-sector-acts,PFRDA Act — National Pension System and intermediaries,L1,confirmed,Y,"Section 25 of the PFRDA Act, 2013 provides that a pension fund:","A. Shall not, directly or indirectly, invest the funds of subscribers outside India","Pension Fund Regulatory and Development Authority Act, 2013, s.25",Y,,,,
ACTI-053,financial-sector-acts,PFRDA Act — scope and functions of the Authority,L2,confirmed,Y,"A point of presence and an NPS subscriber dispute whether the PoP delayed transmission of the subscriber's contributions. Under s.14 of the PFRDA Act, 2013:",B. PFRDA may adjudicate it as an intermediary–subscriber dispute,"Pension Fund Regulatory and Development Authority Act, 2013, s.14(2)",Y,,,,
ACTI-062,financial-sector-acts,"PFRDA Act — penalties, adjudication and offences",L4,confirmed,Y,[case ACTI-CASE-PFRDA-SUVIDHA] The maximum penalty for Suvidha's failure to obtain registration is:,D. ₹98 lakh,"Pension Fund Regulatory and Development Authority Act, 2013, ss.27, 28(1)",Y,,,,
ACTI-067,financial-sector-acts,"IFSCA Act — application, definitions and SEZ linkage",L1,confirmed,Y,"The International Financial Services Centres Authority Act, 2019 applies to International Financial Services Centres set up under:","B. Section 18 of the Special Economic Zones Act, 2005","International Financial Services Centres Authority Act, 2019, s.2",Y,,,,
ACTI-075,financial-sector-acts,"IFSCA Act — composition, tenure and meetings",L2,confirmed,Y,"Under s.5(2) of the IFSCA Act, 2019, which member(s) must necessarily be whole-time?",A. The Chairperson only,"International Financial Services Centres Authority Act, 2019, s.5(2)",Y,,,,
