"question_id","question_number","section","assign_topic_id","proposed_topic_label","difficulty","decision","proposal_note"
"cc50dade-3511-4b41-a22e-0eb4fdc39cdb","1","General Intelligence and Reasoning","ebb5aad8-4088-4f4f-b2a9-0506b1a55072","Odd one out from a list","medium","","number sets"
"1a05a46f-d717-4e13-ba4c-54dd0718aa3b","3","General Intelligence and Reasoning","98d49687-d96b-e39c-24b2-4889fc64d54a","Word-substitution message coding","easy","","two-sentence overlap"
"706fa2bc-6966-4a80-85b3-7381e6ef088f","4","General Intelligence and Reasoning","2ba3fb21-1709-4d8b-9059-bbfee5264d8f","Letter shifting and alphabet position","medium","","cluster shift rule from examples"
"ba44f5d3-93d0-4c62-9cf0-1490376f015c","5","General Intelligence and Reasoning","7d5a08c1-a3ac-4337-8f3e-28b5762b1857","Alphabet series","medium","","fill blanks in letter series"
"84b3b827-37b0-48b5-aa36-8778c3cc0006","6","General Intelligence and Reasoning","258d7491-2b80-469d-84c9-6f9ee74b1e4d","Coded blood relation","medium","","4-symbol chain"
"b1fbb316-2601-4629-badd-3dbfab075f02","7","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","whole-number relation"
"bd733e81-150e-40d2-817c-bfb58da19cb9","9","General Intelligence and Reasoning","ba50fea4-a0f8-4254-9e5c-dbd2046eacdc","Alphanumeric and mixed series","medium","","3-letter cluster series"
"4b991806-3356-4e59-bd38-ea035d1cd438","11","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","number-set relation"
"31723ed5-c001-473d-a98d-7867f8049be0","12","General Intelligence and Reasoning","951e2be1-ea05-4684-8264-3f38ccf9bf97","Word and meaning analogy","easy","","tournament:sport"
"c5f9a1a9-aff9-4852-9747-9b65ca10b40c","13","General Intelligence and Reasoning","2ba3fb21-1709-4d8b-9059-bbfee5264d8f","Letter shifting and alphabet position","medium","","letter-shift coding; see note on paper 1 Q15"
"fa01aa8a-451c-433f-944b-06d7baedb454","14","General Intelligence and Reasoning","dad69132-676d-4a7b-be3d-1da364bd36f9","Arithmetic operation machine","medium","","operation chain across 4 terms"
"8bfee232-1c51-45eb-91cc-14c9f5cca97d","16","General Intelligence and Reasoning","01fd4d51-951b-4624-4a21-24ff77be30db","Mathematical operations - sign interchange","easy","","sign interchange then evaluate; moved per migration 306"
"98c63ad8-b802-437c-9173-84b05ccf14a1","17","General Intelligence and Reasoning","dad69132-676d-4a7b-be3d-1da364bd36f9","Arithmetic operation machine","medium","","which ops to interchange"
"ea796c7f-fbb1-48b4-8d77-cce6928c8735","20","General Intelligence and Reasoning","eec9932e-256a-18d5-0dab-59a425f911a1","Number series","easy","","squares series; needs Number series leaf; filled from migration 306"
"f10a5241-6312-4be7-af97-0019a4267d6d","21","General Intelligence and Reasoning","ee63d21f-3ff5-4193-975f-7e6c04a59c89","Three or more statement syllogism","medium","","3 statements, 3 conclusions"
"a60ab426-cb7a-4a10-9d70-1414b4c95168","22","General Intelligence and Reasoning","98d49687-d96b-e39c-24b2-4889fc64d54a","Word-substitution message coding","easy","","common word across two codes"
"84ce3dce-791d-4362-9050-d5b6d325016a","23","General Intelligence and Reasoning","2ba3fb21-1709-4d8b-9059-bbfee5264d8f","Letter shifting and alphabet position","hard","","transform then count gap between positions"
"842dd733-04ca-4169-ab25-38467438a577","24","General Intelligence and Reasoning","ebb5aad8-4088-4f4f-b2a9-0506b1a55072","Odd one out from a list","medium","","letter clusters"
"3e6268a5-9704-48fa-9e9c-5165f0ff68b0","51","Quantitative Aptitude","9ea559c5-2c7b-49b4-8ab0-98938fd471df","Simple and compound interest","easy","","SI rate from amount ratio"
"7c26ae1a-56cf-42f7-821c-5cfbd4c6dab2","52","Quantitative Aptitude","61f760f9-681d-4ec9-9c5c-bfe750fcf5fe","Percentage increase and decrease","hard","","price/consumption with fixed expenditure"
"28ab1165-17ef-4213-add5-e9222449208e","53","Quantitative Aptitude","f5c68108-e718-4a7e-b546-d07e543534b5","Relative speed and meeting problems","medium","","chase with head start"
"21a9b1b6-8f03-46f1-9f7a-48df3f34af85","54","Quantitative Aptitude","ce23f17b-f621-46b0-bb72-fc926a0be3d4","Tabular data interpretation","easy","","max:min ratio"
"5c1c9bbf-327c-43f0-a5ff-287b966c2e59","55","Quantitative Aptitude","5d6007fc-1b29-498d-bd19-6a50b296f041","BODMAS and order of operations","easy","","'of' precedence"
"0964f3ea-8334-4073-b1de-6cbdecea2c07","56","Quantitative Aptitude","a704c46a-26db-43f5-9ece-3e339a15ac3b","Circle - area, circumference and sectors","medium","","sector area from arc length and angle"
"2c3bc0bb-16a0-43c3-a2e6-a84c0a47dcfa","58","Quantitative Aptitude","c5d44e15-072a-4557-ad7d-f61221fe61c7","Volume and surface area of solids","medium","","cylinder CSA ratio"
"796dc869-d012-409f-b106-050741dd8887","59","Quantitative Aptitude","80dd720e-8f81-fc7e-b319-eb1b1ac461df","Trigonometric ratios and identities","easy","","single identity"
"42cda424-fbcc-4aa6-aa1b-b7b940ddc4bd","60","Quantitative Aptitude","21fb2f26-ef41-477c-a8eb-2717f20b6083","Pipes and cisterns","hard","","when to close B for fixed total time"
"8f3633b1-0d96-4055-beb6-e2685b05b148","61","Quantitative Aptitude","80dd720e-8f81-fc7e-b319-eb1b1ac461df","Trigonometric ratios and identities","medium","","expression from tan value"
