slug	exams	name	topic
gk-astronomy-and-celestial-nomenclature-2a3ffcbd		Astronomy and celestial nomenclature	General Science
gk-computing-and-artificial-intelligence-6e37bb35		Computing and artificial intelligence	General Science
gk-digital-public-platforms-and-e-governance-technology-9cd7508b		Digital public platforms and e-governance technology	General Science
gk-scientific-and-research-institutions-76a19811		Scientific and research institutions	General Science
gk-solar-system-and-planetary-science-d6341c32		Solar system and planetary science	General Science
gk-space-missions-and-spacecraft-be67a432		Space missions and spacecraft	General Science
gk-units-and-scales-of-measurement-7ec529d3		Units and scales of measurement	General Science
gk-biodiversity-and-wildlife-conservation-f3eb33b4		Biodiversity and wildlife conservation	Geography
gk-climate-and-ocean-atmosphere-phenomena-8085d1da		Climate and ocean-atmosphere phenomena	Geography
gk-countries-capitals-and-territorial-extent-08a65697		Countries, capitals and territorial extent	Geography
gk-crops-cropping-seasons-and-leading-producer-states-46076cd2		Crops, cropping seasons and leading producer states	Geography
gk-geographical-indication-tags-and-crafts-702bae58		Geographical indication tags and crafts	Geography
gk-landmarks-and-monuments-f8f158ed		Landmarks and monuments	Geography
gk-major-dams-and-river-valley-projects-6549644d		Major dams and river valley projects	Geography
gk-mineral-resources-and-mining-sites-4f735f5b		Mineral resources and mining sites	Geography
gk-mountain-ranges-and-peaks-a77bd767		Mountain ranges and peaks	Geography
gk-rivers-of-the-world-54deb0d8		Rivers of the world	Geography
gk-transport-corridors-and-ports-1ab12f3b		Transport corridors and ports	Geography
gk-world-heritage-and-protected-sites-de04e103		World Heritage and protected sites	Geography
gk-agriculture-and-rural-energy-schemes-ebe9a56e		Agriculture and rural energy schemes	Indian Economy
gk-biofuel-and-renewable-energy-projects-35abd79c		Biofuel and renewable energy projects	Indian Economy
gk-environmental-clearance-and-industrial-approvals-2be607e8		Environmental clearance and industrial approvals	Indian Economy
gk-multilateral-development-finance-in-india-8639dac3		Multilateral development finance in India	Indian Economy
gk-rural-livelihood-and-skill-development-missions-4bc24cc0		Rural livelihood and skill development missions	Indian Economy
gk-rural-road-connectivity-schemes-96871e9e		Rural road connectivity schemes	Indian Economy
gk-self-help-groups-and-rural-women-5ae33d37		Self-help groups and rural women	Indian Economy
gk-urban-development-and-governance-missions-9e53e37f		Urban development and governance missions	Indian Economy
