year,question_number,question_id,classification,test_fired,reason,confidence,prior_combined,changed
2023,1,06a71546-9158-4fe8-bc64-b5a1f84f9ce4,PERISHABLE,T2,BSR anniversary count tied to October 2022 (rule §2 T2 example),high,PERISHABLE,no
2023,2,a2d5fb94-dfdd-4b55-9f4b-6de9fa8aa402,PERISHABLE,T1,FRB share of issuances for 2022-23 (rule §2 T1 example),high,PERISHABLE,no
2023,3,464407e5-93ca-4d89-a707-b74f17271000,PERISHABLE,T2,Gender-parity leader in that year's index (rule §2 T2 example),high,PERISHABLE,no
2023,4,a86a0030-3ae4-400d-ae2d-a146919e6bea,PERISHABLE,T1,Civilian honour conferred on the President (rule §2 T1 example),high,PERISHABLE,no
2023,5,ba69621f-99ba-442c-9d13-5ae8db01c04d,DURABLE,T3,Scheme design threshold (rule §2 T3 example),medium,DURABLE,no
2023,6,ff2a43cf-19d2-4b71-9e78-815af74a91a9,DURABLE,T3,Fixed project geography (rule §2 T3 example),medium,DURABLE,no
2023,7,3539cfd7-1980-4538-9e4e-651f2e663682,PERISHABLE,T1,NITI Aayog initiative launched at a dated visit (rule §2 T1 example),high,PERISHABLE,no
2023,8,c6eb9d90-7e69-422d-918e-478ba00876c7,PERISHABLE,T1,Economic Survey growth forecast for a stated year (rule §2 T1 example),high,PERISHABLE,no
2023,9,d4ce74ef-4c4d-4e3e-834c-5a1e2da5321e,PERISHABLE,T1,Inauguration of first international cruise vessel (rule §2 T1 example),high,PERISHABLE,no
2023,10,dc375824-9bd8-42ee-a07b-acdf2ac88636,DURABLE,T3,Full form of a TRAI facility (rule §2 T3 example),medium,DURABLE,no
2023,11,4dd92204-71ba-458a-9500-48a79bcc87bd,PERISHABLE,T1,CAG selected as external auditor - appointment (rule §2 T1 example),high,PERISHABLE,no
2023,12,92ec9348-e725-4bc2-86c1-6484d7617e01,DURABLE,T3,Forum membership (rule §2 T3 example),medium,DURABLE,no
2023,13,779435d4-7055-45c5-a488-1f384541c7ce,PERISHABLE,T1,PLI sector performance per a DPIIT data release,medium,PERISHABLE,no
2023,14,828f8e49-5f89-434a-8d4c-dce4ada36b90,DURABLE,T3,Common membership of ASEAN and BIMSTEC (rule §2 T3 example),medium,DURABLE,no
2023,15,44ce8df3-df4e-43bf-9d39-a821dafa06e6,DURABLE,T3,Statutory MPC rule (rule §2 T3 example),medium,DURABLE,no
2023,16,6001a265-5a4e-4f10-8209-57ab1bf98c83,PERISHABLE,T1,Branch-growth leader for FY 2022-23,high,PERISHABLE,no
2023,17,b89a3e1c-57bb-4aae-8e2a-0c9e914cf3f9,DURABLE,T3,DPI base period (rule §2 T3 example),medium,DURABLE,no
2023,18,a333bbf9-fdbe-4896-9c05-56b42367ffed,DURABLE,T3,Institutional mascots (rule §2 T3 example),medium,DURABLE,no
2023,19,adaf7230-321a-4eec-b993-97639fcbcb53,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2023,20,568ded3d-be7c-40ea-9a7f-158457df1ddf,PERISHABLE,T1,Budget 2023-24 allocation figures,high,PERISHABLE,no
2023,21,dde30b8f-dfc9-4401-99e4-c2eed0653cd6,PERISHABLE,T1,Bank that launched a named portal,high,PERISHABLE,no
2023,22,cf7c64b7-c5c5-46dc-a84a-43207cef04db,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2023,23,d7922705-0b2c-4951-9181-b2d15370bd9c,PERISHABLE,T1,MoU signing partner,high,PERISHABLE,no
2023,24,18f853c3-ce55-45eb-a81f-be96333dcbe0,PERISHABLE,T1,ECB 25th-anniversary occasion,medium,PERISHABLE,no
2023,25,e3f0fa96-1e21-4308-8b6b-e29caa3236ce,PERISHABLE,T1,First stock to cross Rs 1 lakh - market event,high,PERISHABLE,no
2023,26,6cae56ac-d728-447c-a155-ad062d02e25c,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2023,27,ed85a17d-941f-426c-b997-fbda496d4843,PERISHABLE,T1,Launcher of a dashboard launched June 2023,medium,DURABLE,yes
2023,28,31907b64-c79f-4ceb-882a-88b2a33207f5,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2023,29,0f70f032-86ad-4a9d-8dab-dc7c694f6f78,PERISHABLE,T2,NIRF 2023 rankings,high,PERISHABLE,no
2023,30,d599a55c-74fb-4b0a-a2a5-9cb96c250c38,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2023,31,c71d1019-cdb5-49bf-a290-8c4934b8ac38,DURABLE,T3,LIC asset allocation - structural; figures in stem are context (§3.1),medium,PERISHABLE,yes
2023,32,a5817e98-78ab-4dbd-abb2-27f1e3c22b35,DURABLE,T3,Policy pillars - scheme design (§3.4),medium,DURABLE,no
2023,33,779e152e-0400-4c63-8a9b-8d474c4407fc,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2023,34,92d4dab5-29a2-4ea2-a544-a105d8dcc623,PERISHABLE,T1,Household-savings share for 2022-23,high,PERISHABLE,no
2023,35,3224fa53-8136-48dc-adbd-43fa99bba0f1,PERISHABLE,T1,CBDC pilot launch date,medium,DURABLE,yes
2023,36,66d95685-ad8f-4372-b481-9a41bc8d2f51,PERISHABLE,T1,Small-savings rate for a stated quarter,high,PERISHABLE,no
2023,37,07ec5f4f-506f-49a4-b325-850d1aea8ef9,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2023,38,fb85f00d-5fa9-4fe8-aaaa-239e35d338f7,PERISHABLE,T1,Signatories of a dated declaration,medium,DURABLE,yes
2023,39,ee1c526a-1da6-4de1-9686-7a8e5e37adde,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2023,40,646fe96f-61b0-4645-b460-b210d2f97da5,PERISHABLE,T2,Chair of B20 under a dated G20 presidency,high,PERISHABLE,no
2023,41,920648ed-bb31-4e77-bada-88659f9bd8ad,DURABLE,T3,Committee composition - design (§3.4),medium,DURABLE,no
2023,42,bd3d649a-e201-4113-8b56-ac6b79022eb0,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2023,43,a4b2c61b-cfa6-4096-8bb2-a27bbab9016e,DURABLE,T3,Statement attributed to a named RBI Annual Report (§3.3),medium,PERISHABLE,yes
2023,44,70ec8b68-f75d-4f26-96e9-f91436d03b9a,PERISHABLE,T1,Professional forecasters survey figures for 2023-24,high,PERISHABLE,no
2023,45,740ab0f8-3705-49a3-a375-46e52682be94,PERISHABLE,T1,Assembly terms relative to January 2024,medium,PERISHABLE,no
2023,46,c3f3f398-3537-4897-83f9-208043670daa,DURABLE,T3,"Current base year, no date in stem (§3.1)",medium,DURABLE,no
2023,47,f325058f-1c5e-435d-9c74-ed805923ebaf,DURABLE,T3,"Launch year of flagship missions - fixed history, not a current-affairs occasion",medium,DURABLE,no
2023,48,c8a89a5b-7f4f-4290-b18d-fd44672489cf,DURABLE,T3,UPSI event list - regulatory design (§3.4),medium,DURABLE,no
2023,49,a728015a-edac-4246-8609-3e4890ca001a,PERISHABLE,T1,Prize conferred on a named scientist,high,PERISHABLE,no
2023,50,39f753a0-722b-4749-9679-9bbf0a5107cc,PERISHABLE,T1,Category of the 2023 Malaysia Masters,medium,PERISHABLE,no
2023,51,0229dee0-40e9-4af5-a6e6-1e7bb4ec1a4a,PERISHABLE,T2,State Food Safety Index top states,high,PERISHABLE,no
2023,52,fa8af60b-8e86-4400-8911-ac2d56ecc684,PERISHABLE,T1,Agriculture GVA share for 2022-23,high,PERISHABLE,no
2023,53,e62ee044-1c93-40af-b4cd-d1926efcec11,PERISHABLE,T1,Services-export contributor for Apr-Dec 2021,high,PERISHABLE,no
2023,54,ece24678-98ac-427f-9044-df2546c45e65,PERISHABLE,T2,Top FDI source countries for FY23,high,PERISHABLE,no
2023,55,89def589-836a-4d4d-9933-9081ec2cea5f,PERISHABLE,T1,Twenty Point Programme achievement figure,high,PERISHABLE,no
2023,56,13a60b17-c78d-4d04-8eb8-cddd11a4165d,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2023,57,cc8b82f4-0a2e-4ce5-a071-4278b0bb21cb,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2023,58,4e97483b-787b-4b3d-b50f-c6ea37dd26b0,PERISHABLE,T1,US rejoining UNESCO - dated event,high,PERISHABLE,no
2023,59,8465c7fd-8cfe-4b7f-a3a7-4d51b2fe9653,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2023,60,fc688826-eec8-4593-9f75-90a67a191e68,DURABLE,T3,"Composition of a commemorative coin - property of the object, not the occasion",medium,DURABLE,no
2023,61,72b60dc6-6ac5-4560-9869-1bbbcb48bb92,PERISHABLE,T1,NPS subscription figures per Economic Survey 2022-23,high,PERISHABLE,no
2023,62,8a06af86-118d-4089-af14-20f64728ddd7,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2023,63,e5c98da9-732f-40c7-aac2-cc1d05c5e6d6,DURABLE,T3,Definition of transition bonds (§3.4),medium,DURABLE,no
2023,64,9d689a3a-0f88-4927-bb18-0500b0c79819,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2023,65,b9d6a044-93fd-439d-b2d2-fccd2b5bc02c,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2023,66,2072bcce-cf00-44b7-b6e0-ba6f707ec04f,PERISHABLE,T2,Current CIO of the SWAMIH fund,high,PERISHABLE,no
2023,67,8ce49aa5-bda8-438c-ac00-92e28ab53677,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2023,68,0453ae7c-d895-45c3-af13-8ad11ae01751,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
2023,69,d45288ea-3086-455e-a2f7-3b86ccb182ca,PERISHABLE,T1,Themes of a dated SAI20 summit,medium,PERISHABLE,no
2023,70,1e23b271-6759-40c2-845a-93b0f48c4f61,DURABLE,T3,Location of the climate clock,medium,DURABLE,no
2023,71,67c276e5-2f91-45f5-b1d7-33d38a4bd376,DURABLE,T3,"Residual: static fact, structural rule or current value with no dated anchor",high,DURABLE,no
