id,subject,microtopic,level,factcheck_verdict,verify_fact,stem_excerpt,keyed_answer,ref,sample,reviewer,decision,fix_note,minutes_spent
CST-003,costing,Cost accounting vs financial accounting,L1,confirmed,Y,"Consider the following statements: 1. Maintenance of cost records is mandatory for every company registered under the Companies Act, 2013. 2. Financial account…",B. 2 and 3 only,"Companies Act, 2013 s.148; Companies (Cost Records and Audit) Rules, 2014 (applicability by industry/turnover).",Y,,,,
CST-001,costing,5S and the sixth S,L1,not_flagged,N,"In the 5S workplace-organisation system, the step called **Seiketsu** refers to:",D. Standardise — fixing norms so that the first three S's become routine,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
CST-002,costing,Cellular manufacturing / one-piece flow,L1,not_flagged,N,Which of the following best describes **cellular manufacturing**?,B. Grouping the different machines for a product family so units flow one piece at a time,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
CST-004,costing,Cost control vs cost reduction,L1,not_flagged,N,Which statement correctly distinguishes **cost reduction** from **cost control**?,C. Reduction lowers unit cost permanently without impairing utility; control keeps costs within standards,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
CST-005,costing,Direct vs indirect costs,L1,not_flagged,N,A factory makes several products. Which of the following is normally treated as a **direct** cost of a product?,C. Royalty paid to a patent holder per unit of that product made,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
CST-006,costing,Imputed and notional costs,L1,not_flagged,N,"Interest on the proprietor's own capital, charged in the cost accounts to compare two projects on equal terms although no cash is paid, is an example of:",A. Imputed (notional) cost,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
CST-007,costing,Introduction to cost and management accounting,L1,not_flagged,N,Which of the following is a **cost unit** rather than a cost centre?,B. Tonne-kilometre in a road transport undertaking,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
CST-008,costing,Introduction to lean system and the wastes,L1,not_flagged,N,Match the lean waste with the example: | Waste | Example | |---|---| | P. Over-processing | 1. Polishing an internal surface that the customer never sees | | Q…,"A. P-1, Q-2, R-3, S-4",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
CST-009,costing,Just-in-Time and pull systems,L1,not_flagged,N,"**Assertion (A):** Under a Just-in-Time system, a manufacturer aims to hold near-zero stocks of raw materials and work-in-progress. **Reason (R):** JIT is a pu…","B. A is true, but R is false",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
CST-010,costing,MRP II,L1,not_flagged,N,MRP II extends MRP I principally by:,"D. Linking material plans with capacity, finance and marketing in a closed loop",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
