question_id,year,paper_id,section_id,section_label,question_number,question_text_excerpt,subject_slug,subject_id,topic_id,topic_level,topic_name,observed_difficulty,confidence,notes
d3320121-9bad-40c6-9718-29b67e8db354,2022,4f15f17d-542b-421e-81d0-b6280ea7c67b,0f4220a4-c76c-4635-9b80-6818f136c8e3,Economic & Social Issues,4,"Despite spread of urbanization in villages, challenges such as race, caste, gender discrimination still persist. In this context, what are t",economic-social-issues,1a874661-957e-4c81-a90f-b0634834d889,f7deb105-9d9d-49b6-a74a-d4f431e10c0c,microtopic,Constitutional amendments and reservation,medium,high,Protective discrimination = constitutional reservation policy; direct fit.
bd531f69-a76f-45d3-b4b9-adda3a73c2b7,2022,4f15f17d-542b-421e-81d0-b6280ea7c67b,0f4220a4-c76c-4635-9b80-6818f136c8e3,Economic & Social Issues,5,What is meant by economic reforms? Discuss the Economic reforms in India from 1990s till date.,economic-social-issues,1a874661-957e-4c81-a90f-b0634834d889,9a64933c-c2fa-4db6-aed5-2b87f33c8202,microtopic,Economic reforms of 1991 and liberalisation,medium,high,Dominant part is the 1990s reform trajectory; definition is the lead-in.
88258b85-d496-48af-a13f-4315b159d24c,2022,4f15f17d-542b-421e-81d0-b6280ea7c67b,0f4220a4-c76c-4635-9b80-6818f136c8e3,Economic & Social Issues,6,“Financial stability is essential to any financial institution/business.” Discuss in the light of financial stability report of RBI and econ,economic-social-issues,1a874661-957e-4c81-a90f-b0634834d889,0893cd2f-eb6e-4259-ab1b-d5e7784f3de8,microtopic,Financial stability assessment and reporting,medium,high,Anchored on the RBI Financial Stability Report; direct fit.
faa1c5c1-0f09-4457-984d-56e010f44afd,2022,4f15f17d-542b-421e-81d0-b6280ea7c67b,0f4220a4-c76c-4635-9b80-6818f136c8e3,Economic & Social Issues,7,What are the challenges associated with rural entrepreneurship? How young enterprises can solve these problems?,economic-social-issues,1a874661-957e-4c81-a90f-b0634834d889,13d98721-2736-444f-82db-ecb3bb0fdddc,microtopic,Rural entrepreneurship and business incubation,medium,high,Rural entrepreneurship challenges and incubation; direct fit.
1bec3f57-7195-4dea-a6fd-74b909fa39a3,2022,4f15f17d-542b-421e-81d0-b6280ea7c67b,0f4220a4-c76c-4635-9b80-6818f136c8e3,Economic & Social Issues,8,Write a short note on current monetary policy framework in India,economic-social-issues,1a874661-957e-4c81-a90f-b0634834d889,d5110ca8-291e-4287-a8ff-2cd5093ce271,microtopic,Monetary policy framework and inflation targeting,easy,high,Short note on the standing MPC framework; bare framework recall.
f130450d-172a-4146-8627-9e624103b3a6,2022,4f15f17d-542b-421e-81d0-b6280ea7c67b,0f4220a4-c76c-4635-9b80-6818f136c8e3,Economic & Social Issues,9,What is NBFC? How is it different from banks? What are the five types of NBFCs registered with RBI?,finance,eb273a33-ea0e-4ca7-ac8f-32afe2be5d48,e8fccc09-a2c9-4076-a001-ad1c2378a23f,microtopic,"NBFC categories ΓÇö IFC, Factor, P2P",medium,high,"CROSS-SUBJECT: ESI section, finance tag. NBFC categories registered with RBI."
70eb87f0-2f2a-43e0-80ab-b8faa79bf685,2022,4f15f17d-542b-421e-81d0-b6280ea7c67b,a1136d93-55dc-4323-89af-d24ccd7c418b,Finance & Management,10,What is communication? What are the common barriers to interpersonal communication in an organization? How can these barriers be reduced by ,management,4b80764c-9c9e-4c31-be3b-b51a1a818b9c,ac3da1f3-1a00-4666-ba67-1e02a8eb32f1,microtopic,Psychological barriers,medium,low,LOW: question spans all three barrier leaves (semantic/psychological/cultural); catalogue has no generic communication-barriers leaf. Psychological barriers chosen as the widest.
f7b5020a-01e9-4ded-999c-aa40402f8158,2022,4f15f17d-542b-421e-81d0-b6280ea7c67b,a1136d93-55dc-4323-89af-d24ccd7c418b,Finance & Management,11,Why is change resisted in an organization? What can the management do to overcome it?,management,4b80764c-9c9e-4c31-be3b-b51a1a818b9c,c3f45149-5b60-442a-a1de-917f2d39dfb6,microtopic,Process improvement approaches,medium,low,LOW: RBI management catalogue has NO resistance-to-change or change-management leaf. Process improvement is the nearest organisational-change leaf. Catalogue gap.
64ba76e2-5065-4c43-bec0-76e9119a5270,2022,4f15f17d-542b-421e-81d0-b6280ea7c67b,a1136d93-55dc-4323-89af-d24ccd7c418b,Finance & Management,12,"What do you understand by blockchain technology. In the current era, where blockchain is at its peak, will it disrupt banking?",finance,eb273a33-ea0e-4ca7-ac8f-32afe2be5d48,84bc7a94-9656-46c9-9de1-fd3340e27473,microtopic,"CBDC, stablecoins and crypto policy",medium,medium,Blockchain disrupting banking; nearest leaf is the CBDC/stablecoin/crypto policy one. No standalone blockchain-technology leaf.
09fd1c62-bce0-421a-8b4d-3bfc2441af8c,2022,4f15f17d-542b-421e-81d0-b6280ea7c67b,a1136d93-55dc-4323-89af-d24ccd7c418b,Finance & Management,13,What is targeted long-term repo operations (TLTRO)?,finance,eb273a33-ea0e-4ca7-ac8f-32afe2be5d48,bad0e283-9954-4173-82e8-29efa9aa37a5,microtopic,"Monetary policy operations ΓÇö SDF, VRRR, LAF",medium,high,TLTRO is an LAF-family liquidity operation; medium not easy because it is an RBI-specific instrument.
