"question_id","question_number","section","assign_topic_id","proposed_topic_label","difficulty","decision","proposal_note"
"a433c4ea-668f-4f72-8942-94baf8dfed59","1","General Intelligence and Reasoning","dad69132-676d-4a7b-be3d-1da364bd36f9","Arithmetic operation machine","medium","","interchange two numbers"
"28585e30-8de2-4c7d-806f-d88398a5b397","2","General Intelligence and Reasoning","98d49687-d96b-e39c-24b2-4889fc64d54a","Word-substitution message coding","medium","","three coded sentences"
"c7ce3485-277c-4bcd-bc10-72adbe3ec995","4","General Intelligence and Reasoning","479587ab-2cef-4046-9da4-c0ca924e8ef6","Word formation from given letters","easy","","alphabetical reorder, unchanged positions"
"f25c257d-aaa0-456c-b237-7b85c991dd92","5","General Intelligence and Reasoning","ba50fea4-a0f8-4254-9e5c-dbd2046eacdc","Alphanumeric and mixed series","medium","","letters plus numbers"
"2d63814b-21d0-480e-a367-66709d1a5125","6","General Intelligence and Reasoning","951e2be1-ea05-4684-8264-3f38ccf9bf97","Word and meaning analogy","easy","","synonym pair"
"b0d7b555-fea6-4596-a153-563a8d4364a3","7","General Intelligence and Reasoning","eec9932e-256a-18d5-0dab-59a425f911a1","Number series","medium","","30,20,?,60,140; needs Number series leaf; filled from migration 306"
"c1185575-6789-4bb7-9fb5-55bc0e8be9cd","9","General Intelligence and Reasoning","ebb5aad8-4088-4f4f-b2a9-0506b1a55072","Odd one out from a list","medium","","letter clusters"
"64fb8992-1f1f-4f8e-afb5-6a9fdfaf5629","10","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","number-pair relation"
"fc5bc983-07b9-4372-8f26-5cbebbd27784","11","General Intelligence and Reasoning","ebb5aad8-4088-4f4f-b2a9-0506b1a55072","Odd one out from a list","medium","","numbers"
"3be3cb86-f938-4f41-82f2-ba2f7f87ccf7","12","General Intelligence and Reasoning","7d5a08c1-a3ac-4337-8f3e-28b5762b1857","Alphabet series","medium","","fill blanks in letter series"
"d5c4e748-b489-40cd-9c6a-8792a076ec3e","13","General Intelligence and Reasoning","2ba3fb21-1709-4d8b-9059-bbfee5264d8f","Letter shifting and alphabet position","medium","","shift rule from two examples"
"3bbb5749-ad91-4d7f-a738-80c59ac78ec0","14","General Intelligence and Reasoning","01fd4d51-951b-4624-4a21-24ff77be30db","Mathematical operations - sign interchange","easy","","sign interchange; moved per migration 306"
"9f8c65b5-a125-4c2d-822a-9db181b69af5","15","General Intelligence and Reasoning","258d7491-2b80-469d-84c9-6f9ee74b1e4d","Coded blood relation","medium","","symbol chain"
"2e0d560d-ae9a-4f58-9788-1e9500314d30","17","General Intelligence and Reasoning","ba50fea4-a0f8-4254-9e5c-dbd2046eacdc","Alphanumeric and mixed series","medium","","3-letter cluster series"
