question_number,option_label,option_id,question_id,option_text
1,a,b9ce3d47-f552-41fc-a75e-ddf69b214e47,54e8305d-a038-4099-bb86-d1fb5e925b3e,"1, 2 and 3 only"
1,b,a2c2812f-6ca8-4a91-9d43-ce25d2768968,54e8305d-a038-4099-bb86-d1fb5e925b3e,"1, 2 and 4 only"
1,c,50c44e06-3d5f-4c04-945a-e78acabd1493,54e8305d-a038-4099-bb86-d1fb5e925b3e,"1,3 and 4 only"
1,d,c03a996f-ba3f-4479-ac77-50fbc042f526,54e8305d-a038-4099-bb86-d1fb5e925b3e,"2, 3 and 4 only"
2,a,45c36ed3-6b07-4dc4-8c2c-acda6966f386,1b396279-3e99-4ea2-becb-efbe2179f5d9,1 and 2 only
2,b,492d0bfa-3271-4545-8f0d-f386b7d7e07f,1b396279-3e99-4ea2-becb-efbe2179f5d9,4 only
2,c,e4e9ae92-65a3-4459-b416-f7d3ae4624b4,1b396279-3e99-4ea2-becb-efbe2179f5d9,1 and 3 only
2,d,bdf29861-71c0-4594-821b-b6699c1e0c42,1b396279-3e99-4ea2-becb-efbe2179f5d9,"2, 3 and 4 only"
3,a,4b3a1a3a-187a-4e2b-b807-02e893b121ff,d4647efe-2a93-42c5-9859-74a87c83ee81,1 only
3,b,9e7b7e16-baf4-44c9-bffe-2e4a929db2f3,d4647efe-2a93-42c5-9859-74a87c83ee81,2 only
3,c,ca988c42-c876-473d-bee5-c990ebaadcb1,d4647efe-2a93-42c5-9859-74a87c83ee81,Both 1 and 2
3,d,c7418cdc-43aa-4838-b8ad-b06369f82e50,d4647efe-2a93-42c5-9859-74a87c83ee81,Neither 1 nor 2
4,a,a08b9c48-e493-42ac-9e92-69d94d8854ed,d2892ad6-97a9-43e2-abe9-13b75adb8c11,1 only
4,b,77c0833c-98b2-44c7-bee9-f0496c7eeca2,d2892ad6-97a9-43e2-abe9-13b75adb8c11,2 and 3 only
4,c,5969f840-5b7d-4c32-ab33-33d920fd4c65,d2892ad6-97a9-43e2-abe9-13b75adb8c11,2 only
4,d,09b0ee5d-a579-4b9c-9712-54905f096944,d2892ad6-97a9-43e2-abe9-13b75adb8c11,"1, 2 and 3"
5,a,58ace364-2ba8-4f06-a8c2-97500abcae54,c3924051-cf9a-46dc-8963-0b5dfa227a7d,1 and 2 only
5,b,3fe460b8-b57b-450a-8da1-12c7004b46b2,c3924051-cf9a-46dc-8963-0b5dfa227a7d,2 and 3 only
5,c,3487a15c-49c5-4c54-9162-f5aa5579347f,c3924051-cf9a-46dc-8963-0b5dfa227a7d,1 and 3 only
5,d,fe357e95-9ee9-4532-bd31-f75f454a5c12,c3924051-cf9a-46dc-8963-0b5dfa227a7d,"1, 2 and 3"
6,a,066c5ace-4383-410b-937d-c9447964598e,7aba3f5e-a58d-43d4-a9c8-04ab69524196,East of Aksai Chin
6,b,21eec929-bff3-4d44-85c1-d1d82e98fa41,7aba3f5e-a58d-43d4-a9c8-04ab69524196,East of Leh
