slug	exams	name
econ-accelerator-3b5f1b3b	ifsca,pfrda,sebi	Accelerator
econ-automatic-stabilisers-702efc98	ifsca,pfrda,sebi	Automatic stabilisers
econ-balance-of-payments-current-and-capital-account-45c3f9c0	ifsca,pfrda,sebi	Balance of payments — current and capital account
econ-bandwagon-snob-and-veblen-effects-a10ab797	ifsca,pfrda,sebi	Bandwagon, snob and Veblen effects
econ-bank-for-international-settlements-454ffa6e	ifsca	Bank for International Settlements
econ-business-cycle-phases-ce29f12d	ifsca,pfrda,sebi	Business cycle phases
econ-consumer-surplus-and-producer-surplus-e7d272df	ifsca,pfrda,sebi	Consumer surplus and producer surplus
econ-consumption-function-and-marginal-propensity-to-consume-e3a17eb7	ifsca,pfrda,sebi	Consumption function and marginal propensity to consume
econ-cost-push-inflation-40733bbb	ifsca,pfrda,sebi	Cost-push inflation
econ-countercyclical-fiscal-policy-8353b9d6	ifsca,pfrda,sebi	Countercyclical fiscal policy
econ-cournot-s-oligopoly-model-a42a7bab	ifsca,pfrda,sebi	Cournot's oligopoly model
econ-currency-depreciation-vs-devaluation-19af4d8b	ifsca,pfrda,sebi	Currency depreciation vs devaluation
econ-current-account-deficit-ab1a55a9	ifsca,pfrda,sebi	Current account deficit
econ-demand-for-money-transactions-precautionary-speculative-0c364c3e	ifsca,pfrda,sebi	Demand for money — transactions, precautionary, speculative
econ-demand-pull-inflation-031d3f14	ifsca,pfrda,sebi	Demand-pull inflation
econ-direct-vs-indirect-monetary-instruments-omo-crr-slr-repo-msf-5acdce3b	ifsca,pfrda,sebi	Direct vs indirect monetary instruments — OMO, CRR, SLR, repo, MSF
econ-equilibrium-from-demand-and-supply-functions-426a9def	ifsca,pfrda,sebi	Equilibrium from demand and supply functions
econ-equilibrium-in-goods-and-money-markets-2e0d3115	ifsca,pfrda,sebi	Equilibrium in goods and money markets
econ-exchange-rate-regimes-1e2fe487	ifsca,pfrda,sebi	Exchange rate regimes
econ-factor-cost-vs-market-price-cb46f465	ifsca,pfrda,sebi	Factor cost vs market price
econ-fiscal-deficit-definition-and-components-b87d5782	ifsca,pfrda,sebi	Fiscal deficit — definition and components
econ-fisher-equation-of-exchange-2488e304	ifsca,pfrda,sebi	Fisher equation of exchange
econ-foreign-direct-investment-modes-and-routes-07866e15	ifsca,pfrda,sebi	Foreign direct investment — modes and routes
econ-gdp-gnp-nnp-and-ndp-concepts-f27e4274	ifsca,pfrda,sebi	GDP, GNP, NNP and NDP concepts
econ-gva-at-basic-price-vs-gdp-1a663a89	ifsca,pfrda,sebi	GVA at basic price vs GDP
econ-government-borrowings-classification-b7561916	ifsca,pfrda,sebi	Government borrowings classification
econ-iosco-9b4330e4	ifsca	IOSCO
econ-is-curve-derivation-9817e34a	ifsca,pfrda,sebi	IS curve derivation
econ-indian-fiscal-year-and-budget-calendar-9fa29275	ifsca,pfrda,sebi	Indian fiscal year and budget calendar
econ-inflation-targeting-framework-and-the-mpc-692592a1	ifsca,pfrda,sebi	Inflation targeting framework and the MPC
econ-international-monetary-fund-quota-sdr-facilities-15695c49	ifsca,pfrda,sebi	International Monetary Fund — quota, SDR, facilities
econ-investment-function-and-marginal-efficiency-of-capital-2c978015	ifsca,pfrda,sebi	Investment function and marginal efficiency of capital
econ-keynesian-effective-demand-ba834e09	ifsca,pfrda,sebi	Keynesian effective demand
econ-kinked-demand-curve-and-price-rigidity-8858faca	ifsca,pfrda,sebi	Kinked demand curve and price rigidity
econ-lm-curve-derivation-0cd643c1	ifsca,pfrda,sebi	LM curve derivation
econ-law-of-demand-and-exceptional-demand-4c31a6e4	ifsca,pfrda,sebi	Law of demand and exceptional demand
econ-law-of-supply-and-market-equilibrium-454c8325	ifsca,pfrda,sebi	Law of supply and market equilibrium
econ-leading-and-lagging-economic-indicators-220577bc	ifsca,pfrda,sebi	Leading and lagging economic indicators
econ-limitations-of-national-income-accounting-4fb5eb2c	ifsca,pfrda,sebi	Limitations of national income accounting
econ-liquidity-trap-dbe474fb	ifsca,pfrda,sebi	Liquidity trap
econ-measurement-methods-income-expenditure-product-87140e4a	ifsca,pfrda,sebi	Measurement methods — income, expenditure, product
econ-monetary-and-fiscal-policy-mix-a8b549e2	ifsca,pfrda,sebi	Monetary and fiscal policy mix
econ-monetary-base-and-high-powered-money-9cd8d4bf	ifsca,pfrda,sebi	Monetary base and high-powered money
econ-monetary-policy-transmission-mechanism-c33ffb07	ifsca,pfrda,sebi	Monetary policy transmission mechanism
econ-money-multiplier-316a5984	ifsca,pfrda,sebi	Money multiplier
econ-money-supply-measures-m1-to-m4-e25a9cdc	ifsca,pfrda,sebi	Money supply measures M1 to M4
econ-monopolistic-competition-and-product-differentiation-8c9229cb	ifsca,pfrda,sebi	Monopolistic competition and product differentiation
econ-monopoly-f89c1e9a	ifsca,pfrda,sebi	Monopoly
econ-multiplier-56da938c	ifsca,pfrda,sebi	Multiplier
econ-nnp-at-factor-cost-computation-b2d7994e	ifsca,pfrda,sebi	NNP at factor cost — computation
econ-non-tax-sources-of-revenue-51f889af	ifsca,pfrda,sebi	Non-tax sources of revenue
econ-objectives-and-functions-of-monetary-policy-679838c6	ifsca,pfrda,sebi	Objectives and functions of monetary policy
econ-oligopoly-9b41669d	ifsca,pfrda,sebi	Oligopoly
econ-opportunity-cost-of-holding-currency-b04f6a39	ifsca,pfrda,sebi	Opportunity cost of holding currency
econ-per-capita-income-bfbac7da	ifsca,pfrda,sebi	Per capita income
econ-perfect-competition-dbbd6859	ifsca,pfrda,sebi	Perfect competition
econ-personal-income-and-disposable-income-derivation-a90c9643	ifsca,pfrda,sebi	Personal income and disposable income — derivation
econ-phillips-curve-short-run-and-long-run-35035ce8	ifsca,pfrda,sebi	Phillips curve — short run and long run
econ-plan-and-non-plan-expenditure-42c887d5	ifsca,pfrda,sebi	Plan and non-plan expenditure
econ-price-and-income-elasticity-of-demand-2787a511	ifsca,pfrda,sebi	Price and income elasticity of demand
econ-purchasing-power-parity-8041dedc	ifsca,pfrda,sebi	Purchasing power parity
econ-real-vs-nominal-income-gdp-deflator-8f056508	ifsca,pfrda,sebi	Real vs nominal income; GDP deflator
econ-revenue-vs-capital-expenditure-a4a84a94	ifsca,pfrda,sebi	Revenue vs capital expenditure
econ-say-s-law-of-markets-fc37e1d5	ifsca,pfrda,sebi	Say's law of markets
econ-shifts-in-the-is-and-lm-curves-73c1f4ef	ifsca,pfrda,sebi	Shifts in the IS and LM curves
econ-stagflation-8fbd70f5	ifsca,pfrda,sebi	Stagflation
econ-supply-shocks-and-the-phillips-curve-320755af	ifsca,pfrda,sebi	Supply shocks and the Phillips curve
econ-tax-incidence-and-elasticity-9cecfc89	ifsca,pfrda,sebi	Tax incidence and elasticity
econ-trade-deficit-ca284702	ifsca,pfrda,sebi	Trade deficit
econ-two-sector-model-4f6d0739	ifsca,pfrda,sebi	Two-sector model
econ-unemployment-types-structural-frictional-cyclical-8ec365f1	ifsca,pfrda,sebi	Unemployment types — structural, frictional, cyclical
econ-why-the-balance-of-payments-always-balances-7ac28b17	ifsca,pfrda,sebi	Why the balance of payments always balances
econ-world-bank-group-d956b2ca	ifsca,pfrda,sebi	World Bank group
