subject,subject_id,paper_code,phase,question_number,display_order,source_question_ref,topic,microtopic,microtopic_slug,question_id,stem_excerpt
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P1-ARD-2020,1,161,1,ARD-2020-Q161,Agronomy and Crop Production,Crop production statistics and leading states,ard-crop-production-statistics-and-leading-states-76bd8597,,Q.161)Which state has the highest rice production
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P1-ARD-2020,1,162,2,ARD-2020-Q162,Agronomy and Crop Production,Crop production statistics and leading states,ard-crop-production-statistics-and-leading-states-76bd8597,,"Q.162) According to the first advance estimate 2019 -20, What is the total food grain production in kharif 2019?"
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P1-ARD-2020,1,163,3,ARD-2020-Q163,Horticulture and Plantation Crops,Horticulture production statistics,ard-horticulture-production-statistics-4130b769,,"Q.163)According to the third advance estimate 2018 -19, What is the total horticulture production?"
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P1-ARD-2020,1,164,4,ARD-2020-Q164,Agronomy and Crop Production,Crop production statistics and leading states,ard-crop-production-statistics-and-leading-states-76bd8597,,Q.164) Which among is correct on the basis of decreasing order of production?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P1-ARD-2020,1,165,5,ARD-2020-Q165,"Soil Science, Water and Agro-meteorology",Irrigation projects and command area classification,ard-irrigation-projects-and-command-area-classification-657dc57b,,"Q.165) According to 5th Minor irrigation Census 2013 – 14, Which state has the highest number of minor irrigation projec"
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P1-ARD-2020,1,166,6,ARD-2020-Q166,"Soil Science, Water and Agro-meteorology",Soil types and their distribution in India,ard-soil-types-and-their-distribution-in-india-f1275c3b,,Q.166) Which region in India covers maximum area under alluvial soil?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P1-ARD-2020,1,167,7,ARD-2020-Q167,"Soil Science, Water and Agro-meteorology",Soil physical properties and soil moisture,ard-soil-physical-properties-and-soil-moisture-6599130c,,Q.167) Which among the following has the highest water retention capacity?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P1-ARD-2020,1,168,8,ARD-2020-Q168,"Rural Development, Schemes and Institutions",Rural roads and PMGSY,ard-rural-roads-and-pmgsy-2cb50665,,"Q.168) The Phase-III of PMGSY which aims at consolidation of 1,25,000 Kms Through Routes a Major Rural Links that connec"
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P1-ARD-2020,1,169,9,ARD-2020-Q169,"Agricultural Economics, Credit and Marketing",Agricultural events and industry associations,ard-agricultural-events-and-industry-associations-5540f0f2,,Q.169) The Pulses Conclave 2020 (TPC 2020) has been scheduled to be held from 12 -14 February 2020 in_______________. Th
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P1-ARD-2020,1,170,10,ARD-2020-Q170,Agronomy and Crop Production,Crop production statistics and leading states,ard-crop-production-statistics-and-leading-states-76bd8597,,Q.170)Which state has the maximum area under sunflower production?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P1-ARD-2020,1,171,11,ARD-2020-Q171,Agronomy and Crop Production,Commercial and fibre crops,ard-commercial-and-fibre-crops-fc1cb796,,Q.171) Which crop is known as white gold?
Agriculture & Rural Development,dd3d3bf2-9da6-4525-a19f-48bf047adb35,NABARD-P1-ARD-2020,1,172,12,ARD-2020-Q172,"Animal Husbandry, Dairy and Poultry",Poultry production and management,ard-poultry-production-and-management-23203b34,,Q.172) What is the productive age of the layers in poultry?
