slug	exams	name
fin-cost-of-capital-debt-preference-and-equity-a02970f8	ifsca,pfrda,sebi	Cost of capital — debt, preference and equity
fin-weighted-average-and-marginal-cost-of-capital-6b18c6d9	ifsca,pfrda,sebi	Weighted average and marginal cost of capital
fin-capm-beta-and-the-security-market-line-3e220793	ifsca,pfrda,sebi	CAPM, beta and the security market line
fin-capital-budgeting-payback-and-discounted-payback-608f2476	ifsca,pfrda,sebi	Capital budgeting — payback and discounted payback
fin-capital-budgeting-npv-irr-pi-and-mirr-f6de825a	ifsca,pfrda,sebi	Capital budgeting — NPV, IRR, PI and MIRR
fin-npv-vs-irr-conflict-and-capital-rationing-70c6c5e7	ifsca,pfrda,sebi	NPV vs IRR conflict and capital rationing
fin-capital-budgeting-under-risk-e5bb15ad	ifsca,pfrda,sebi	Capital budgeting under risk
fin-leverage-operating-financial-and-combined-713084e6	ifsca,pfrda,sebi	Leverage — operating, financial and combined
fin-ebit-eps-analysis-and-financial-indifference-point-22346f43	ifsca,pfrda,sebi	EBIT–EPS analysis and financial indifference point
fin-capital-structure-theories-ni-noi-traditional-and-mm-1e092ca9	ifsca,pfrda,sebi	Capital structure theories — NI, NOI, traditional and MM
fin-dividend-policy-models-walter-gordon-and-mm-c3d39d63	ifsca,pfrda,sebi	Dividend policy models — Walter, Gordon and MM
