id,subject,microtopic,level,factcheck_verdict,verify_fact,stem_excerpt,keyed_answer,ref,sample,reviewer,decision,fix_note,minutes_spent
ACTR-013,financial-sector-acts,"IBC — CIRP timelines, resolution plan and s.29A ineligibility",L1,fix_needed,Y,"After admission of an application under section 7, the application may be withdrawn under section 12A (as substituted in 2026), on the resolution professional'…",C. 90% of the voting share,"Insolvency and Bankruptcy Code, 2016, s.12A (as substituted by s.8, IBC (Amendment) Act, 2026, in force 26.05.2026)",,,,,
ACTR-015,financial-sector-acts,IBC — liquidation waterfall under s.53,L3,fix_needed,Y,Liquidation of Corvel Metals Ltd — the liquidator has realised ₹212.00 crore. Claims (₹ crore): | Item | Amount | |---|---:| | CIRP costs | 5.50 | | Liquidatio…,B. ₹36.00 crore,"Insolvency and Bankruptcy Code, 2016, s.53(1) and Explanation to s.53(1)(b)(ii) (IBC (Amendment) Act, 2026, in force 26.05.2026)",,,,,
ACTR-016,financial-sector-acts,IBC — liquidation waterfall under s.53,L3,fix_needed,Y,"The liquidator of Ostrava Castings Ltd has ₹90.00 crore. Insolvency resolution and liquidation costs are ₹6.00 crore. Workmen's dues are ₹15.00 crore, of which…",D. ₹11.20 crore,"Insolvency and Bankruptcy Code, 2016, s.53(1)(b), (d), (f) and Explanation to s.53(1)(b)(ii) (IBC (Amendment) Act, 2026, in force 26.05.2026)",,,,,
ACTR-019,financial-sector-acts,IBC — pre-packaged insolvency for MSMEs and IBBI,L3,wrong_key,Y,Consider the following statements about the pre-packaged insolvency resolution process (PPIRP): 1. It is available only to a corporate debtor classified as a m…,D. 1 and 2 only,"Insolvency and Bankruptcy Code, 2016, ss.54A(1), 54A(2)(e), 54A(3), 54D (IBC (Amendment) Act, 2021; s.34, IBC (Amendment) Act, 2026, in force 26.05.2026, S.O. 2625(E))",,,,,
ACTR-023,financial-sector-acts,"IBC — CIRP timelines, resolution plan and s.29A ineligibility",L4,fix_needed,Y,[case ACTR-CASE-IBC-ORVIAN] Eastern ARC dissents. Assume all financial creditors would relinquish security and share under section 53(1)(b) with workmen; their pari passu charge covers al…,B. ₹58.85 crore,"Insolvency and Bankruptcy Code, 2016, s.30(2)(ba), s.53(1) and Explanation to s.53(1)(b)(ii) (IBC (Amendment) Act, 2026, in force 26.05.2026)",,,,,
ACTR-057,financial-sector-acts,RDB Act — recovery certificate and recovery officer,L2,fix_needed,Y,A defendant aggrieved by an order of the Recovery Officer made in execution of a recovery certificate may appeal:,C. To the DRT within 30 days of a copy of the order being issued to him,"Recovery of Debts and Bankruptcy Act, 1993, s.30",,,,,
ACTR-067,financial-sector-acts,RDB Act — original application procedure and limitation,L4,fix_needed,Y,"[case ACTR-CASE-RDB-NIRVIK] While the original application is pending, Prayag Bank proposes to take possession of the mortgaged factory under section 13(4) of the SARFAESI Act. Which is c…","C. It may do so, as SARFAESI operates in addition to the RDB Act","Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act, 2002, ss.35, 37; Recovery of Debts and Bankruptcy Act, 1993, s.19(1) proviso; Transcore v. Union of India, (2008) 1 SCC 125",,,,,
ACTR-086,financial-sector-acts,PMLA — provisional attachment and Adjudicating Authority,L4,fix_needed,Y,"[case ACTR-CASE-PMLA-SARVIK] The last date for the ED's complaint before the Adjudicating Authority, and the date on which the attachment would lapse without confirmation, are respectively:",B. 8 April 2026 and 5 September 2026,"Prevention of Money-laundering Act, 2002, s.5",,,,,
ACTR-087,financial-sector-acts,"PMLA — arrest, bail (s.45), Appellate Tribunal and s.66",L4,fix_needed,Y,"[case ACTR-CASE-PMLA-SARVIK] Mr. B (aged 52, in good health) seeks bail relying on the ₹1 crore proviso to section 45(1). His claim:",C. Fails — ₹1.40 crore was laundered jointly with the co-accused,"Prevention of Money-laundering Act, 2002, s.45",,,,,
ACTR-088,financial-sector-acts,"PMLA — offence of money laundering and punishment (s.3, s.4)",L4,fix_needed,Y,"[case ACTR-CASE-PMLA-SARVIK] If Mr. B is convicted under section 4, the permissible punishment is:",C. 3 to 7 years' rigorous imprisonment and fine without upper limit,"Prevention of Money-laundering Act, 2002, s.4 (as amended 2012)",,,,,
