id,subject,microtopic,level,factcheck_verdict,verify_fact,stem_excerpt,keyed_answer,ref,sample,reviewer,decision,fix_note,minutes_spent
FINB-019,finance,Minimum face value — NCD and NCRPS,L2,fix_needed,Y,"Consider the following statements on non-convertible redeemable preference shares (NCRPS) under the SEBI (NCS) Regulations, 2021: 1. NCRPS must have a minimum…",A. 1 and 2 only,"SEBI (NCS) Regulations, 2021 — NCRPS provisions and Chapter V (PDIs/PNCPS); SEBI circular Feb 2023",,,,,
FINB-026,finance,Social Stock Exchange and Social Impact Funds,L2,wrong_key,Y,Consider the following statements about fund-raising on the Social Stock Exchange: 1. The minimum issue size for a public issue of ZCZP instruments is ₹50 lakh…,B. 1 and 2 only,"SEBI (ICDR) Regulations Chapter X-A, as amended 2023; SEBI Board decision 19 Mar 2025 and circular (ZCZP min application ₹1,000)",,,,,
FINB-032,finance,Securities Contracts (Regulation) Act 1956,L2,fix_needed,Y,"A company's post-issue market capitalisation at the issue price will be ₹3,200 crore. Under Rule 19(2)(b) of the Securities Contracts (Regulation) Rules, 1957,…",A. ₹400 crore,"SCRR, 1957 — Rule 19(2)(b), as amended by SCR (Amendment) Rules, March 2026",,,,,
FINB-128,finance,NRI and OCI investment — repatriation basis,L3,wrong_key,Y,"Under Schedule III of the FEMA (Non-debt Instruments) Rules as amended in June 2026, a listed company has 48 crore equity shares. Individual persons resident o…","B. 4,69,99,999 shares","FEMA (Non-debt Instruments) (Third Amendment) Rules, 2026 (S.O. 3030(E), 12 June 2026) — Schedule III",,,,,
FINB-159,finance,Scheme types and fund of funds,L2,fix_needed,Y,Match the SEBI equity scheme category (List I) with its mandatory portfolio condition (List II): | List I | List II | |---|---| | A. Large Cap Fund | 1. At lea…,"B. A-3, B-1, C-4, D-2","SEBI circular on Categorization and Rationalization of Mutual Fund Schemes, 26 Feb 2026 (supersedes Oct 2017/Sep 2020)",,,,,
FINB-168,finance,Scheme types and fund of funds,L4,fix_needed,Y,"[case C9-ROHAN-NRI] Is the FoF's expense structure compliant, and what is the maximum expense ratio it may charge at its own level?",A. Not compliant; own-level expense must not exceed 0.50%,"SEBI (Mutual Funds) Regulations, 2026 — Reg 66(7) (Base Expense Ratio for FoFs), in force 1 Apr 2026",,,,,
FINB-023,finance,InvITs and REITs,L2,confirmed,Y,Match each party in an InvIT/REIT structure (List I) with its role (List II): | List I | List II | |---|---| | A. Trustee | 1. Operates and maintains the infra…,"D. A-2, B-3, C-1, D-4","SEBI (InvIT) Regulations, 2014 — Reg 2, 4, 10, 11",Y,,,,
FINB-036,finance,"SEBI Act 1992 — establishment, powers, penalties",L3,confirmed,Y,"Consider the following statements on appeals under the SEBI Act, 1992: 1. An appeal against an order of a SEBI adjudicating officer lies to the Securities Appe…",D. 1 and 2 only,"SEBI Act, 1992 — ss.15T, 15Z",Y,,,,
FINB-037,finance,Research analyst and investment adviser regulations,L1,confirmed,Y,**Assertion (A):** An individual registered as an investment adviser cannot also act as a mutual fund distributor to any client. **Reason (R):** The IA Regulat…,"A. Both A and R are true, and R is the correct explanation of A","SEBI (Investment Advisers) Regulations, 2013 — Reg 22 (as amended 2020)",Y,,,,
FINB-118,finance,Priority sector lending and microfinance,L3,confirmed,Y,"For the same bank (ANBC ₹80,000 crore), achievement before PSLCs is: total PSL ₹30,400 crore; agriculture ₹13,600 crore. It buys PSLC-Agriculture of ₹500 crore…","C. Overall ₹1,100 crore; agriculture ₹300 crore",RBI Master Directions — PSL; PSLC scheme,Y,,,,
FINB-120,finance,Key Fact Statement and fair lending practices,L3,confirmed,Y,"A personal loan of ₹2,00,000 at 15% p.a. (monthly reducing) is repayable in 12 EMIs. The lender deducts upfront a processing fee of 2% of the loan and a credit…",D. 20.67%,RBI KFS circular (Apr 2024) — APR computation annex,Y,,,,
FINB-122,finance,"NBFC categories — IFC, Factor, P2P",L3,confirmed,Y,"A lender on NBFC-P2P platforms (net worth certificate of more than ₹50 lakh on record) has outstanding loans of ₹42,00,000 across all platforms, including ₹20,…","C. ₹20,000","RBI Master Direction — NBFC-P2P Lending Platform Directions, 2017 (as amended)",Y,,,,
FINB-151,finance,PPP models and the project sponsoring authority,L1,confirmed,Y,"Under the Hybrid Annuity Model (HAM) for national highways, the authority pays what share of the bid project cost to the concessionaire during construction?",A. 40%,MoRTH/NHAI Model Concession Agreement — HAM,Y,,,,
