question_number,topic,assign_topic_id,stem
1,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,"Based on the above passage, the following assumptions have been made: 1. Collection, proce"
2,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,Which one of the following statements best reflects the crux of the passage?
3,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,"Based on the above passage, the following assumptions have been made: 1. Organic farming i"
4,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,"Which one of the following statements best reflects the most logical, rational and practic"
5,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,"Based on the above passage, the following assumptions have been made: 1. To implement the "
6,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,"A box contains 14 black balls, 20 blue balls, 26 green balls, 28 yellow balls, 38 red ball"
7,General mental ability,10b8404d-601b-48f2-a433-be996892a3d8,"If 'ZERO' is written as 'CHUR', then how is 'PLAYER' written?"
8,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,Consider the following statements: 1. A is older than B. 2. C and D are of the same age. 3
9,Logical reasoning,ffaec54f-12ef-46ac-b93d-e6db2e243280,"Consider the following including the Question and the Statements: There are 5 members A, B"
10,General mental ability,10b8404d-601b-48f2-a433-be996892a3d8,Choose the group which is different from the others:
11,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,Which one of the following statements best reflects the most logical and rational implicat
12,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,Which of the following statements best reflects the logical inference from the passage giv
13,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,Which one of the following statements best reflects the most logical and rational inferenc
14,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,"If 7  9  10 = 8, 9  11  30 = 5, 11  17  21 = 13, what is the value of 23  4  15 ?"
15,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,Let x be a positive integer such that 7x + 96 is divisible by x. How many values of x are 
16,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,"If p, q, r and s are distinct single digit positive numbers, then what is the greatest val"
17,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,A number N is formed by writing 9 for 99 times. What is the remainder if N is divided by 1
18,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,Each digit of a 9-digit number is 1. It is multiplied by itself. What is the sum of the di
19,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,What is the sum of all digits which appear in all the integers from 10 to 100 ?
20,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,ABCD is a square. One point on each of AB and CD; and two distinct points on each of BC an
21,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,Which one of the following statements best reflects the crucial message conveyed by the au
22,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,Which one of the following statements best implies the most rational assumption that can b
23,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,Which one of the following statements best reflects the crux of the passage?
24,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,"Three of the five positive integers p, q, r, s, t are even and two of them are odd (not ne"
25,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,Consider the following in respect of prime number p and composite number c. 1. 𝑝+𝑐 𝑝−𝑐 can
26,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,"A 3-digit number ABC, on multiplication with D gives 37DD where A, B, C and D are differen"
27,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,"For any choices of values of X, Y and Z, the 6 digit number of the form XYZXYZ is divisibl"
28,General mental ability,10b8404d-601b-48f2-a433-be996892a3d8,125 identical cubes are arranged in the form of cubical block. How many cubes are surround
29,General mental ability,10b8404d-601b-48f2-a433-be996892a3d8,How many distinct 8-digit numbers can be formed by rearranging the digits of the number 11
30,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,"A, B, C working independently can do a piece of work in 8, 16 and 12 days respectively. A "
31,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,"Which one of the following statements best reflects the most rational, practical and immed"
32,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,Which one the following statements best reflects what is implied by the passage?
33,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,Which one of the following statements best reflects the most logical and rational message 
34,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,"Raj has ten pairs of red, nine pairs of white and eight pairs of black shoes in a box. If "
35,General mental ability,10b8404d-601b-48f2-a433-be996892a3d8,"In how many ways can a batsman score exactly 25 runs by scoring single runs, fours and six"
36,General mental ability,10b8404d-601b-48f2-a433-be996892a3d8,There are four letters and four envelopes and exactly one letter is to be put in exactly o
37,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,What is the remainder when 85 × 87 × 89 × 91 × 95 × 96 is divided by 100?
38,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,What is the unit digit in the expansion of (57242)9×7×5×3×1 ?
39,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,"If ABC and DEF are both 3-digit numbers such that A, B, C, D, E, and F are distinct non-ze"
40,Quant and DI,0f739131-d019-48b8-9375-49d18cbf7444,D is a 3-digit number such that the ratio of the number to the sum of its digits is least.
41,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,Which one of the following statements most likely reflects as to what the author of the pa
42,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,"Which one of the following statements best reflects the most rational, logical and practic"
43,Reading Comprehension,ad50fd87-c83c-4feb-a8b2-2947ae967e73,"Based on the above passage, which one of the following terms expresses the ultimate goal o"
