slug	exams	name	act
fsa-rbi-act-constitution-central-board-and-governance-99cd7abf	ifsca,pfrda,sebi	RBI Act — Constitution, Central Board and governance	Reserve Bank of India Act, 1934
fsa-rbi-act-note-issue-and-minimum-reserve-system-e05c6590	ifsca,pfrda,sebi	RBI Act — Note issue and minimum reserve system	Reserve Bank of India Act, 1934
fsa-rbi-act-cash-reserve-ratio-and-penal-interest-under-s-42-b2e98728	ifsca,pfrda,sebi	RBI Act — Cash reserve ratio and penal interest under s.42	Reserve Bank of India Act, 1934
fsa-rbi-act-monetary-policy-committee-and-inflation-targeting-0c02d0f7	ifsca,pfrda,sebi	RBI Act — Monetary Policy Committee and inflation targeting	Reserve Bank of India Act, 1934
fsa-rbi-act-nbfc-regulation-under-chapter-iiib-ccecfce5	ifsca,pfrda,sebi	RBI Act — NBFC regulation under Chapter IIIB	Reserve Bank of India Act, 1934
fsa-rbi-act-business-of-the-bank-and-lender-of-last-resort-9da17137	ifsca,pfrda,sebi	RBI Act — Business of the Bank and lender of last resort	Reserve Bank of India Act, 1934
fsa-br-act-definitions-and-permitted-business-33d31cb6	ifsca,pfrda,sebi	BR Act — Definitions and permitted business	Banking Regulation Act, 1949
fsa-br-act-capital-voting-rights-and-reserve-fund-9b96f0b5	ifsca,pfrda,sebi	BR Act — Capital, voting rights and reserve fund	Banking Regulation Act, 1949
fsa-br-act-loans-to-directors-and-restrictions-on-shareholding-8b0bb121	ifsca,pfrda,sebi	BR Act — Loans to directors and restrictions on shareholding	Banking Regulation Act, 1949
fsa-br-act-licensing-and-statutory-liquidity-ratio-e36b281f	ifsca,pfrda,sebi	BR Act — Licensing and statutory liquidity ratio	Banking Regulation Act, 1949
fsa-br-act-rbi-directions-removal-and-supersession-powers-5f4990b9	ifsca,pfrda,sebi	BR Act — RBI directions, removal and supersession powers	Banking Regulation Act, 1949
fsa-br-act-moratorium-amalgamation-and-co-operative-banks-d92f4bf2	ifsca,pfrda,sebi	BR Act — Moratorium, amalgamation and co-operative banks	Banking Regulation Act, 1949
fsa-dicgc-act-insured-banks-and-excluded-deposits-0f63be67	ifsca,pfrda,sebi	DICGC Act — Insured banks and excluded deposits	Deposit Insurance and Credit Guarantee Corporation Act, 1961
fsa-dicgc-act-deposit-insurance-cover-computation-a9b7942a	ifsca,pfrda,sebi	DICGC Act — Deposit insurance cover computation	Deposit Insurance and Credit Guarantee Corporation Act, 1961
fsa-dicgc-act-premium-payable-by-insured-banks-089b7f66	ifsca,pfrda,sebi	DICGC Act — Premium payable by insured banks	Deposit Insurance and Credit Guarantee Corporation Act, 1961
fsa-dicgc-act-payment-timelines-and-the-2021-amendment-5de0e63b	ifsca,pfrda,sebi	DICGC Act — Payment timelines and the 2021 amendment	Deposit Insurance and Credit Guarantee Corporation Act, 1961
