"row_type","row_id","paper_year","question_number_or_topic_id","text_preview","flags","sample_reason","decision","notes","assign_topic_id","difficulty"
"question","54e8305d-a038-4099-bb86-d1fb5e925b3e","2020","1","What are the advantages of fertigation in agriculture? 1. Controlling the alkalinity of irrigation water is possible. 2 Efficient applicatio","","spot_check","verified","","","medium"
"question","1b396279-3e99-4ea2-becb-efbe2179f5d9","2020","2","Consider the following minerals: 1. Bentonite 2. Chromite 3. Kyanite 4. Sillimanite In India, which of the above is/are officially designate","","","verified","","","hard"
"question","d4647efe-2a93-42c5-9859-74a87c83ee81","2020","3","With reference to Ocean Mean Temperature (OMT), which of the following statements is/are correct? 1. OMT is measured up to a depth of 26°C i","non_ascii_suspect","flagged","verified","","","hard"
"question","d2892ad6-97a9-43e2-abe9-13b75adb8c11","2020","4","With reference to chemical fertilizers in India, consider the following statements: 1. At present, the retail price of chemical fertilizers ","","","verified","","","medium"
"question","c3924051-cf9a-46dc-8963-0b5dfa227a7d","2020","5","With reference to India’s Desert National Park, which of the following statements are correct? 1. It is spread over two districts. 2. There ","non_ascii_suspect","flagged","verified","","","medium"
"question","7aba3f5e-a58d-43d4-a9c8-04ab69524196","2020","6","Siachen Glacier is situated to the—–","non_ascii_suspect","flagged","verified","","","easy"
"question","fcd92c55-173f-4320-bc08-5f4320d44bcc","2020","7","With reference to the history of India, consider the following pairs: Famous Place – Present State 1. Bhilsa – Madhya Pradesh 2. Dwarasamudr","non_ascii_suspect","flagged","verified","","","hard"
"question","8da41853-f145-4f61-9596-0357d4b7005e","2020","8","Consider the following statements: 1. 36% of India 36% of India’s districts are classified as “overexploited” or “critical” by the Central G","non_ascii_suspect","flagged","verified","","","medium"
"question","f66c200b-bf27-4d68-98d4-89e41ed23fa4","2020","9","Consider the following statements: 1. Jet streams occur in the Northern Hemisphere only. 2. Only some cyclones develop an eye. 3. The temper","non_ascii_suspect","flagged","verified","","","medium"
"question","c2bc25a6-ec83-4ded-bc78-bbbe7a4866c0","2020","10","Among the following Tiger Reserves, which one has the largest area under “Critical Tiger Habitat”?","non_ascii_suspect","flagged","verified","","","hard"
"question","a0f2bd55-c8f7-4153-98f6-fa91752557dc","2020","11","If a particular plant species is placed under Schedule VI of The Wildlife Protection Act, 1972, what is the implication?","","","verified","","","medium"
"question","a4499e0b-57d5-423a-b68b-f1fcdd751edb","2020","12","With reference to the period of Gupta dynasty in ancient India, the towns Ghantasala, Kadura and Chaul were well known as","","","verified","","","hard"
"question","b1cb882e-e0d6-43e2-899d-544e3f2126f3","2020","13","What is/are the advantage/advantages of zero tillage in agriculture ? 1. Sowing of wheat is possible without burning the residue of previous","","","verified","","","medium"
"question","9c7e455b-742a-4f5b-a656-552c39af2e04","2020","14","According to India’s National Policy on Biofuels, which of the following can be used as raw materials for the production of biofuels? 1. Cas","non_ascii_suspect","flagged","verified","","","medium"
"question","7c5d0cea-a366-48a6-b0aa-d3889da9edb8","2020","15","Which one of the following statements best describes the term ‘Social Cost of Carbon’? It is a measure, in monetary value of the","non_ascii_suspect","flagged","verified","","","medium"
"question","f1bf2ba6-b47e-4f99-8f02-7abe2126d427","2020","16","With reference to pulse production in India, consider the following statements: 1. Black gram can be cultivated as both kharif and rabi crop","","","verified","","","hard"
"question","0dac6259-4710-4183-840f-5aecf8383b8f","2020","17","“The crop is subtropical in nature. A hard frost is injurious to it. It requires at least 210 frost-free days and 50 to 100 centimeters of r","non_ascii_suspect","flagged","verified","","","medium"
"question","3692e405-bdb5-4bfc-9a94-96fc9cf83294","2020","18","With reference to solar water pumps, consider the following statements: 1. Solar power can be used for running surface pumps and not for sub","","spot_check","verified","","","medium"
"question","e4b96246-3ebc-4cf9-970a-8bdb861faacc","2020","19","With reference to the current trends in the cultivation of sugarcane in India, consider the following statements: 1. A substantial saving in","non_ascii_suspect","flagged","verified","","","hard"
"question","8e9356a4-06be-48bf-a2f6-69680627d0f1","2020","20","In the context of India, which of the following is/are considered to be practice(s) of eco-friendly agriculture? 1. Crop diversification 2. ","","","verified","","","medium"
"question","e56621bd-a5f0-404b-980e-336f981a476c","2020","21","With reference to the cultural history of India, consider the following pairs: 1. Parivrajaka – Renunciant and Wanderer 2. Shramana – Priest","non_ascii_suspect","flagged","verified","","","medium"
"question","5f43c16e-a29d-4959-8893-94a7dc45798a","2020","22","With reference to Indian elephants, consider the following statements: 1. The leader of an elephant group is a female. 2. The maximum gestat","","","verified","","","medium"
"question","2553704a-cc22-406e-a86f-6ec71cab6b4a","2020","23","Which of the following Protected Areas are located in Cauvery basin? 1. Nagarhole National Park 2. Papikonda National Park 3. Sathyamangalam","","","verified","","","hard"
"question","baf66cd4-0d10-4b83-8753-dc2f6884e317","2020","24","With reference to India’s biodiversity, Ceylon frogmouth, Coppersmith barbet, Gray-chinned minivet and White-throated redstart are","non_ascii_suspect","flagged","verified","","","hard"
"question","bde6ce8e-2e57-4d43-9c23-c1024e040b73","2020","25","Which one of the following protected areas is well-known for the conservation of a sub-species of the Indian swamp deer (Barasingha) that th","","","verified","","","medium"
"question","a84bd717-ee65-485d-aa57-f910d42ce553","2020","26","Steel slag can be the material for which of the following? 1. Construction of base road 2. Improvement of agricultural soil 3. Production of","","","verified","","","hard"
"question","6bfa8f1d-1eec-431b-a756-01b9b8eb56ae","2020","27","Which of the following are the most likely places to find the musk deer in its natural habitat? 1. Askot Wildlife Sanctuary 2. Gangotri Nati","","","verified","","","hard"
"question","5115b1b3-b6f6-4e12-b407-39737b88ad73","2020","28","In rural road construction, the use of which of the following is preferred for ensuring environmental sustainability or to reduce carbon foo","","spot_check","verified","","","hard"
"question","0c7077a7-3830-4f3f-89fa-364252f747ec","2020","29","Consider the following statements: 1. Coal ash contains arsenic, lead and mercury. 2. Coal-fired power plants release sulphur dioxide and ox","","","verified","","","easy"
"question","0ee2f03b-b719-4878-877e-3a0c05ab9df8","2020","30","What is the use of biochar in farming? 1. Biochar can be used as a part of the growing medium in vertical farming. 2. When biochar is a part","","","verified","","","medium"
"question","fcadc9e6-300c-4fbd-af4a-2c83814ade09","2020","31","In India, which of the following can be considered as public investment in agriculture? 1. Fixing Minimum Support Price for agricultural pro","","","verified","","","medium"
"question","c56fb969-b220-4517-9ce2-efa1de75c29a","2020","32","What is the importance of the term “Interest Coverage Ratio” of a firm in India ? 1. It helps in understanding the present risk of a firm th","non_ascii_suspect","flagged","verified","","","medium"
"question","665f7270-fd72-4159-a3be-6b7a5cfc2dc4","2020","33","Which of the following factors/policies were affecting the price of rice in India in the recent past? 1. Minimum Support Price 2. Government","non_ascii_suspect","flagged","verified","","","medium"
"question","b8d43fdd-4d9d-4323-a8ca-d1cef94412bf","2020","34","Consider the following statements: 1. The value of Indo-Sri Lanka trade has consistently increased in the last decade. 2. “Textile and texti","non_ascii_suspect","flagged","verified","","","hard"
"question","eaa9fc54-ffaf-4666-a9ab-30f74a4cfad1","2020","35","In which one of the following groups are all the four countries members of G20?","","","verified","","","easy"
"question","d8d76598-a6e5-4ff1-84e8-c797d9e16a18","2020","36","Under the Kisan Credit Card scheme, short-term credit support is given to farmers for which of the following purposes? 1. Working capital fo","","","verified","","","medium"
"question","a6aa0068-62eb-4d66-8a04-28cd3558bef5","2020","37","Consider the following statements: 1. The weightage of food in Consumer Price Index (CPI) is higher than that in Wholesale Price Index (WPI)","","","verified","","","easy"
"question","35f67d99-fd34-4ef9-b10e-2cf73df955b7","2020","38","Consider the following pairs: River – Flows into 1. Mekong- Andaman Sea 2. Thames – Irish Sea 3. Volga – Caspian Sea 4. Zambezi – Indian Oce","non_ascii_suspect","flagged","verified","","","easy"
"question","3eb2a1cb-1647-4b69-a44a-c4c7d97c6b6f","2020","39","Consider the following statements: 1. In the case of all cereals, pulses and oil-seeds, the procurement at Minimum Support Price (MSP) is un","","","verified","","","medium"
"question","c4caf2e1-78a2-432a-baa2-b39ba05245e7","2020","40","With reference to the Indian economy, consider the following statements: 1. 'Commercial Paper' is a short-term unsecured promissory note. 2.","","spot_check","verified","","","medium"
"question","c6b2224c-bdbc-410e-acd7-99214a5a47ce","2020","41","With reference to Foreign Direct Investment in India, which one of the following is considered its major characteristic?","","","verified","","","easy"
"question","84e876c4-4765-4334-8985-fe37ea63ec9f","2020","42","With reference to the international trade of India at present, which of the following statements is/are correct? 1. India’s merchandise expo","non_ascii_suspect","flagged","verified","","","medium"
"question","5fce46a1-488d-44c6-8335-1c2c9e5023f3","2020","43","The term ‘West Texas Intermediate, sometimes found in news, refers to a grade of","non_ascii_suspect","flagged","verified","","","easy"
"question","c701e982-9ac4-41fd-93d5-a3251dc0174f","2020","44","In the context of the Indian economy, non-financial debt includes which of the following? 1. Housing loans owed by households 2. Amounts out","","","verified","","","hard"
"question","08052d86-a3cb-4afc-9067-e92185dcc786","2020","45","In India, why are some nuclear reactors kept under “IAEA Safeguards” while others are not?","non_ascii_suspect","flagged","verified","","","medium"
"question","2ddc41ea-7954-49ad-96b9-4bfca23de596","2020","46","With reference to Trade-Related Investment Measures (TRIMS), which of the following statements is/are correct? 1. Quantitative restrictions ","","","verified","","","hard"
"question","a8c900ae-5914-4a86-8b69-5c4fff47af7c","2020","47","If the RBI decides to adopt an expansionist monetary policy, which of the following would it not do? 1. Cut and optimize the Statutory Liqui","","","verified","","","medium"
"question","4bed944b-dffd-4fac-859d-fdac09fa66be","2020","48","With reference to the Indian economy after the 1991 economic liberalization, consider the following statements: 1. Worker productivity (Rs p","","","verified","","","hard"
"question","b374b04f-94a6-4f74-8cd2-ad831d96ed46","2020","49","Consider the following statements: 1. In terms of short-term credit delivery to the agriculture sector, District Central Cooperative Banks (","","","verified","","","hard"
"question","a69b69b0-34b3-4b46-b4a3-7ca78eafd349","2020","50","In India, under cyber insurance for individuals, which of the following benefits are generally covered, in addition to payment for the loss ","non_ascii_suspect","flagged","verified","","","hard"
"question","1da61e0a-8889-4b7f-bb2a-9b046a7fbfc3","2020","51","With reference to carbon nanotubes, consider the following statements : 1. They can be used as carriers of drugs and antigens in the human b","","spot_check","verified","","","medium"
