row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty
"question","b8771e95-39be-435e-a413-27a766311c25","2023","1","37.5% of 239.90 + √99.99 =?","non_ascii_suspect","flagged","","","","",""
"question","ea658db5-d5b7-47d5-83ea-9a0ae439820e","2023","1","As per the Budget 2023 – 2024, phase 3 of the e- Courts project will be launched with an outlay of _________ (Topic- Latest Union Budget)","non_ascii_suspect;suspicious_repeat_char","flagged","","","","",""
"question","510adfef-c41e-4cdd-94d0-c2360176a911","2023","1","Who sits second to the right of Bob?","no_primary_tag","flagged","","","","",""
"question","ed761733-bdc7-4fba-aac5-70239d6e69ac","2023","1","Write an Essay of about 200 words on any one of the following topics: - (30 Marks) (i) How do foreign exchange reserves impact national mark","","spot_check","","","","",""
"question","a6e81c1e-2800-45f8-b8f9-dec27d959549","2023","1","What is the leverage ratio of domestic systemically important banks (D-SIBs) in India? {Topic- Banking (Financial Risk Management)}","","spot_check","","","","hard",""
"question","83a715e4-d712-4969-9d23-8ae8f7781d51","2023","1","A penalty of _______ has been imposed by SEBI on Multi Commodity Exchange (MCX) for flouting norms related to data entries of Sikkim-based c","suspicious_repeat_char","flagged","","","","",""
"question","8b886eb7-f6c1-43fb-be44-bd12a8c9d1cb","2023","1","Under NPS, how many Pension funds (PFs) other than the government sector are registered with PFRDA? (Topic- National Pension Scheme)","","spot_check","","","","hard",""
"question","3663632a-061b-4804-805a-647b6bab8f5d","2023","1","In the context of IFSC Banking Unit (IBU), what constitutes the minimum threshold for term deposits to be categorized as bulk deposits? (Top","","spot_check","","","","hard",""
"question","5c78042c-380d-411f-b9b6-9f4c51fa2890","2023","2","840.98 ÷ 28.99 +? = 112.08","non_ascii_suspect","flagged","","","","",""
"question","ead7724e-9205-4d04-8d88-6a62a7ca15d0","2023","2","Mahila Samman Certificate will be made available for a two–year period up to ________ and the scheme will offer deposit facility upto ______","non_ascii_suspect;suspicious_repeat_char","flagged","","","","",""
"question","966f6aea-63ce-4202-b4b0-dd4b8b0c6dde","2023","2","Which one sits at one end of the row?","no_primary_tag","flagged","","","","",""
