"question_id","question_number","section","assign_topic_id","proposed_topic_label","difficulty","decision","proposal_note"
"d0cae998-5919-432a-935c-f68f8ac8c5cb","2","General Intelligence and Reasoning","01fd4d51-951b-4624-4a21-24ff77be30db","Mathematical operations - sign interchange","easy","","sign interchange; pending GIR sign-interchange leaf; moved per migration 306"
"1e919185-2a23-4f42-85e7-8d6327af10c1","3","General Intelligence and Reasoning","ebb5aad8-4088-4f4f-b2a9-0506b1a55072","Odd one out from a list","medium","","letter-cluster pairs"
"df77358b-27e9-4ce0-87d6-2e1675b8a205","4","General Intelligence and Reasoning","ee63d21f-3ff5-4193-975f-7e6c04a59c89","Three or more statement syllogism","medium","","3 statements, 3 conclusions"
"05afa33e-bd60-4c63-a93a-09901d6daae5","5","General Intelligence and Reasoning","01fd4d51-951b-4624-4a21-24ff77be30db","Mathematical operations - sign interchange","easy","","sign interchange; pending GIR sign-interchange leaf; moved per migration 306"
"28184d78-5b82-45f5-bffd-b2cefe967dc8","6","General Intelligence and Reasoning","479587ab-2cef-4046-9da4-c0ca924e8ef6","Word formation from given letters","easy","","alphabetical reorder; count changed positions"
"167708ef-c3c9-4d10-9d8e-c9ee8eb78838","7","General Intelligence and Reasoning","eec9932e-256a-18d5-0dab-59a425f911a1","Number series","easy","","99,123,150,180,213; needs Number series leaf; filled from migration 306"
"9a6dd753-75e6-4057-a2ec-805c4c8802e1","8","General Intelligence and Reasoning","ba50fea4-a0f8-4254-9e5c-dbd2046eacdc","Alphanumeric and mixed series","medium","","letters plus numbers"
"03ca2a27-9dc7-4994-a0a4-7b7f7f8ea2d8","9","General Intelligence and Reasoning","e8565eaf-c332-47da-97ab-b50aff00ac13","Two-statement syllogism","medium","","3 statements but 2 conclusions; negative premises"
"ab777763-51d8-43b1-9955-a3f0f2dcf34f","11","General Intelligence and Reasoning","98d49687-d96b-e39c-24b2-4889fc64d54a","Word-substitution message coding","easy","","common word across two codes"
"26df226d-dc41-450b-bc9e-c47e54208a1f","12","General Intelligence and Reasoning","951e2be1-ea05-4684-8264-3f38ccf9bf97","Word and meaning analogy","easy","","country:river"
"6a2c6fb7-5e68-49f7-8e66-f840f055b5e7","13","General Intelligence and Reasoning","98d49687-d96b-e39c-24b2-4889fc64d54a","Word-substitution message coding","easy","","elimination of shared codes"
"42bc93d9-b612-4242-bfa0-eab58cdf4ea1","14","General Intelligence and Reasoning","7d5a08c1-a3ac-4337-8f3e-28b5762b1857","Alphabet series","medium","","fill blanks in repeating letter pattern"
"e89e9f85-9481-431f-a7f3-deeda1474fa8","17","General Intelligence and Reasoning","ba50fea4-a0f8-4254-9e5c-dbd2046eacdc","Alphanumeric and mixed series","medium","","4-letter cluster series"
"201b1a23-0084-48c9-bcb3-6439b15198b9","18","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","triad relation"
"704dbbdb-53c3-4a89-8b26-57b6e58ccf77","19","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","triad relation"
"f09607b6-7433-4dc5-81ad-862bf9b9f2d8","22","General Intelligence and Reasoning","ebb5aad8-4088-4f4f-b2a9-0506b1a55072","Odd one out from a list","medium","","odd number pair"
"e37b1626-5c03-442b-a5db-d9d798bda867","24","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","triad relation"
"38f2ba52-f5bb-4bad-91f4-d6c46d0732f2","25","General Intelligence and Reasoning","258d7491-2b80-469d-84c9-6f9ee74b1e4d","Coded blood relation","hard","","6-link chain"
"008cd4d8-ac7a-4643-891c-fec15a118040","51","Quantitative Aptitude","fa8a4cb7-7670-4f67-b933-9e9e0d4ace77","Combined transactions and overall gain","medium","","loss then gain on reinvested amount"
"caee82a0-ebbc-45b0-a804-69d2bb276f0d","52","Quantitative Aptitude","c5d44e15-072a-4557-ad7d-f61221fe61c7","Volume and surface area of solids","easy","","cylinder volume formula"
"973bed9f-45a4-4a2e-9a52-4f9275f6177b","53","Quantitative Aptitude","cd574056-f811-4f7b-8fdd-a4e37d0c9772","Ages - present, past and future","hard","","two time references"
"a9eeeade-393e-46c3-9e36-44f3e060ded3","54","Quantitative Aptitude","a704c46a-26db-43f5-9ece-3e339a15ac3b","Circle - area, circumference and sectors","medium","","sector area from arc length"
"62c6aa8f-e16d-4693-a340-2140e840e550","55","Quantitative Aptitude","e1fecd85-fe0d-4594-a851-40691666a7b4","Algebraic identities and factorisation","medium","","a3+b3+c3-3abc identity"
"f6485ee7-58a4-41da-b220-5ba6da69dd8b","56","Quantitative Aptitude","80dd720e-8f81-fc7e-b319-eb1b1ac461df","Trigonometric ratios and identities","easy","","sec from tan"
"2ea24509-1d4a-4ee0-be90-19d2b20798f6","57","Quantitative Aptitude","4ad71c10-ba53-15ef-e1ce-9598602559a9","Congruence and similarity","medium","","right angles with equal sides"
"7eee3fb1-c4d6-4f95-88ae-6546ecf7c5f6","58","Quantitative Aptitude","f6a36919-07e6-46a8-ae43-e3c13d549c98","Discount and marked price","medium","","markup then discount to loss percent"
"e0342d53-aade-4bd6-94f6-127861233bbf","59","Quantitative Aptitude","80dd720e-8f81-fc7e-b319-eb1b1ac461df","Trigonometric ratios and identities","medium","","cube difference over difference"
"e92e4e4b-5e58-4be4-83ed-b106ec783243","61","Quantitative Aptitude","424d99d5-720f-409e-ba66-8660ac95a486","Area and perimeter - rectangle, square, triangle","medium","","isosceles right triangle from area"
"306c39dc-8389-438c-b013-34dfc290d025","63","Quantitative Aptitude","10d8610d-9dbd-4f47-b301-1ed3c0d2dce6","Income, expenditure and savings","medium","","income and expenditure both change"
"6700debf-4fda-4a98-b324-18e047d91169","64","Quantitative Aptitude","d98cdd8a-6f6a-420a-a477-e5385f96f029","Remainders and factors","easy","","digit-sum rule for 9"
"391d9334-b9c7-4fac-a849-239a99cba162","65","Quantitative Aptitude","c2079ba4-41e3-4db0-908b-a6fd4a550cab","Proportional division of quantities","medium","","angle sum with average condition"
"4f4f7f51-dfaf-4ee1-acac-e173034039dc","66","Quantitative Aptitude","b46a977a-8c32-71a1-b429-c48e7019f637","Circle theorems - chords, tangents and cyclic quadrilaterals","medium","","two tangents from external point"
"430f7b90-eeaa-4680-9429-6c565b8bf5c3","67","Quantitative Aptitude","cd574056-f811-4f7b-8fdd-a4e37d0c9772","Ages - present, past and future","hard","","three people, ratio across times"
"495977ec-df07-47e3-8875-e7bcc3a3e446","68","Quantitative Aptitude","ce23f17b-f621-46b0-bb72-fc926a0be3d4","Tabular data interpretation","easy","","percentage from table"
"37e5a8e7-4972-46f2-82e9-708f8e3e13cf","69","Quantitative Aptitude","74799854-a84e-4607-844e-afb8c50b7bc0","Simple and compound ratio","easy","","inverse variation"
"37e01e52-8346-43d5-a3de-cbeb1dae23fc","70","Quantitative Aptitude","9ea559c5-2c7b-49b4-8ab0-98938fd471df","Simple and compound interest","easy","","two SI computations"
"6afe4427-2b51-473a-ac13-2c5f4d05ec90","71","Quantitative Aptitude","caab5701-fc1c-40ff-8286-aa93175b0233","Races and circular tracks","medium","","same direction meeting time"
"452da104-8751-4b41-afaf-0a17dac40d50","72","Quantitative Aptitude","21fb2f26-ef41-477c-a8eb-2717f20b6083","Pipes and cisterns","hard","","three pipes, staged open/close"
"9034c615-8591-409f-9603-cddcab9d5c1d","73","Quantitative Aptitude","5d6007fc-1b29-498d-bd19-6a50b296f041","BODMAS and order of operations","easy","","decimal BODMAS"
"269ba924-6410-4859-b2b2-0cf28cdfc446","75","Quantitative Aptitude","528ffbb5-94cb-438d-a875-c854d0f65ec5","Averages - simple and weighted","medium","","overlapping halves of a month"
