row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty
question,a3629b23-578c-47b7-ab5a-e61c835d1814,2026,1,Which one of the following Carnatic music ragas is similar to Raga Bilawal in Hindustani music?,,spot_check,,,,
question,95218330-bd09-401f-b87f-b3e52ea7fce9,2026,2,The artificially fixed rupee-sterling exchange rate prescribed by the Hilton-Young Commission (1926) Was adopted by the British Government f,,,,,,
question,82951094-2d76-4094-8800-0cf95280511e,2026,3,"Consider the following statements : I.Pali texts contain the first definite references to coins, e.g., kahapana, nikkha, kamsa, and kakanika",,,,,,
question,861fe7d7-99bc-42a9-aed4-f2d26dd0a085,2026,4,"Which of the following temples has/have a Nagara-style shikhara ? 1. Malegitti Shivalaya, Badami 2. Huchimalligudi Temple, Aihole 3. Dashava",,,,,,
question,771876fe-d031-4b18-a8d6-b13aaf696c4b,2026,5,"Among the four main forms of existence of life recognized in Jainism, which one of the following is not included ?",,,,,,
question,330878ca-0ff8-4263-8b90-a8b7bb1c512e,2026,6,The Hallisalasya painting in the Bagh Caves represents :,,,,,,
question,1b0f81a3-1f2b-48b9-8b75-4e62e49b60ae,2026,7,Consider the following statements relating to Tr the use of the place-value system in India: 1. The earliest epigraphic use of the place-val,non_ascii_suspect,flagged,,,,
question,128aef2f-4fb1-497f-b994-76773f901785,2026,8,Consider the following statements about the archaeological findings in Harappan towns: I. There is wide occurrence of spindle-whorls in the ,,,,,,
question,89e9cad4-7029-462f-b1b2-001a110701de,2026,9,Which one of the following statements about the Eka Movement and Bardoli Satyagraha is correct ?,,,,,,
question,1ef86892-e8c8-4c2c-b140-90bf20b5356c,2026,10,Consider the following statements about the Rigvedic period : I.Irrigation from wells allowed agriculture to expand away from flood plains a,,spot_check,,,,
question,9ee826ed-6d88-48ec-8225-bf2dcbded1e0,2026,11,"Consider the following assertion : In the Pleistocene period either the Yamuna once flowed into the Indus, or the Sutlej flowed into the Yam",,,,,,
question,a224f276-e36e-4273-ba3a-1ceef81dd129,2026,12,What does an empty seat represent in early Buddhist iconography ?,,,,,,
question,5334b2f2-748b-4f39-a4d3-d5b33b2cb3b8,2026,13,Which of the following pairs of ancient and modern names of rivers is/are correctly matched ? 1. Vitasta : Chenab 2. Asikni : Jhelum 3. Paru,,,,,,
question,4736900b-f5c0-43cb-9101-017ce702da9f,2026,14,Which of the following statements on the Amaravati Stupa and its relief sculpture is/are correct ? 1. It was located in the lower Krishna va,,,,,,
question,5fa51634-4994-482d-aed9-c41c488b7dc0,2026,15,Which of the following pairs of the king and his dynasty in early historical Tamilakam is/are not correctly matched ? 1. Senguttuvan : Chera,,,,,,
question,04589263-dc7f-43ce-af28-99f3852a4cab,2026,16,Which of the following factors contributed to the formation of the Forward Bloc by Subhas Chandra Bose in 1939 ? 1. Bose failed to win the c,,,,,,
question,38b723d3-71ad-47e0-8110-10bb2206ec20,2026,17,Consider the following statements regarding the British policy in Awadh immediately after its annexation in 1856 : 1. The taluqdars were dis,,,,,,
question,27a4caf9-a334-4150-84a7-e6c2a0f9f5fb,2026,18,Consider the following assertion : The genesis of political alliances based on community lay in the very nature of the Montague-Chelmsford R,,spot_check,,,,
question,0ea175e1-c20a-4ebb-b78a-5c27f05ff378,2026,19,"Pandit Mallikarjun Mansur, the famous classical singer from Karnataka, represented the :",,,,,,
question,baebb3da-06d6-41ae-840e-009ec51403c9,2026,20,In which one among the following texts does the term kshetra-patni (‘mistress of the field’) originate ?,non_ascii_suspect,flagged,,,,
question,7d371043-0d9e-4b4c-a155-3bf6172738c5,2026,21,Consider the following statements with reference to India’s response to climate change : I. India’s Long-Term Low Emission Development Strat,non_ascii_suspect,flagged,,,,
question,290ab08b-4de0-4644-a8fc-9fac7c0a38d7,2026,22,"With respect to the Western Hoolock Gibbons, which of the following statements is/are correct ? 1.A Sanctuary in North-east India is home to",,,,,,
question,04521ab2-fd0a-476f-8fbc-1a9b8fc6a835,2026,23,Which of the following best explain(s) the rationale for protecting mangrove ecosystems in the context of climate resilience ? 1. Mangroves ,,,,,,
question,d98fa88f-797d-4ab2-9039-3c556ac9ba6a,2026,24,In what way(s) does the Vizhinjam International Seaport represent a structural shift in India’s maritime trade and logistics policy ? 1. By ,non_ascii_suspect,flagged,,,,
question,5a69b2a1-3329-4876-a0e7-b91cab07bdb0,2026,25,Identify the river of the Indian sub-continent on the basis of the following information : 1. It has an antecedent drainage system. 2. It fl,,,,,,
question,0d76e28b-cbf4-45c6-9381-1935fd83580d,2026,26,Which of the following with reference to Indian States is/are not correct ? 1. Uttar Pradesh shares its boundary with the highest number of ,,,,,,
question,0f5a9e5f-af83-4c37-84fd-f4771c55f2ec,2026,27,Which of the following statements with regard to the arrival of Amur Falcons at Doyang Lake in Nagaland each year from Mongolia is/are corre,,,,,,
question,494fc7ee-207f-4dbe-909e-069c42091cc2,2026,28,Which among the following is/are the objective(s) of the Rainfed Area Development (RAD) initiative under the National Mission for Sustainabl,,,,,,
question,ac35c6fb-2fe2-446e-bd90-a47f37065052,2026,29,Which of the following is/are the most significant implication(s) of obtaining Oeko-Tex certification for Eri Silk in the global textile ind,,,,,,
question,bb63cc4a-53ec-4555-af94-5088c440d790,2026,30,Ships from which of the following countries have to cross the Strait of Hormuz to reach out to the Indian Ocean ? 1.Bahrain 2. Syria 3. Qata,,spot_check,,,,
question,ee4b4b78-74e5-40c5-963c-59692530e3c7,2026,31,"Tungurahua Volcano, which was declared a Global Geopark by UNESCO in 2025, is situated in which one among the following countries ?",,,,,,
question,43f2ce26-bd22-409a-b4c8-da29194e590e,2026,32,"With reference to Madhav National Park, which of the following statements is/are correct ? 1. It was declared a Tiger Reserve in India in 20",,,,,,
question,3b427b5c-b676-4aa5-89a2-b7e17889fb46,2026,33,"With reference to the climate of Andaman and Nicobar Islands, which of the following statements is/are correct ? 1. The climate can be defin",,,,,,
question,a1bcb6be-cd6d-45c6-a096-9de252231d25,2026,34,Which of the following geographical features or phenomena is/are associated with the Peninsular Block of India? 1. Submergence of parts of t,,,,,,
question,1db3bc15-9321-474b-ade9-83d548bdeae6,2026,35,Consider the following statements with reference to the Sagarmala Programme of the Government of India: I. The Sagarmala Programme seeks to ,,,,,,
question,195f8e76-c154-4dec-9629-34d1acd6d512,2026,36,Consider the following statements about Rhynchostylis retusa (Foxtail orchid): 1.It is an epiphytic orchid. 2.The species is endemic to Nort,,,,,,
question,7dc66cbf-4857-4011-9ae0-187ce99acf60,2026,37,"Which one of the following statements with regard to the Moidams, built by the Tai-Ahom kingdom and inscribed as a World Heritage Site by UN",suspicious_repeat_char,flagged,,,,
question,ece1e2bd-4a9b-41ac-ae5d-c775539f359f,2026,38,"At the United Nations Ocean Conference (UNOC) held in June, 2025 in France, the Food and Agricultural Organization (FAO) of the United Natio",non_ascii_suspect,flagged,,,,
question,e6c50ec2-7aa7-4a18-98ab-a1070e28fd95,2026,39,Which of the following statements with reference to Lake Turkana is/are correct ? 1.It is the largest desert lake in the world. 2. The lake ,non_ascii_suspect,flagged,,,,
question,9b3d7154-4917-4d81-9f3f-f14f46bd1cc2,2026,40,Which one of the following is the first Plan Vivo certified Reducing Emissions from Deforestation and Forest Degradation (REDD+) project in ,,,,,,
question,dbbe270a-b4f6-49aa-93d3-2ce647948c45,2026,41,Which of the following statements with regard to genetic medicine is/are correct ? 1. Genetic medicines correct/compensate for the faulty ge,,spot_check,,,,
question,ca4609b6-d1fb-410b-96c3-5ecaa3767c99,2026,42,Which of the following statements with regard to Large Language Models (LLMs) used in machine learning is/are correct ? 1. LLMs assign proba,,,,,,
question,d24ccc25-7993-4f37-a840-46c4c874ff1e,2026,43,Which of the following statements with regard to stealth technology is/are correct ? 1. Stealth objects have a very small radar cross-sectio,,,,,,
question,5ad84ea1-3310-4f59-baaa-69e233b27d82,2026,44,Which of the following statements with regard to Black Boxes used in modern aircrafts is/are correct ? 1. They carry a beacon emitting red l,,,,,,
question,b52523b8-0ef8-40ae-acf8-cd4ea5d2f29a,2026,45,Which of the following statements with regard to Green Hydrogen is/are correct ? 1. It is decarbonized hydrogen obtained from natural gas re,,,,,,
question,04144bff-b9cd-46ef-a254-34fa5f3730b1,2026,46,Consider the following statements with regard to involvement of private entities in India’s space programme : 1. The Indian National Space P,non_ascii_suspect,flagged,,,,
question,f358e94b-a2d4-47af-ba6e-1f6b4df5ea67,2026,47,Which of the following statements with regard to drone swarms is/are correct ? 1. They use Terahertz band of frequency to communicate with t,,,,,,
question,f12900ab-bcb1-48c8-92c9-7bedb36daef0,2026,48,Which of the following statements with regard to GenomeIndia Project is/are correct ? 1 It is a part of the Human Genome Project. 2. The pro,,,,,,
question,525cb5ad-382c-495c-a82d-af1a895c61a8,2026,49,Which of the following statements with regard to the National Quantum Mission (NQM) is/are correct ? 1. aims at developing intermediate-scal,,,,,,
question,2a83b291-d0e2-432f-b90f-39297ff922bc,2026,50,"Which of the following statements with regard to India’s Deep Ocean Mission is/are correct ? 1. It was launched by the Ministry of Ports, Sh",non_ascii_suspect,flagged,,,,
question,234d8c7c-8f1a-40b5-bb26-c5d2e7701f04,2026,51,"Mr. X, a senior officer, was overseeing a critical vaccination programme during a pandemic. He found that a private service provider respons",non_ascii_suspect;no_primary_tag,flagged,,,,
question,9278b550-f850-411c-a773-aa5f97525210,2026,52,"In a multi-ethnic district where both economic competition and historical grievances frequently led to community tensions, a flashpoint has ",no_primary_tag,flagged,,,,
question,c93e7d4a-14b7-4598-87db-9b27c930dc1d,2026,53,"Ms. X is a mid-level civil service official working in the urban development department of a major city. Recently, she was involved in appro",non_ascii_suspect;no_primary_tag,flagged,,,,
question,29081178-7c03-4a59-a3d4-22b88db1d9dd,2026,54,"‘X’ was addressing a seminar on the meaning of the term ‘law’ as provided under Article 13, Part III of the Constitution of India. explained",non_ascii_suspect,flagged,,,,
question,e52f3b12-b23e-4e65-9335-93ad59cd835b,2026,55,Consider the following statements with reference to the Constitution of India 1.There is no Article in the Constitution of India that specif,non_ascii_suspect,flagged,,,,
question,f5647049-cdf9-4c83-9cd1-232e0427bf95,2026,56,Which of the following statements with regard to the persons with disabilities in India is/are correct ? 1. The Rights of Persons with Disab,non_ascii_suspect,flagged,,,,
question,7982e5ce-6ca2-4d4e-af8e-16406d4f283a,2026,57,Consider the following statements about the provisions pertaining to the Scheduled Castes and the Scheduled Tribes in India : 1. Provisions ,,spot_check,,,,
question,7bb0789f-5c76-4cfc-a0b8-ca024aa78594,2026,58,Consider the following statements in respect of questions asked by the Members in the Parliament of India : Unstarred questions are those to,,,,,,
question,005470dd-8a28-41cf-b4c5-905beeed58af,2026,59,Consider the following statements about the Committee on the Welfare of Scheduled Castes and Scheduled Tribes of the Parliament of India : 1,,,,,,
question,3f4f456d-01b4-4368-859e-af963c580d6d,2026,60,"Consider the following statements about Mission Sudarshan Chakra of India : 1. It aims to enhance India’s air defence, ballistic missile def",non_ascii_suspect,flagged,,,,
question,c88747de-ffdd-4551-80f0-62d0a6217213,2026,61,"Consider the following statements about river bridges connecting India with neighbouring countries : 1. ‘Maitri Setu’, built over Feni river",non_ascii_suspect,flagged,,,,
question,02b465fb-a068-4eee-a7c2-a4bfbf7ece36,2026,62,"Which of the following statements about a Zero First Information Report (Zero FIR) under the Bharatiya Nagarik Suraksha Sanhita (BNSS), 2023",,,,,,
question,d1e89db7-a6d6-47b4-bdd2-835282287269,2026,63,"With reference to the organisations under the Government of India, consider the following details : SI.No. | Function | Controlling Union Mi",,,,,,
question,0e0effd2-a8a9-49e9-9619-98f76bb2fec2,2026,64,Which of the following international conventions have not been ratified by India ? 1.Employment Policy Convention 2. Abolition of Forced Lab,mcq_no_correct_option,flagged,,,,
question,a32d6e87-9944-45af-ba39-8b86070fe230,2026,65,"Consider the following statements with respect to the AI Impact Summit, 2026 held in New Delhi : Ae The Summit’s intellectual framework was ",non_ascii_suspect,flagged,,,,
question,e815176e-06fe-420b-8288-81d575c30167,2026,66,Which of the following connectivity projects is/are a part of cooperation between India and the ASEAN member countries? 1. Kaladan Multi-Mod,,,,,,
question,972f4df5-1c5a-4a56-bb4b-c79e79a36770,2026,67,Match List I with List II and select the answer using the code given below the Lists : List I (Project Supported by India) | List II (Countr,,,,,,
question,9a49c8a6-5c2c-438a-8a5d-a69a9606aaa9,2026,68,Which of the following items of defence | hardware is/are manufactured in India ? 1. Su-30 MKI Fighter Jets 2. T-90 MK-III Tanks 3. Akula Cl,,,,,,
question,9fc10cdf-d9d7-4ba1-b1a6-a07137c7c7ae,2026,69,Consider the following statements about platforms for multilateral co-operation : I. The ‘Colombo Process’ is a regional consultative proces,non_ascii_suspect,flagged,,,,
question,286356fe-1994-4050-9583-c0fed76cd3d8,2026,70,Consider the following UN organisations/ agencies :,mcq_no_correct_option,flagged,,,,
question,1b90d2b4-ba4c-4c21-8d1c-f2719a39b2ba,2026,71,Match ListI with and select the answer using the code given below the Lists : List I List II (UN Peacekeeping (Period of Operation) Operatio,non_ascii_suspect,flagged,,,,
question,4e44d750-d0bb-469b-84ca-f830fc40290e,2026,72,Match List I with List II and select the answer using the code given below the Lists : List I (BIMSTEC Establishment) | List II (Location) A,,,,,,
question,63127f5f-d7a1-4809-99bf-d75c2cff335b,2026,73,Which one of the following pairs is not correctly matched ? (Indian : Army (Headquarters) Corps),mcq_no_correct_option,flagged,,,,
question,c2d6c35c-7e78-4deb-9ec2-3624199cbe0f,2026,74,Which of the following statements with respect to the Revamped Rashtriya Gram Swaraj Abhiyan (RGSA) is/are correct ? 1. The period of its im,,spot_check,,,,
question,098b857c-d194-48dc-872f-e9305e2fcce6,2026,75,"Which of the following countries are members of the European Union ? 1.Belarus 2. Poland 3. Germany 4, Switzerland",,,,,,
question,0448796f-2e38-4bc8-ae20-65ed3b2a9baa,2026,76,Match List I with List II and select the answer using the code given below the Lists: List I (INTERPOL Notice) | List II (Description) A. Si,non_ascii_suspect,flagged,,,,
question,13049005-8013-4772-88f6-ce2e0d18eef6,2026,77,Which of the following statements in relation to NIRANTAR (National Institute for Research and Application of Natural Resources to Transform,,,,,,
question,c4b37d8d-7ad2-4dee-9cdf-2a31f26bc44c,2026,78,"The Chancellor of the Federal Republic of | Germany visited India in January, 2026. Which of the following is/are not correct in terms of ou",,,,,,
question,20896736-feb2-4f3a-ab57-f9a1f8bd7283,2026,79,Which of the following statements about DHRUV64 is/are correct ? 1. It is the third chip fabricated under the DIR-V Programme with an overal,non_ascii_suspect,flagged,,,,
question,cfa6a2d4-c737-4305-b55d-80211f4e362e,2026,80,The Bureau of Indian Standards (BIS) recently introduced a national standard to test and assess bomb disposal system. Which of the following,,,,,,
question,0286892d-bb3e-43cf-a2ee-f84d001d7f26,2026,81,"*X’, born in the UK, was conferred the Nobel Prize in 2025. He was a professor in an American university when this prize was announced. Iden",non_ascii_suspect,flagged,,,,
question,fa888e75-787a-477b-8edf-f7872f78e752,2026,82,Which of the following statements with regard to the Grand Slam Tennis Tournaments is/are correct ? 1. The tournaments have a shared governa,non_ascii_suspect,flagged,,,,
question,9b22fcab-ef31-4628-8ce7-df48e4223e3b,2026,83,Which one of the following pairs of semiconductor plants in India and their locations is not correctly matched ?,,,,,,
question,cd3f2153-388a-44c4-b384-0a675ec34325,2026,84,"Which of the following statements with regard to India’s indigenous new high resolution weather model, the ‘Bharat Forecast System,’ is/are ",non_ascii_suspect,flagged,,,,
question,8414e97c-9c70-471e-880c-b404bab75fa2,2026,85,Consider the following statements with regard to the film ‘Boong’ : 1. The film has recently won the British Academy of Film and Television ,non_ascii_suspect,flagged,,,,
question,aee904e9-222b-4750-84e4-f5a53bdf1a5e,2026,86,Which of the following statements regarding the features of blockchain technology are correct ? 1.Records stored in the database may be made,,,,,,
question,2f12902f-11d9-4d5a-b5a1-12643e3d19c0,2026,87,An e-commerce revenue model where the seller has control over pricing but doesn’t keep products in stock and instead transfers customer orde,non_ascii_suspect,flagged,,,,
question,95bf00cb-b086-4351-b2ca-a237e17d73e7,2026,88,Which one of the following correctly represents the three key sub-indices of the Financial Inclusion Index (FI-Index) of the Reserve Bank of,,,,,,
