row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty,stimulus_preview,paper_id,section,current_primary_topic_id,apply_result,apply_detail
question,6c435fd2-5de8-481f-8e22-aa58653e454f,2025,1,"There is a need for high-quality welfare, as these standards are outlined in the World Development Report of the World Bank. Discuss.",,spot_check,verified,,,medium,,4009c3fe-f7ac-4468-bf6f-862d488509e0,Economic & Social Issues - Descriptive,a73b4af1-fb46-41dd-9d25-1cbb815f91cb,difficulty;verified,
question,229cc7ac-c93d-48ec-9755-bfd796c8b296,2025,2,"As the world approaches the 30th anniversary of the Beijing Declaration and the final five years of the 2030 Agenda, discuss the six priorit",,,verified,,,medium,,4009c3fe-f7ac-4468-bf6f-862d488509e0,Economic & Social Issues - Descriptive,ba4a8915-89b4-4e26-87de-9573d8c40bc4,difficulty;verified,
question,25cdb8b1-24d8-4c4d-b6de-02bfbdc2697f,2025,3,Recently released Sustainable development report marks India's first-time entry in the top 100 with a rank of 99th. Discuss the interplay of,,,verified,,,easy,,4009c3fe-f7ac-4468-bf6f-862d488509e0,Economic & Social Issues - Descriptive,c862456b-d22b-45b5-9150-d9d1f21eb0c6,difficulty;verified,
question,fb5f5888-02ac-4bb7-9448-b12bf3f44f65,2025,4,"Urban India is witnessing rapid growth, and the Smart Cities Mission seeks to harness this transformation. With reference to Visakhapatnam, ",non_ascii_suspect,flagged,verified,primary tag replaced by operator SQL after this run,,medium,,4009c3fe-f7ac-4468-bf6f-862d488509e0,Economic & Social Issues - Descriptive,c433edd3-ad2d-408b-bd3e-fbf1828a030d,difficulty;verified,
question,aec44e69-52bb-4d24-bcb9-040ab5f87f0f,2025,5,The RBI’s recent monetary policy assessment highlights sustained consumer demand and a resilient economy during April–October 2025. Discuss ,non_ascii_suspect,flagged,verified,,,medium,,4009c3fe-f7ac-4468-bf6f-862d488509e0,Economic & Social Issues - Descriptive,d5110ca8-291e-4287-a8ff-2cd5093ce271,difficulty;verified,
question,99a7f982-5234-40f1-b9cd-7a2cb52bfcd3,2025,6,"Multiculturalism plays a crucial role in fostering cultural diversity, promoting tolerance, and strengthening democratic foundations. Discus",,,verified,primary tag replaced by operator SQL after this run,,medium,,4009c3fe-f7ac-4468-bf6f-862d488509e0,Economic & Social Issues - Descriptive,55017e5e-7c55-4ca2-a8a4-9467526ef577,difficulty;verified,
question,a1d29d65-8949-489b-913c-d3b578bf5261,2025,7,The Pradhan Mantri Suraksha Bima Yojana (PMSBY) is a government-backed accident insurance scheme aimed at providing social security coverage,non_ascii_suspect;no_primary_tag,flagged,verified,,ec1c423a-d5ab-42aa-b03e-26d3a74e72fb,easy,,4009c3fe-f7ac-4468-bf6f-862d488509e0,Economic & Social Issues,,difficulty;tagged;verified,
question,9b18d19f-4799-4e4d-89ba-458daf3848c3,2025,8,The Public Provident Fund (PPF) is a long-term small savings scheme introduced by the Government of India in 1968 to encourage household sav,non_ascii_suspect;no_primary_tag,flagged,verified,,5e3f8952-3acb-45fa-8e28-b4e5ed0e3dc8,medium,,4009c3fe-f7ac-4468-bf6f-862d488509e0,Economic & Social Issues,,difficulty;tagged;verified,
question,8ce8cdb3-54cb-4a01-9cb4-6381232c72b6,2025,9,A private training organisation proposes to open a Pradhan Mantri Kaushal Kendra (PMKK) in a semi-urban district of India. The organisation ,non_ascii_suspect;no_primary_tag,flagged,verified,,a8e79dbb-62c4-424f-83dd-56dbf319e539,medium,,4009c3fe-f7ac-4468-bf6f-862d488509e0,Economic & Social Issues,,difficulty;tagged;verified,
question,073aca3f-93c7-4261-943a-03083c28ce0e,2025,10,Consider the following statement with reference to PM Surya Ghar Muft Bijli yojana? 1. Person X wants to install a rooftop solar system. He ,no_primary_tag,flagged,verified,,55445373-0670-480b-9789-76cf81fef778,medium,,4009c3fe-f7ac-4468-bf6f-862d488509e0,Economic & Social Issues,,difficulty;tagged;verified,
