question_number,difficulty
1,hard
2,easy
3,medium
4,easy
5,hard
6,medium
7,medium
8,medium
9,medium
10,hard
11,medium
12,easy
13,hard
14,easy
15,hard
16,medium
17,hard
18,hard
19,hard
20,medium
21,hard
22,easy
23,hard
24,easy
25,hard
26,medium
27,hard
28,hard
29,hard
30,hard
31,hard
32,easy
33,hard
34,easy
35,hard
36,hard
37,hard
38,medium
39,medium
40,medium
41,hard
42,hard
43,hard
44,hard
45,medium
46,hard
47,medium
48,medium
49,hard
50,hard
51,hard
52,easy
53,medium
54,hard
55,hard
56,medium
57,hard
58,hard
59,hard
60,hard
61,hard
62,easy
63,hard
64,easy
65,hard
66,medium
67,medium
68,hard
69,medium
70,medium
71,hard
72,easy
73,hard
74,easy
75,hard
76,hard
77,hard
78,medium
79,hard
80,hard
