mention_id,paper,macro_topic,level,mention_type,text,decision,notes
04bb8eb1-6040-44f8-9dca-bb3462a60066,General Studies I,Ancient India (Pre-history to Post-Mauryan),topic,derived,Indian culture / Modern history (background formation) — foundational ancient-history spine feeding GS1 culture and history questions.,verified,
54efd91c-459a-4f1d-a62f-d02ed7c96b44,General Studies I,Ancient India (Pre-history to Post-Mauryan),microtopic,derived,Growth of Jainism and Buddhism as heterodox responses to Vedic orthodoxy,verified,
ada63339-6bd4-46db-9b51-2a86cb1872f1,General Studies I,Ancient India (Pre-history to Post-Mauryan),microtopic,derived,"Harshavardhana: sources, administration, officials, economy, Huen Tsang's arrival, society and religion",verified,
3838bfad-d9d2-42b7-a2b6-8925429fbba2,General Studies I,Ancient India (Pre-history to Post-Mauryan),microtopic,derived,"Imperial Guptas: political history, Fa-hien's account, administration, development of art and culture, urban centres, and societal change; the Gupta era as a historiographical 'golden age' debate",verified,
16710ee3-4aba-4dba-b3a2-1db692ec0388,General Studies I,Ancient India (Pre-history to Post-Mauryan),microtopic,derived,"India's contacts with the rest of Asia: propagation of Buddhism, Roman trade, Chinese silk route, Kanishka's reign, spread of Indian culture to Southeast Asia",verified,
885fb747-e9e6-43c9-b7a8-ef4b39b31acf,General Studies I,Ancient India (Pre-history to Post-Mauryan),microtopic,derived,"Indus Valley Civilization: major cities and town-planning, internal/foreign trade, agriculture, domestication, crafts, weights and measures, script, society, religion, economy, burial system, and decline",verified,
c3fa3e02-e803-40c2-a57a-4ebab0998631,General Studies I,Ancient India (Pre-history to Post-Mauryan),microtopic,derived,Pastoral and farming communities: Neolithic/Chalcolithic phases and their geographic distribution,verified,
3a410dfb-52b7-4aaf-a35a-d2af321c9d8c,General Studies I,Ancient India (Pre-history to Post-Mauryan),microtopic,derived,"Post-Mauryan India (200 BC-AD 300): Indo-Greeks/Shakas/Parthians/Kushanas, commercial contacts abroad, Satavahanas and other indigenous dynasties, evolution of jatis, Sangam texts, and Gandhara/Mathura/Amravati art schools",verified,
f7f97f2c-eb5c-48d2-a096-713da2bd538d,General Studies I,Ancient India (Pre-history to Post-Mauryan),microtopic,derived,"Pre-Mauryan period: second urbanisation, sixteen Mahajanapadas, Gana-Sangha republics, rise of urban centres, evolution of coins, Haryanka/Shishunaga/Nanda dynasties",verified,
b8852d9a-67ab-43fa-b77f-6afbb248f5db,General Studies I,Ancient India (Pre-history to Post-Mauryan),microtopic,derived,"Sangam period south Indian dynasties: Cholas, Cheras, Pandyas, Sangam polity/society/culture/economy",verified,
4d51822e-9b50-43e4-aaab-acc948487468,General Studies I,Ancient India (Pre-history to Post-Mauryan),microtopic,derived,"Sources and periodization of Indian pre-history: Palaeolithic, Mesolithic, Neolithic, Chalcolithic, Iron Age and the impact of iron",verified,
98a08ca3-a9d8-4637-a103-a40e4a5dcdd7,General Studies I,Ancient India (Pre-history to Post-Mauryan),microtopic,derived,Taxila as a renowned centre of scholarship and the strategic-location factors behind its ruin,verified,
512ddf9c-a611-409f-895d-0b943616a080,General Studies I,Ancient India (Pre-history to Post-Mauryan),microtopic,derived,"The Mauryan Empire: Chandragupta, Bindusara, the Arthashastra, Megasthenes, Ashoka's inscriptions/sites/Dhamma, Mauryan administration/economy/society/art, and its decline",verified,
c4f0bc00-2cec-4871-98f1-b2fc02c81489,General Studies I,Ancient India (Pre-history to Post-Mauryan),microtopic,derived,"Vedic society: original home of Aryans, Vedic texts and Upanishads, Rig Vedic vs later Vedic geography, economy, polity, varna system, religion and thought",verified,
f038bef9-756f-4ac0-ade6-631d4e704c86,General Studies I,Geography (World Physical Geography),topic,explicit,"Salient features of world’s physical geography. Distribution of key natural resources across the world (including South Asia and the Indian sub-continent); factors responsible for the location of primary, secondary, and tertiary sector industries in various parts of the world (including India). Important Geophysical phenomena such as earthquakes, Tsunami, Volcanic activity, cyclone etc., geographical features and their location-changes in critical geographical features (including water-bodies and ice-caps) and in flora and fauna and the effects of such changes.",verified,
