row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty
question,6d1d6d7e-8e2f-4e9c-88df-e71703804f5f,2023,1,Consider the following statements : Jhelum River passes through Wular Lake. Krishna River directly feeds Kolleru Lake. Meandering of Gandak ,,spot_check,,,,
question,ee1a8af0-6681-411c-9145-b70b1c012b4c,2023,2,Consider the following pairs : Port : Well known as Kamaraj Port : First major port in India registered as a company · Mundra Port : Largest,non_ascii_suspect,flagged,,,,
question,ad6443b7-f730-4e38-8768-aeddf898a2b9,2023,3,Consider the following trees : Jackfruit (Artocarpus heterophyllus) Mahua (Madhuca indica) Teak (Tectona grandis) How many of the above are ,,,,,,
question,4487fa06-1411-4206-b2b7-1e0b185a2c8a,2023,4,Consider the following statements : India has more arable area than China. The proportion of irrigated area is more in India as compared to ,,,,,,
question,c04f8f73-da5b-4c6c-b856-161df27a973c,2023,5,"Which one of the following is the best example of repeated falls in sea level, giving rise to present-day extensive marshland?",,,,,,
question,d666c5b4-85aa-4f2f-9c4b-1a9f76f7f490,2023,6,"Ilmenite and rutile, abundantly available in certain coastal tracts of India, are rich sources of which one of the following?",,,,,,
question,1d148fb9-1c18-45af-97ff-ff744ff4a727,2023,7,"About three-fourths of world’s cobalt, a metal required for the manufacture of batteries for electric motor vehicles, is produced by",non_ascii_suspect,flagged,,,,
question,da6cd2eb-9204-43e6-a471-ce2c22b65e9b,2023,8,Which one of the following is a part of the Congo Basin?,,,,,,
question,9035182e-f97e-409f-83ef-c0ad95eceb59,2023,9,Consider the following statements : Amarkantak Hills are at the confluence of Vindhya and Sahyadri Ranges. Biligirirangan Hills constitute t,,,,,,
question,266fc191-876a-4f87-8a83-8b3c72324666,2023,10,"With reference to India’s projects on connectivity, consider the following statements : East-West Corridor under Golden Quadrilateral Projec",non_ascii_suspect,flagged,,,,
question,e4bcdcac-0260-429f-965b-146a64d58d8e,2023,11,"Consider the following statements : Statement-I : India, despite having uranium deposits, depends on coal for most of its electricity produc",,,,,,
question,051d9a2e-4236-4b69-88ca-ea94d5599af6,2023,12,Consider the following statements : Statement-I : Marsupials are not naturally found in India. Statement-II : Marsupials can thrive only in ,,spot_check,,,,
question,ef27040e-3b9d-494e-b5a8-de8039b7e47f,2023,13,‘Invasive Species Specialist group’ (that develops Global Invasive Species Database) belongs to which one of the following organizations?,non_ascii_suspect,flagged,,,,
question,e8b1b72c-4af0-4676-a4ca-0f1b39d97eef,2023,14,Consider the following ‘fauna : Lion-tailed Macaque Malabar Civet Sambar Deer How many of the above are generally nocturnal or most active a,non_ascii_suspect,flagged,,,,
question,64e7630d-6767-479b-922f-d515b7addce7,2023,15,Which of the following organisms perform waggle dance for others of their kin to indicate the direction and the distance to a source of thei,,,,,,
question,8491cacd-e93d-4320-980b-4e42c1cfc893,2023,16,Consider the following statements : Some mushrooms have medicinal properties. Some mushrooms have psychoactive properties. Some mushrooms ha,,,,,,
question,2506c911-0791-4890-8628-a38ed7e6933e,2023,17,Consider the following statements regarding the Indian squirrels : They build nests by making burrows in the ground. They store their food m,,,,,,
question,996a03d3-9a9b-4d16-b895-211a5d752efb,2023,18,Consider the following statements : Some microorganisms can grow in environments with temperature above the boiling point of water. Some mic,,,,,,
question,7fd68e75-848a-4f9b-8f75-3a694a7b1b0d,2023,19,Which one of the following makes a tool with a stick to scrape insects from a hole in a tree or a log of wood?,,,,,,
question,cf4c9a99-36f6-47a6-82e6-cb78c5d2a2aa,2023,20,Consider the following : Aerosols Foam agents Fire retardants Lubricants In the making of how many of the above are hydrofluorocarbons used?,,,,,,
question,47306734-32d5-416d-b540-f0d3b0350a16,2023,21,Consider the following statements : Statement-I : Interest income from the deposits in Infrastructure Investment Trusts (InviTs) distributed,non_ascii_suspect,flagged,,,,
question,23a7cbb8-4eae-4bdb-8318-f0d8d37810ea,2023,22,"Consider the following statements : Statement-I : In the post-pandemic recent past, many Central Banks worldwide had carried out interest ra",,,,,,
question,51f51c48-abda-4c43-84fd-0e34fe57dbc4,2023,23,Consider the following statements : Statement-I : Carbon markets are likely to be one of the most widespread tools in the fight against clim,non_ascii_suspect,flagged,,,,
question,1d56aeef-c08a-44cd-a8dc-89fc11f7ebb2,2023,24,Which one of the following activities of the Reserve Bank of India is considered to be part of ‘sterilization’?,non_ascii_suspect,flagged,,,,
question,41d3923b-50f2-40f4-8138-d2858719ecd3,2023,25,Consider the following markets : Government Bond Market Call Money Market Treasury Bill Market Stock Market How many of the above are includ,,spot_check,,,,
question,d448ab58-0a94-4671-a018-6d28089ba18d,2023,26,Which one of the following best describes the concept of ‘Small Farmer Large Field’?,non_ascii_suspect,flagged,,,,
question,6c1d3b27-53e3-4f8e-a339-da5bbc89d8ab,2023,27,Consider the following statements : The Government of India provides Minimum Support Price for niger (Guizotia aoyssinica) seeds. Niger is c,,,,,,
question,d0a46ca0-205e-444c-9de2-053cc7402833,2023,28,Consider the investments in the following assets : Brand recognition Inventory Intellectual property Mailing list of clients How many of the,,,,,,
question,48f5b0ae-0f9b-4bd7-844c-4d4c27caa8b7,2023,29,Consider the following : Demographic performance Forest and ecology Governance reforms Stable government Tax and fiscal efforts For the hori,,,,,,
question,fa5a0a97-87a9-4117-9bb4-f6e5960234d7,2023,30,Consider the following infrastructure sectors : Affordable housing Mass rapid transport Health care Renewable energy On how many of the abov,,,,,,
question,a06f4473-049d-4145-90f4-7d0078ea2166,2023,31,"In essence, what does ‘Due Process of Law’ mean?",non_ascii_suspect,flagged,,,,
question,88f9611f-3c1a-4516-9515-47742540a31e,2023,32,"Consider the following statements : Statement-I : In India, prisons are managed by State Govemments with their own rules and regulations for",,,,,,
question,f77e4e70-7497-400d-b2b6-614c381c8f54,2023,33,Which one of the following statements best reflects the Chief purpose of the ‘Constitution’ of a country?,non_ascii_suspect,flagged,,,,
question,49681c80-c36e-4da5-82de-1efae2d4c18c,2023,34,"In India, which one of the following Constitutional Amendments was widely believed to be enacted to overcome the judicial interpretations of",,,,,,
question,1ce0d996-5572-4247-a3ab-aa8af46a8d01,2023,35,Consider the following organizations/bodies in India : The National Commission for Backward Classes The National Human Rights Commission The,,,,,,
question,a586181a-cb16-4041-93a5-8782d69390a5,2023,36,"Consider the following statements : If the election of the President of India is declared void by the Supreme Court of India, all acts done ",,spot_check,,,,
question,91674b2f-18ec-47e1-9248-d9dea9251ae6,2023,37,"With reference to Finance Bill and Money Bill in the Indian Parliament, consider the following statements : When the Lok Sabha transmits Fin",,,,,,
question,1890f66a-e656-4335-9caf-b69f0f572aed,2023,38,Consider the following statements : Once the Central Government notifies an area as a ‘Community Reserve’ the Chief Wildlife Warden of the S,non_ascii_suspect,flagged,,,,
question,1091665a-fdcc-40dd-83a7-f473bef33818,2023,39,"With reference to ‘Scheduled Areas’ in India, consider the following statements : Within a State, the notification of an area as Scheduled A",non_ascii_suspect,flagged,,,,
question,0a3560bc-ace2-4e90-b071-63313e6a5920,2023,40,Consider the following statements : Statement-I : The Supreme Court of India has held in some judgements .that the reservation policies made,non_ascii_suspect,flagged,,,,
question,4c8e4efb-f93d-4133-8873-646f59e7977c,2023,41,"In which one of the following regions was Dhanyakataka, which flourished as a prominent Buddhist centre under the Mahasanghikas, located?",,,,,,
question,da22e86c-af51-4e12-ab6f-a44c34b56066,2023,42,"With reference to ancient India, consider the folloWing statements : The concept of Stupa is Buddhist in origin. Stupa was generally a repos",,,,,,
question,90df9c0a-9286-4637-b161-9bfc3f7944cb,2023,43,"With reference to ancient South India, Korkai, Poompuhar and Muchiri were well known as",,,,,,
question,e8ee06e2-3c47-480d-a223-cb55a44868ba,2023,44,Which one of the following explains the practice of ‘Vattakirutal’ as mentioned in Sangam poems?,non_ascii_suspect,flagged,,,,
question,e5498acf-5593-4166-8093-e4affa80f885,2023,45,Consider the following dynasties : Hoysala Gahadavala Kakatiya Yadava How many of the above dynasties established their kingdoms in early ei,,,,,,
question,395b3623-ab9a-4a88-aa07-4ef3a9bdc80b,2023,46,"With reference to ancient Indian History, consider the following pairs : Literary work : Author Deuichandragupta : Bilhana Hammira-Mahakauya",,,,,,
question,141ae015-dae7-4c5e-996e-11097bbd57ef,2023,47,"“Souls are not only the property ‘of animal and plant life, but also of rocks, running water and· many other natural objects not looked ‘on ",non_ascii_suspect,flagged,,,,
question,5d203d10-41df-4e55-9e91-2e3f808e8199,2023,48,Who among the following rulers of Vijayanagara Empire constructed a large dam across Tungabhadra River and a canal-cum-aqueduct several kilo,,,,,,
question,ef3018ba-6c23-4850-a2b9-60e2f023bf80,2023,49,Who among the following rulers of medieval Gujarat surrendered Diu to Portuguese?,,spot_check,,,,
question,490a8a76-de3a-487e-b709-94e92643a475,2023,50,"By which one of the following Acts was the Governor General of Bengal, designated as the Governor General of India?",,,,,,
question,3b7df7a9-343c-4bd9-a794-840be43534a9,2023,51,Consider the following statements in relation to Janani Suraksha Yojana : It is a safe motherhood intervention of the State Health Departmen,,,,,,
question,83cb4802-e822-4e6f-925a-ba4547659086,2023,52,Consider the following statements in the context of interventions being undertaken under Anaemia Mukt Bharat Strategy : It provides prophyla,,,,,,
question,4a5e600a-0bc5-448b-898e-476aa566458b,2023,53,Consider the following statements Carbon fibres are used in the manufacture of components used in automobiles and aircrafts. Carbon fibres o,,,,,,
question,284d172e-dbc9-49d8-a4dc-f3f66f14c714,2023,54,Consider the following actions : Detection of car crash/ collision which results in the deployment of airbags almost instantaneously Detecti,,,,,,
question,4b2d3629-34b5-4963-b01b-e7dc7213ba6c,2023,55,"With reference to the role of biofilters in Recirculating Aquaculture System, consider the following statements: Biofilters provide waste tr",,,,,,
question,4f74e374-b7bf-4e0d-a286-7ddc1ca96e92,2023,56,Consider the following pairs : Objects in space : Description Cepheids Giant clouds of dust and gas in space Nebulae Stars which brighten an,,,,,,
question,b7531075-39b1-4b08-9467-74357bca9bb0,2023,57,Which one of the following countries has its own Satellite Navigation System?,,,,,,
question,2c8fa0d1-7971-4497-a3bd-9320a47ee7dc,2023,58,"Consider the following statements : Ballistic missiles are jet-propelled at subsonic speeds throughout their flights, while cruise missiles ",,spot_check,,,,
question,258184b1-2bbd-483c-b1a7-39522d50e058,2023,59,Consider the following statements regarding mercury pollution : Gold mining activity is a source of mercury pollution in the world. Coal-bas,,,,,,
question,01a6e025-2013-4ac4-832a-c84baa686151,2023,60,"With reference to green hydrogen, consider the following statements : It can be used directly as a fuel for internal combustion. It can be b",,,,,,
question,d23f18c6-41ea-4b03-a654-edf25838c691,2023,61,Consider the following countries : Bulgaria Czech Republic Hungary Latvia Lithuania Romania How many of the above-mentioned countnes share a,,,,,,
question,cefbd77b-7a3f-4e19-b7f3-694fc9419073,2023,62,"With reference to the Earth’s atmosphere, which one of the following statements is correct?",non_ascii_suspect,flagged,,,,
question,1292af48-5cc9-411b-9b4e-72a17c87dd89,2023,63,Consider the following statements Statement-I : The soil in tropical rain forests is rich in nutrients. Statement-II : The high temperature ,,,,,,
question,dac8511c-1bdb-4c47-9124-195ba4a4695c,2023,64,Consider the following statements : Statement-I : The temperature contrast between continents and oceans is greater during summer than in wi,,,,,,
question,f7b934d1-8bee-4434-bf75-f5e83937cb10,2023,65,"Consider the following statements : In a seismograph, P waves are recorded earlier than S waves. In P waves, the individual particles vibrat",,,,,,
question,333a2bf7-bff2-4bd6-a5d7-9d1efb857791,2023,66,"With reference to coal-based thermal power plants in India, consider the following statements : None of them uses seawater. None of them is ",,,,,,
question,ed61bf01-049d-436d-9850-b5942500bea4,2023,67,‘Wolbachia method’ is sometimes talked about with reference to which one of the following?,non_ascii_suspect,flagged,,,,
question,b4bb7891-ff3c-45f9-91a3-04f5bc74b0be,2023,68,Consider the following activities : Spreading finely ground basalt rock on farmlands extensively Increasing the alkalinity of oceans by addi,,spot_check,,,,
question,d72e2f2e-adcb-4f27-8523-bb673cbab616,2023,69,Aerial metagenomics’ best refers to which one of the following situations?,non_ascii_suspect,flagged,,,,
question,3f8d5d22-e2f7-4218-898c-8f8aca494427,2023,70,‘Microsatellite DNA’ is used in the case of which one of the following?,non_ascii_suspect,flagged,,,,
question,7fc0eef2-b185-4113-b3c7-ea3574853c5b,2023,71,"Consider the following statements with reference to India : According to the ‘Micro, Small and Medium Enterprises Development (MSMED) Act, 2",non_ascii_suspect,flagged,,,,
question,a2813f1c-2888-4a92-b101-5a62aee113c3,2023,72,"With reference to Central Bank digital currencies, consider the following statements : It is possible to make payments in a digital currency",,,,,,
question,7e1f182d-bfcc-4f5b-baf4-fd04812d6977,2023,73,"In the context of finance, the term ‘beta’ refers to",non_ascii_suspect,flagged,,,,
question,dca0579c-f6c8-4116-a55c-b9dfb1e884e4,2023,74,Consider the following statements : The Self-Help Group (SHG) programme was originally initiated by the State Bank of India by providing mic,,,,,,
question,95159c24-4c73-4fbb-85d3-05ac3f4b534a,2023,75,Consider the following statements : Statement-I: India’s public sector health care system largely focuses on curative care with limited prev,non_ascii_suspect,flagged,,,,
question,a6cafa6f-1da8-4502-99bf-1faea2677006,2023,76,"Consider the following statements : Statement-I : According to the United Nations ‘World Water Development Report, 2022’, India extracts mor",non_ascii_suspect,flagged,,,,
question,82f374c2-b0a1-4e23-a177-30dc95c9689a,2023,77,"Consider the following statements : According to the Constitution of India, the Central Government has a duty to protect States from interna",,,,,,
question,298b6c95-6d78-406d-8561-236c114cfc64,2023,78,Which one of the following countries has been suffering from decades of civil strife and food shortages and was in news in the recent past f,,,,,,
question,18cfaba7-3872-4e17-b945-99c075361773,2023,79,"Consider the following statements : In India, the Biodiversity Management Committees are key to the realization of the objectives of the Nag",,,,,,
question,1557cdf5-36c3-4efe-9e76-85dab01953db,2023,80,Consider the following statements in respect of election to the President of India : The members nominated to either House of the Parliament,,,,,,
question,bb393ccc-12ec-4d95-a8a5-2732a3b8f514,2023,81,"With reference to the Indian History, Alexander Rea, A. H. Longhurst, Robert Sewell, James Burgess and Walter Elliot were associated with",,,,,,
question,32e1d3d4-8b35-4001-acdc-349807c52e31,2023,82,Consider the following pairs : Site – Well known for Besnagar: Shaivite cave shrine Bhaja: Buddhist cave shrine Sittanavasal: Jain cave shri,non_ascii_suspect,flagged,,,,
question,d6c6635c-d8ce-4965-8264-688fabf9b744,2023,83,Consider the following statelllents : Statement-I : 7th August is declared as the National Handloom Day. Statement-II : It was in 1905 that ,,spot_check,,,,
question,0e73738b-aa96-455b-9011-d5ee2ce20713,2023,84,"Consider the following statements in respect of the National Flag of India, according to the Flag Code of India, 2002: Statement-I : One of ",,,,,,
