slug	exams	name
fin-aif-categories-and-angel-funds-0084a9f3	ifsca,pfrda,sebi	AIF categories and Angel Funds
fin-account-aggregator-framework-54211b31	ifsca,pfrda,sebi	Account Aggregator framework
fin-active-vs-passive-investment-strategies-9a451e96	ifsca,pfrda,sebi	Active vs passive investment strategies
fin-alternate-sources-of-finance-1d5feb9c	ifsca,pfrda,sebi	Alternate sources of finance
fin-anchor-investors-and-lock-in-9c556998	ifsca,pfrda,sebi	Anchor investors and lock-in
fin-asset-classification-npa-and-divergence-disclosure-bce36906	ifsca,pfrda,sebi	Asset classification, NPA and divergence disclosure
fin-bot-variants-and-risk-allocation-0ed2c252	ifsca,pfrda,sebi	BOT variants and risk allocation
fin-bank-advances-cash-credit-overdraft-bill-discounting-5a3cb714	ifsca,pfrda,sebi	Bank advances — cash credit, overdraft, bill discounting
fin-banking-regulation-act-1949-licensing-s-35a-scheduled-banks-bc585c11	ifsca,pfrda,sebi	Banking Regulation Act 1949 — licensing, s.35A, scheduled banks
fin-basel-norms-and-capital-adequacy-2a0b56cf	ifsca	Basel norms and capital adequacy
fin-bond-yield-and-pricing-d8b6d50e	ifsca,pfrda,sebi	Bond yield and pricing
fin-business-correspondents-a0d54848	ifsca,pfrda,sebi	Business correspondents
fin-cbdc-stablecoins-and-crypto-policy-9476ef9a	ifsca,pfrda,sebi	CBDC, stablecoins and crypto policy
fin-cpi-components-and-trends-4bb0a8ea	ifsca,pfrda,sebi	CPI components and trends
fin-call-notice-and-term-money-4a0be84f	ifsca,pfrda,sebi	Call, notice and term money
fin-callable-and-puttable-securities-f888d9aa	ifsca,pfrda,sebi	Callable and puttable securities
fin-capital-and-leverage-norms-d-sibs-c1201623	ifsca,pfrda,sebi	Capital and leverage norms; D-SIBs
fin-certificates-of-deposit-denomination-and-maturity-49b00cd6	ifsca,pfrda,sebi	Certificates of deposit — denomination and maturity
fin-cheque-truncation-system-df558b7f	ifsca,pfrda,sebi	Cheque Truncation System
fin-circuit-breakers-and-trading-halts-3d39e4dd	ifsca,pfrda,sebi	Circuit breakers and trading halts
fin-clearing-corporations-and-settlement-469ecd05	ifsca,pfrda,sebi	Clearing corporations and settlement
fin-commercial-paper-eligibility-and-net-worth-b032568c	ifsca,pfrda,sebi	Commercial paper — eligibility and net worth
fin-contango-and-backwardation-591fb9ff	ifsca,pfrda,sebi	Contango and backwardation
fin-credit-default-swaps-7725a2ef	ifsca,pfrda,sebi	Credit default swaps
fin-credit-rating-agencies-and-sovereign-ratings-a4f09f50	ifsca,pfrda,sebi	Credit rating agencies and sovereign ratings
fin-currency-risk-and-settlement-risk-b4c402da	ifsca,pfrda,sebi	Currency risk and settlement risk
fin-dtaa-and-tax-administration-bodies-7f30b2fa	ifsca,pfrda,sebi	DTAA and tax administration bodies
fin-day-count-conventions-468761e5	ifsca,pfrda,sebi	Day-count conventions
fin-depositories-act-1996-10c812ac	ifsca,pfrda,sebi	Depositories Act 1996
fin-depositories-and-dematerialisation-0a3e7f01	ifsca,pfrda,sebi	Depositories and dematerialisation
fin-development-financial-institutions-nabard-sidbi-nhb-nabfid-e-95bc9803	ifsca,pfrda,sebi	Development financial institutions — NABARD, SIDBI, NHB, NaBFID, EXIM
fin-digital-public-infrastructure-and-india-stack-28615c13	ifsca,pfrda,sebi	Digital Public Infrastructure and India Stack
fin-dilution-and-further-issue-of-capital-41a71d2a	ifsca,pfrda,sebi	Dilution and further issue of capital
fin-direct-vs-indirect-taxes-66414170	ifsca,pfrda,sebi	Direct vs indirect taxes
fin-export-credit-and-trade-finance-7f162ab0	ifsca,pfrda,sebi	Export credit and trade finance
fin-fbil-benchmark-rates-fbb2b6a6	ifsca,pfrda,sebi	FBIL benchmark rates
fin-fdi-caps-and-sectoral-limits-402d73ba	ifsca,pfrda,sebi	FDI caps and sectoral limits
fin-fema-framework-and-master-directions-abd75bc6	ifsca,pfrda,sebi	FEMA framework and Master Directions
fin-frbm-act-targets-and-fiscal-rules-dfa55a55	ifsca,pfrda,sebi	FRBM Act targets and fiscal rules
fin-fsdc-and-regulatory-coordination-4c2d899f	ifsca,pfrda,sebi	FSDC and regulatory coordination
fin-finance-commission-and-devolution-criteria-911108f5	ifsca,pfrda,sebi	Finance Commission and devolution criteria
