paper_code,content_hash,year,paper,official_number,sub_part,text,kind,subject_slug,status,proposed_slug,proposed_name,score,runner_up_slug,runner_up_name,runner_up_score,proposer_version,approved,edited_slug,essay_type,reviewer_note
UPSC-CSE-MAINS-GS-2013-GS1,442da5bdc375ca7198364f01c9f9f03a3263b4e3b9c845a8784d924acb408edd,2013,GS1,5,,Several foreigners made India their homeland and participated in various movements. Analyze their role in the Indian struggle for freedom.,topic,upsc-cse-mains-gs1,MAPPED,gs-1-revolt-of-1857-and-freedom-struggle-trends-during-the-freedom-struggle-indi-0122cf15,"Trends during the freedom struggle: Indian Renaissance/socio-religious movements, civil rebellions, tribal and peasant movements, working-class movement (1850-1900), growth of communalism, Left/Communist trends, press and education, role of women, Governors-General and Viceroys of India, important persons and Congress sessions",0.4795,gs-1-revolt-of-1857-and-freedom-struggle-march-towards-freedom-civil-disobedienc-bb45f693,"March towards freedom: Civil Disobedience Movement, Round Table Conferences, Poona Pact, GoI Act 1935, Congress ministries, Tripuri Session, August Offer, Individual Satyagraha (1940-41)",0.3255,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS1,b4e1bde83a7505cf4545cbc2b37cfc1284fd51a23be84df7cb170f234948a129,2013,GS1,6,,"“In many ways, Lord Dalhousie was the founder of modern India.” Elaborate.",topic,upsc-cse-mains-gs1,MAPPED,gs-1-indian-culture-indian-theatre-classical-sanskrit-regional-modern-and-its-re-9c03092f,"Indian theatre: classical Sanskrit, regional, modern, and its renaissance",0.2396,gs-1-indian-culture-medieval-school-of-sculpture-and-modern-indian-sculpture-6f3f20b0,Medieval school of sculpture and modern Indian sculpture,0.2333,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS1,9eb6e7795b5c3aa58192e0162424ec8ff6df0392c0f39925ccb51aeca86d53f4,2013,GS1,7,,"Write a critical note on the evolution and significance of the slogan, Jai Jawan Jai Kisan’.",topic,upsc-cse-mains-gs1,MAPPED,gs-1-geography-world-physical-geography-origin-and-evolution-of-the-earth-early-1303460a,"Origin and evolution of the Earth: early/modern (BBT) theories, star and planet formation, layered structure, evolution of lithosphere/atmosphere/hydrosphere, and origin of life",0.2191,gs-1-geography-world-physical-geography-world-physiographic-divisions-and-their-6cda57f1,World physiographic divisions and their economic-geographic significance; wetlands' ecological/economic importance,0.1753,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS1,984957b6ded9a64c5ce1d01a990ecbf1242cb9b6b9a6682b74830d10c30c196a,2013,GS1,8,,Discuss the contributions of Maulana Abul Kalam Azad to pre- and _ postindependent India.,topic,upsc-cse-mains-gs1,MAPPED,gs-1-medieval-india-establishment-of-the-mughal-empire-humayun-s-struggles-the-s-0d7dce2e,"Establishment of the Mughal empire: Humayun's struggles, the Sur dynasty and Sher Shah's administrative contributions",0.2157,gs-1-revolt-of-1857-and-freedom-struggle-early-nationalism-pre-congress-organisa-853097c5,"Early nationalism: pre-Congress organisations, Indian National Congress (1858-1905), early nationalists vs Swadeshi/Extremist strategic factions, GoI Act 1909, Home Rule League",0.1217,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS1,6e11775128839a064ba27c20d72e8856a489f6d47cdb104cfb93a47e8266458d,2013,GS1,9,,Analyze the circumstances that led to the Tashkent Agreement in 1966. Discuss the highlights of the Agreement.,topic,upsc-cse-mains-gs1,MAPPED,gs-1-physical-geography-of-india-human-geography-and-economic-geography-connecti-51a31f75,"Connectivity & port-led development: Shinku La tunnel and regional connectivity, Indian ports and economic development",0.2425,gs-1-ancient-india-pre-history-to-post-mauryan-growth-of-jainism-and-buddhism-as-df8b42ee,Growth of Jainism and Buddhism as heterodox responses to Vedic orthodoxy,0.0,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS1,f4fc247e2cdcfea242a42ec7e4183761e2722da83036ca401fd142c3f88cfe5d,2013,GS1,10,,Critically examine the compulsions which prompted India to play a decisive role in the emergence of Bangladesh.,topic,upsc-cse-mains-gs1,MAPPED,gs-1-world-history-emergence-of-the-usa-american-colonies-independence-the-revol-2e6fc342,"Emergence of the USA: American colonies, independence, the Revolutionary War and its political/global impact, the US Civil War and its global impact and impact on India",0.1997,gs-1-physical-geography-of-india-human-geography-and-economic-geography-urbaniza-556f64cf,"Urbanization in India: pattern, issues, rural-urban migration, slum emergence, urban transport/waste/water-sanitation, urban poverty, and inclusive/smart-city responses",0.1911,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS1,a57e429f2880a88ab65eb158af94258eaaf2f81b16fde7fc693f53470444fbd9,2013,GS1,11,,“Tatecomer’ Industrial Revolution in Japan involved certain factors that were markedly different from what West had experienced.” Analyze.,topic,upsc-cse-mains-gs1,MAPPED,gs-1-world-history-russian-revolution-pre-revolution-events-causes-course-conseq-6ae50888,"Russian Revolution: pre-revolution events, causes, course, consequences, aftermath, and post-Lenin Russia",0.2027,gs-1-physical-geography-of-india-human-geography-and-economic-geography-drainage-de3829fd,"Drainage system of India: drainage patterns, Himalayan and Peninsular river systems (Indus, Ganga, Brahmaputra systems), and small east/west-flowing rivers",0.1644,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS1,a67949361f15952fda40782bd930a039ac7284faac71d4f0a740edf4bbb9f9ee,2013,GS1,12,,“Africa was chopped into States artificially created by accidents of European competition.” Analyze.,topic,upsc-cse-mains-gs1,MAPPED,gs-1-physical-geography-of-india-human-geography-and-economic-geography-global-p-9afda12c,"Global physical-geography case studies: Sub-Saharan Africa food security, Africa's Afar Triangle",0.2841,gs-1-post-independence-consolidation-re-organisation-and-integration-of-states-c-521f778b,"Re-organisation and integration of states: constitutional provisions, factors behind the merger, accession of princely states, J&K/Hyderabad/Junagarh crises, accession of French/Portuguese enclaves, accession of Sikkim, refugee rehabilitation, federal crisis, and national integration",0.1591,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS1,97fc93fd5ec3bcde2faad36aa4f210be265f9ac077f8b6ef148f1080e919d7c5,2013,GS1,14,,What policy instruments were deployed to contain the Great Economic Depression?,topic,upsc-cse-mains-gs1,MAPPED,gs-1-world-history-inter-war-years-1919-1939-the-great-depression-rise-of-fascis-8d15c159,"Inter-war years (1919-1939): the Great Depression, rise of Fascism in Italy, rise of Nazism in Germany, and the Soviet Union (USSR)",0.2311,gs-1-modern-indian-history-european-trading-companies-rivalry-the-carnatic-wars-152627e3,"European trading companies' rivalry, the Carnatic Wars, and the Battle of Plassey (1757) as 'a great betrayal' rather than a great battle",0.1989,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS1,ee365fe13d5481c6972eb14d6f116bae6be0ebc46199fdd0599b4b65c256bb89,2013,GS1,15,,Discuss the various social problems which originated out of the speedy process of urbanization in India.,topic,upsc-cse-mains-gs1,MAPPED,gs-1-indian-society-social-risk-institutional-conditions-state-of-prisons-drug-a-5fb7870f,"Social risk & institutional conditions: state of prisons, drug abuse, social media's effect on youth",0.3055,gs-1-indian-society-caste-system-structural-resilience-as-a-barrier-to-social-mo-7f3798ca,"Caste system: structural resilience as a barrier to social mobility, and its adaptation to modernization/secularization",0.2362,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS1,27f4cec5d28e8519ff17c38a10a59dfa1884c61b72d1e350f42dcc5aebf9c8fd,2013,GS1,16,,“Male membership needs to be encouraged in order to make women’s organization free from gender bias.” Comment.,topic,upsc-cse-mains-gs1,MAPPED,gs-1-indian-society-women-related-issues-hysterectomies-workforce-participation-c85e0a69,"Women-related issues: hysterectomies, workforce participation gaps, gender disparities in poverty, women in corporate roles, abortion rights, gender digital divide, menstrual hygiene, surrogacy rules, sexual harassment at workplace, domestic violence, marital rape, women in STEM, female entrepreneurship, NFHS-5 women-centric findings",0.2482,gs-1-indian-society-social-empowerment-meaning-need-five-year-plan-and-governmen-e656d358,"Social empowerment: meaning, need, Five-Year-Plan and government initiatives, role of civil society organisations",0.1908,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS1,fc9ce6c4f6c90517a1994d8f17f7b9505048629ac311108be478e38704aba439,2013,GS1,18,,Growing feeling of regionalism is an important factor in generation of demand for a separate State. Discuss.,topic,upsc-cse-mains-gs1,MAPPED,gs-1-indian-society-social-risk-institutional-conditions-state-of-prisons-drug-a-5fb7870f,"Social risk & institutional conditions: state of prisons, drug abuse, social media's effect on youth",0.1836,gs-1-world-history-nationalism-in-europe-rise-of-the-nation-state-system-unifica-8feb50ac,"Nationalism in Europe: rise of the nation-state system, unification of Italy and Germany",0.177,gs-insert-tag-proposer-v1,,,,
UPSC-CSE-MAINS-GS-2013-GS1,6900e4ce5efae0a0f0dddaedb3a0ca2e520be668310da38d834b0fb334c55787,2013,GS1,20,,"The recent cyclone on east coast of India was called ‘Phailin’, How are the tropical cyclones named across the world? Elaborate.",topic,upsc-cse-mains-gs1,MAPPED,gs-1-geography-world-physical-geography-tropical-cyclones-formation-conditions-c-2c4c22be,"Tropical cyclones: formation conditions, convective cyclogenesis, path, damage, Arabian Sea cyclones, naming conventions, and early-warning systems",0.3136,gs-1-world-history-development-in-the-middle-east-democratic-reforms-arab-nation-6cd1637e,"Development in the Middle East: democratic reforms, Arab nationalism, and Israel",0.1773,gs-insert-tag-proposer-v1,,,,
