year,paper,db_question_number,db_source_question_ref,extract_source_question_ref,verdict,reason,hand_verdict,calibration,hand_tranche,retag_required,len_ratio,len_ratio_clean,db_len,ul_len,db_mojibake_runs,ul_mojibake_runs,db_markers,ul_markers,nest_score,content_cosine,content_jaccard,content_jaccard_raw,pair_score,best_alt_score,best_alt_local_number,alt_margin,alt_is_pair,db_local_number,extract_local_number,position_delta,worklist_score,worklist_action,db_text,unlockias_text,best_alt_text
2013,GS1,4,GS1-Q4,GS1-Q3,apply,"content cosine 45.3 at or above the labelled apply floor of 30.3, length ratio 1.21 at or above the 0.66 floor (the pair is LONGER - it restores text db_text truncated), no enumeration loss, and the pair is the best match in the paper",apply,match,2,true,1.205,1.205,117,141,0,0,0,0,72.4,45.3,26.3,26.3,70.7,70.7,3,0.0,true,4,3,-1,73.5,review,"Defying the barriers of age, gender and religion, the Bhakti movement opened the doors of liberation to all. Discuss.","Defying the barriers of age, gender and religion, the Indian women became the torch-bearer during the struggle for freedom in India. Discuss.","Defying the barriers of age, gender and religion, the Indian women became the torch-bearer during the struggle for freedom in India. Discuss."
2013,GS1,13,GS1-Q13,GS1-Q13,apply,"content cosine 73.0 at or above the labelled apply floor of 30.3, length ratio 0.85 at or above the 0.66 floor, no enumeration loss, and the pair is the best match in the paper",,,,,0.851,0.851,94,80,0,0,0,0,72.6,73.0,55.6,55.6,70.1,70.1,13,0.0,true,13,13,0,72.9,replace,The American War of Independence was an economic revolt against British mercantilism. Discuss.,"""American Revolution was an economic revolt against mercantilism."" Substantiate.","""American Revolution was an economic revolt against mercantilism."" Substantiate."
2013,GS1,22,GS1-Q22,GS1-Q17,apply,"content cosine 44.7 at or above the labelled apply floor of 30.3, length ratio 0.91 at or above the 0.66 floor, no enumeration loss, and the pair is the best match in the paper",apply,match,2,,0.908,0.908,87,79,0,0,0,0,76.1,44.7,33.3,33.3,73.9,73.9,17,0.0,true,22,17,-5,75.7,review,Discuss the socio-economic impacts of globalization on the elderly population in India.,Critically examine the effect of globalization on the aged population in India.,Critically examine the effect of globalization on the aged population in India.
2013,GS2,27,GS2-Q2,GS2-Q7,wrong_question,UnlockIAS Q3 of the same paper scores 50.6 against db_text vs 41.9 for the pair (+8.7): the pairing is not the best available match,,,,,2.661,2.661,62,165,0,0,0,0,62.3,0.0,0.0,0.0,41.9,50.6,3,8.7,false,2,7,5,62.9,review,Discuss the scope and limitations of judicial review in India.,Discuss the recommendations of the 13th Finance Commission which have been a departure from the previous commissions for strengthening the local government finances.,Recent directives from Ministry of Petroleum and Natural Gas are perceived by the 'Nagas' as a threat to override the exceptional status enjoyed by the State. D
2013,GS2,46,GS2-Q21,GS2-Q2,wrong_question,content cosine 11.8 is at or below the labelled wrong-question ceiling of 38.7: the two texts do not share their subject matter,,,,,1.029,1.029,102,105,0,0,0,0,59.7,11.8,7.1,7.1,59.7,59.7,2,0.0,true,21,2,-19,60.3,review,Discuss the need for electoral reforms in India with special reference to criminalization of politics.,"Discuss Section 66A of IT Act, with reference to its alleged violation of Article 19 of the Constitution.","Discuss Section 66A of IT Act, with reference to its alleged violation of Article 19 of the Constitution."
2013,GS3,63,GS3-Q13,GS3-Q22,sub_part_loss,"no enumeration markers, but the pair is only 65% of db_text's length (below the 0.66 floor) AND sits inside it at nest 60.9 (above the 0.0 gate): a fragment is being taken",apply,MISMATCH,2,true,0.654,0.654,133,87,0,0,0,0,60.9,30.3,18.8,11.8,51.4,51.7,25,0.3,false,13,22,9,61.6,review,Analyze the role of social media networks in driving internal security disruptions and spreading misinformation during crisis events.,What are social networking sites and what security implications do these sites present?,How far are India's internal security challenges linked with border management particularly in view of the long porous borders with most countries of South Asia
2013,GS4,76,GS4-Q1a,GS4-A-Q1,wrong_question,content cosine 17.0 is at or below the labelled wrong-question ceiling of 38.7: the two texts do not share their subject matter,,,,,1.209,1.209,110,133,0,0,0,0,58.2,17.0,15.4,14.3,57.4,57.4,1,-0.0,true,,1,,60.0,review,What do you understand by 'ethical human conduct'? Discuss its determinants and consequences in human actions.,What do you understand by 'values' and 'ethics'? In what way is it important to be ethical along with being professionally competent?,What do you understand by 'values' and 'ethics'? In what way is it important to be ethical along with being professionally competent?
2013,GS4,78,GS4-Q2a,GS4-A-Q4,wrong_question,content cosine 29.7 is at or below the labelled wrong-question ceiling of 38.7: the two texts do not share their subject matter,,,,,1.44,1.44,91,131,0,0,0,0,64.9,29.7,15.4,15.4,53.7,53.7,4,0.0,true,,4,,66.2,replace,What is emotional intelligence and what are its utilities in civil services administration?,What is 'emotional intelligence' and how can it be developed in people? How does it help an individual in taking ethical decisions?,What is 'emotional intelligence' and how can it be developed in people? How does it help an individual in taking ethical decisions?
2014,GS1,10,GS1-Q10,GS1-Q20,apply,"content cosine 64.2 at or above the labelled apply floor of 30.3, length ratio 0.84 at or above the 0.66 floor, no enumeration loss, and the pair is the best match in the paper",apply,match,1,,0.844,0.844,90,76,0,0,0,0,67.6,64.2,37.5,22.2,74.1,74.1,20,0.0,true,10,20,10,69.1,replace,How does the concept of 'Secularism' in India differ from the Western model of secularism?,How do the Indian debates on secularism differ from the debates in the West?,How do the Indian debates on secularism differ from the debates in the West?
2014,GS2,21,GS2-Q1,GS2-Q3,apply,"content cosine 65.9 at or above the labelled apply floor of 30.3, length ratio 1.57 at or above the 0.66 floor (the pair is LONGER - it restores text db_text truncated), no enumeration loss, and the pair is the best match in the paper",apply,match,2,,1.575,1.575,174,274,0,0,0,0,83.6,65.9,44.0,44.0,75.3,75.3,3,-0.0,true,1,3,2,85.1,keep,"Starting from inventing the 'basic structure' doctrine, the judiciary has played a highly proactive role in ensuring that the Constitution remains a living document. Discuss.","Starting from inventing the ‘basic structure’ doctrine, the judiciary has played a highly proactive role in ensuring that India develops into a thriving democracy. In light of the statement, evaluate the role played by judicial activism in achieving the ideals of democracy.","Starting from inventing the ‘basic structure’ doctrine, the judiciary has played a highly proactive role in ensuring that India develops into a thriving democra"
2014,GS4,61,GS4-Q1a,GS4-A-Q1,apply,"content cosine 74.7 at or above the labelled apply floor of 30.3, length ratio 0.96 at or above the 0.66 floor, no enumeration loss, and the pair is the best match in the paper",,,,,0.964,0.964,112,108,0,0,0,0,87.0,74.7,55.6,55.6,87.5,87.5,1,0.0,true,,1,,87.7,keep,All human beings aspire for happiness. What does happiness mean to you? Explain its linkage with ethical living.,All human beings aspire for happiness. Do you agree? What does happiness mean to you? Explain with examples.,All human beings aspire for happiness. Do you agree? What does happiness mean to you? Explain with examples.
2016,GS1,48,GS1-Q10,GS1-Q8,review,content cosine 37.3 lies in the region where the labelled apply and wrong-question populations OVERLAP (30.3 - 38.7): the calibration set no longer supports any cut here,wrong_question,MISMATCH,1,,1.374,1.374,115,158,0,0,0,0,71.8,37.3,28.6,28.6,75.3,75.3,8,-0.0,true,10,8,-2,73.2,review,Why are the tribals in India referred to as 'Adivasis'? Indicate the major areas of their geographic concentration.,Why are the tribals in India referred to as the ‘Scheduled Tribes’? Indicate the major provisions enshrined in the Constitution of India for their upliftment.,Why are the tribals in India referred to as the ‘Scheduled Tribes’? Indicate the major provisions enshrined in the Constitution of India for their upliftment.
2016,GS1,57,GS1-Q19,GS1-Q16,apply,"content cosine 100.0 at or above the labelled apply floor of 30.3, length ratio 0.96 at or above the 0.66 floor, no enumeration loss, and the pair is the best match in the paper",apply,match,1,,0.963,0.963,82,79,0,0,0,0,87.2,100.0,100.0,100.0,84.5,84.5,16,-0.0,true,19,16,-3,88.2,keep,Explain the concept of 'Air Mass' and describe its role in macro-climatic changes.,Discuss the concept of air mass and explain its role in macro-climatic changes.,Discuss the concept of air mass and explain its role in macro-climatic changes.
2016,GS2,59,GS2-Q1,GS2-Q5,wrong_question,content cosine 30.0 is at or below the labelled wrong-question ceiling of 38.7: the two texts do not share their subject matter,,,,,2.586,2.586,133,344,0,0,0,0,74.6,30.0,17.2,17.2,66.0,66.0,5,-0.0,true,1,5,4,75.5,review,Discuss the Essentials of the 69th Constitutional Amendment Act and controversies surrounding it as a dimensions of federal friction.,"Discuss the essentials of the 69th Constitutional Amendment Act and anomalies, if any, that have led to recent reported conflicts between the elected representatives and the institution of the Lieutenant Governor in the administration of Delhi. Do you think that this will give rise to a new trend in the functioning of Indian federal politics?","Discuss the essentials of the 69th Constitutional Amendment Act and anomalies, if any, that have led to recent reported conflicts between the elected representa"
