group,id,verdict,fact,source,note
ACT-BANK,ACTB-042,wrong_key,"BR Act s.36AB(1): RBI may appoint 'one or more persons' as additional directors; the proviso capping them at five or one-third of maximum strength was OMITTED by Act 1 of 1984 (s.31, w.e.f. 15 Feb 1984). s.36AB(2): term up to 3 years at a time; s.36AB(3): not counted for any proportion.",https://indiankanoon.org/doc/690099/,"Keyed C (4 = min(5, 12/3)) rests on a proviso omitted in 1984; there is no statutory ceiling, so none of the options (3/5/4/6) is correct. Rewrite: e.g. ask what s.36AB permits, correct answer 'RBI may appoint one or more additional directors, with no numerical ceiling; they hold office up to 3 years at a time and are not counted for board proportions'."
ACT-PAY,ACTP-061,wrong_key,"FRA s.21: default in filing under s.19 - company and every officer in default punishable (court) with fine up to Rs5,000 per day of continuing default; s.22 RBI penalty covers only non-compliance with s.6 directions",https://www.advocatekhoj.com/library/bareacts/factoring2011/21.php,"No option is correct. s.21 FRA (not amended in 2021 or by Jan Vishwas 2023/2026) makes a filing default punishable by a court with fine up to Rs5,000 for every day the default continues, on the company and every officer in default; there is no Rs5 lakh base, and the s.22 RBI penalty (Rs5 lakh + Rs10,000/day, 14 days) applies only to non-compliance with s.6 directions. For 32 days the maximum is Rs1.60 lakh (court fine). Rewrite options, e.g. correct option 'Rs1.60 lakh fine imposed by a court on the company and officers in default', and fix explanation."
ACT-PAY,ACTP-066,wrong_key,"FRA s.21: filing default - court fine up to Rs5,000/day on company and officers in default; not an RBI penalty",https://www.advocatekhoj.com/library/bareacts/factoring2011/21.php,"No option is correct. s.21 FRA: company and every officer in default punishable by a court with fine up to Rs5,000 per day of continuing default; not an RBI penalty and no Rs5 lakh base (s.22 covers only s.6 directions). For 15 days the maximum is Rs75,000. Replace option B with 'Sutlej and its defaulting officers face a court fine of up to Rs75,000' (or equivalent) and fix explanation."
ACT-REC,ACTR-019,wrong_key,"IBC s.54A(2)(e) and s.54A(3): 66% changed to 51% by s.34(a)(iii) and s.34(b), IBC (Amendment) Act 2026, in force 26.05.2026 (S.O. 2625(E)); s.54D: 120 days; s.54A(1): MSMEs only",https://ibbi.gov.in/uploads/legalframwork/2026-04-07-115842-i5nsk-7ed69ef2a4d23a8b0d472cc0fcd55e79.pdf,"Statement 2 (66%) is now false: s.34(a)(iii) and s.34(b) of the IBC (Amendment) Act 2026 (in force 26.05.2026 per S.O. 2625(E), https://taxguru.in/corporate-law/mca-notifies-key-ibc-amendment-provisions-effective-262026.html) cut the unrelated financial creditors' approval under s.54A(2)(e)/(3) from 66% to 51%. Statement 3 is false (120 days). Only statement 1 is correct, so the key should be A. Or keep D by rewording statement 2 to 51%."
ACT-SEC,ACTS-021,wrong_key,"s.15F(a) (as substituted by Act 27 of 2014): failure to issue contract notes -> not less than Rs 1 lakh, may extend to Rs 1 crore",https://lawgist.in/securities-and-exchange-board-of-india-act/15F,The '5 times the value of securities' limb was the pre-2014 text. Current max for finding (a) is Rs 1 crore. Correct key: A (Rs 1 crore). Fix explanation accordingly.
ACT-SEC,ACTS-022,wrong_key,s.15F(a) max Rs 1 cr; s.15F(c) max = higher of Rs 1 lakh / 5x excess brokerage (Rs 14 lakh); s.15A 52 days = Rs 52 lakh,https://lawgist.in/securities-and-exchange-board-of-india-act/15F,"Aggregate = 1 cr + 14 L + 52 L = Rs 1.66 crore. Correct key: D (not B, which uses the pre-2014 5x-value limb for 15F(a))."
ACT-SEC,ACTS-066,wrong_key,DA s.22(1): no court shall take cognizance save on complaint by the Central Govt or State Govt or SEBI 'or by any person',https://tilakmarg.com/acts/depositories-act-1996-sections-20-to-31/,"Unlike SEBI Act s.26 (complaint by Board only), DA s.22 (as amended 2004) allows a complaint by any person, so statement 3 is TRUE. All three statements correct -> correct key B (1, 2 and 3). Fix explanation for s.22 and the 'Prosecution is SEBI-initiated' trap."
CA-A,CAA-042,wrong_key,Cost Records & Audit Rules r.3 (records: overall turnover>=35 cr) and r.4(1) Table A audit: overall turnover>=50 cr AND AGGREGATE turnover of the product(s)/service(s) for which cost records are required >=25 cr,https://ca2013.com/rule-4-companies-cost-records-and-audit-rules-2014/,"Rule 4(1) tests the aggregate turnover of all covered (Table A) products, not the largest single product. A company 'operating in a regulated sector' with overall turnover Rs 60 cr and a largest product of Rs 22 cr will ordinarily have covered-product turnover >= Rs 25 cr, so cost audit applies -> D. Fix either key to D, or reword stem to 'aggregate turnover of its Table A products was Rs 22 crore' to keep C; in both cases correct the explanation ('individual product >= 25 cr' -> 'aggregate turnover of covered products >= 25 cr')."
CA-A,CAA-077,wrong_key,"s.62(1)(a)(i) (amended by Companies (Amendment) Act 2020: 'not less than 15 days or such lesser number of days as may be prescribed' and not exceeding 30 days) + Share Capital Rules r.12A (GSR 113(E), 11 Feb 2021, w.e.f. 1 Apr 2021): offer open not less than 7 days; s.62(2) notice at least 3 days before opening",https://taxguru.in/company-law/companies-share-capital-debentures-amendment-rules-2021.html,"Current law: rights offer open not less than 7 days and not more than 30 days; notice 3 days before opening -> option A, not D. Change key to A and update explanation to cite r.12A (or, if the 15-day answer is desired, rephrase stem to ask for the period 'as originally enacted')."
CA-A,CAA-117,wrong_key,"GSR 583(E) 13 Jun 2017 as corrected by MCA corrigendum dated 13 Jul 2017: s.143(3)(i) n/a to OPC/small co, or private co with turnover < Rs 50 cr per latest audited FS AND aggregate borrowings from banks/FIs/bodies corporate < Rs 25 cr at any time during the year, if no default in s.137/s.92 filings",https://www.taxmanagementindia.com/visitor/detail_notification.asp?ID=120582,"The 13 Jul 2017 corrigendum substituted 'statement or' with 'statement and' - both tests must be met. Hira's borrowings peaked at Rs 28 cr (> Rs 25 cr), so the exemption fails and IFC reporting applies -> correct key A. Also fix explanation ('amended 2018' -> 'corrigendum dated 13 July 2017'; 'OR' -> 'AND')."
CA-B,CAB-113,wrong_key,"s.188 + Meetings of Board r.15(3): goods/lease 10% of turnover; property 10% of net worth; office of profit > Rs 2.5 lakh p.m. applies only to a RELATED PARTY; s.2(77) + Specification of Definitions Rules r.4: relatives = HUF members, spouse, father, mother, son, son's wife, daughter, daughter's husband, brother, sister (nephew not included)",https://ca2013.com/rule-4-the-companies-specification-of-definitions-details-rules-2014/,"Explanation wrongly treats the MD's nephew as a 'relative' under s.2(77). A nephew is not a relative, so his appointment is not a s.188(1)(f) related-party office of profit. Only the sale of land (Rs 27 cr >= 10% of net worth Rs 25 cr) needs an ordinary resolution. Correct key = A. Alternatively, change the appointee to the MD's son or brother so that D stands."
FIN-A-C,FINA-088,wrong_key,"Call, Notice and Term Money Markets Directions 2021 (as amended 8 Jun 2023): SCBs set Board-approved limits for call/notice borrowing within DoR inter-bank liability limits; lending limits are Board-approved - the old 25% avg / 50% any-day lending cap (2016 Master Direction) no longer exists",https://fimmda.org/pdf/PublicationsAndPolicies/RegulatoryCirculars/Direction_RBI_Money_Market.pdf,"Stem attributes a 50%-of-capital-funds single-day lending limit to RBI; that prescription was withdrawn (2021 Directions; 100%/125% borrowing limits also replaced by Board-approved limits from 8 Jun 2023). No option is correct under current rules. Fix: recast as 'a bank's Board-approved limits are ...' (then A = Rs 2,000 crore) or drop the item."
FIN-B,FINB-026,wrong_key,"SSE ZCZP: min issue size Rs50 lakh; min application size reduced from Rs10,000 to Rs1,000 (SEBI Board, 19 Mar 2025; implemented by SEBI circular)",https://www.business-standard.com/amp/markets/news/sebi-lowers-minimum-investment-in-social-stock-exchange-to-rs-1-000-125031901297_1.html,"Statement 2 (Rs10,000) is outdated - minimum application is now Rs1,000. Only statement 1 is correct -> correct key A ('1 only'). Or rewrite statement 2 as Rs1,000 and keep B; update explanation/trap (old values Rs2 lakh -> Rs10,000 -> Rs1,000)."
FIN-B,FINB-128,wrong_key,"FEMA (NDI) (Third Amendment) Rules 2026 (S.O. 3030(E), 12 June 2026), Sch III: individual PROI (incl. NRI/OCI) limit <10% of paid-up equity; aggregate for all individual PROIs 24%; old 5%/10% limits and special-resolution route removed",https://www.lkslaw.com/insights/articles/widening-the-gate-of-indian-economy-key-changes-under-the-foreign-exchange-management-non-debt-instruments-third-amendme,"Under current law individual cap is <10% (4.8 cr shares) and aggregate 24% (11.52 cr): Kapoor's headroom is just under 4.7 crore shares (individual cap binding). None of the options is correct; key B (0.5 cr, based on old 5%/10%) is outdated. Rewrite stem for 10%/24% limits (e.g. options with ~4.7 crore) or frame it expressly as pre-June-2026 law."
ACC-CST-MGT,ACC-029,fix_needed,"XBRL Rules 2015 r.3: (i) listed & Indian subsidiaries, (ii) paid-up >= Rs5 cr, (iii) turnover >= Rs100 cr, (iv) companies required to follow Ind AS; exempt: NBFCs, HFCs, banking and insurance companies (power companies NOT exempt)",https://ca2013.com/rule-3-companies-filing-of-documents-and-forms-in-extensible-business-reporting-language-rules-2015/,"Key C stands. Stem ('none is a banking, insurance or power company') and explanation wrongly treat power companies as excluded - delete 'power' and add HFCs to the exempt list. Explanation omits criterion (iv) Ind AS companies; add it and state in statement 2 that Q Ltd is not required to follow Ind AS (else Q could be covered)."
ACC-CST-MGT,ACC-030,fix_needed,Cos (AS) Rules 2021 r.2(1)(e) SMC: unlisted/not in listing process; not bank/FI/insurer; turnover (excl. other income) <= Rs250 cr in immediately preceding accounting year; borrowings <= Rs50 cr at any time in immediately preceding year; not holding/subsidiary of non-SMC,https://ca2013.com/9-9-2-companies-accounting-standards-rules-2021/,Key A correct. Stem says 'for the current year' without saying the figures relate to the immediately preceding accounting year; reword options/stem: 'turnover of the immediately preceding year Rs240 cr; borrowings at no time in that year exceeded Rs48 cr'.
ACC-CST-MGT,ACC-068,fix_needed,"AS 29 para 30: contingent asset not recognised; para 33: not disclosed in financial statements, usually disclosed in report of approving authority where inflow probable; para 34: recognised when virtually certain",https://indasaccess.icai.org/Volume-III/AS/asb.html?a=130,"Key C correct. Ref 'paras 31-35' is off: relevant paragraphs are 30-34 (disclosure in approving authority's report is para 33). Also the 2016 amendment did not change this disclosure rule, so 'revised 2016' label is loose."
ACC-CST-MGT,ACC-142,fix_needed,"Schedule III Div I (am. 24-3-2021): current maturities of long-term borrowings -> short-term borrowings; unpaid dividends -> other current liabilities; loose tools -> inventories; CAPITAL ADVANCES -> 'Long-term loans and advances' (Div I), not 'Other non-current assets' (that head holds capital advances only in Div II)",https://www.mca.gov.in/Ministry/pdf/ScheduleIII_24032021.pdf,"Key A remains the only best fit, but List II item 2 is wrong for Division I. Change List II item 2 to 'Long-term loans and advances' (and explanation 'Capital advances -> long-term loans and advances'); alternatively re-base on Div II, but then unpaid dividends go to 'Other financial liabilities' and the match breaks."
