"row_type","row_id","paper_year","question_number_or_topic_id","text_preview","flags","sample_reason","decision","notes","assign_topic_id","difficulty"
"question","108c4a0e-dd96-5015-9e38-6a63b2cb5ad5","2025","1","Which one of the following statements best reflects the central idea conveyed by the passage?","duplicate_text","flagged","","","","hard"
"question","59e8ec00-7ab1-5146-bf7a-f769f784f17c","2025","2","With reference to the above passage, the following assumptions have been made: I. Higher education is a constantly evolving subject that nee","no_primary_tag","flagged","","","","easy"
"question","55f57180-512f-596a-b7d3-ea6160f1e272","2025","3","Which one of the following statements best reflects the crux of the passage?","duplicate_text","flagged","","","","medium"
"question","70207b87-6621-5341-82e2-01b0f629c952","2025","4","With reference to the above passage, the following assumptions have been made: I. The food manufacturing and processing industries in every ","","spot_check","","","","easy"
"question","8125fee7-06d6-5226-a995-bb31f0c62e45","2025","5","What is the maximum value of n such that 7 × 343 × 385 × 1000 × 2401 × 77777 is divisible by 35^n?","non_ascii_suspect;suspicious_repeat_char","flagged","","","","hard"
"question","7477a48b-03c0-568e-b45f-81f6e3e24755","2025","6","What is X in the sequence 24, X, 12, 18, 36, 90?","no_primary_tag","flagged","","","","medium"
"question","f8487157-c623-59c1-b41b-af2d329a2995","2025","7","P and Q walk along a circular track. They start at 5:00 a.m. from the same point in opposite directions. P walks at an average speed of 5 ro","","","","","","medium"
"question","a9683fd3-76c6-572b-8534-9709b658301d","2025","8","If P = +, Q = –, R = ×, S = ÷, then insert the proper notations between the successive numbers in the equation 60_15_3_20_4 = 20:","non_ascii_suspect","flagged","","","","medium"
"question","9fcd2ace-7e32-5a1a-9018-6c59a615cb6d","2025","9","A tram overtakes 2 persons X and Y walking at an average speed of 3 km/hr and 4 km/hr in the same direction and completely passes them in 8 ","","","","","","medium"
"question","e258e791-e95b-5b63-a883-af8856c70622","2025","10","If N^2 = 12345678987654321, then how many digits does the number N have?","","","","","","hard"
"question","9f967de9-a961-5556-a986-50b73f1ca23e","2025","11","Which one of the following statements best reflects the corollary to the above passage?","","","","","","medium"
"question","72bd302c-e9bb-5a1c-a8da-2646fc8bd2d8","2025","12","With reference to the passage, the following assumptions have been made: The growing divergence between the fortunes of the agricultural and","","spot_check","","","","easy"
"question","8282d48d-b198-5266-861b-9d2e88060a39","2025","13","Which one of the following statements best reflects the most logical and rational message conveyed by the author of the passage?","","","","","","hard"
"question","eb26df01-89a8-582e-a5fb-036c8ae0da3b","2025","14","With reference to the above passage, the following assumptions have been made: I. There is no need for the State to be involved in any manne","","","","","","easy"
"question","fbaa593a-af4d-52db-a684-c8d24d0f5370","2025","15","Consider the first 100 natural numbers. How many of them are not divisible by any one of 2, 3, 5, 7 and 9?","","","","","","hard"
"question","3b78d920-1ca1-59b3-a1f9-0e10e45c345b","2025","16","If 4 ≤ x ≤ 8 and 2 ≤ y ≤ 7, then what is the ratio of maximum value of (x + y) to minimum value of (x − y)?","non_ascii_suspect;no_primary_tag","flagged","","","","medium"
"question","c0de0e70-097c-59a7-81d3-3a9846516bbf","2025","17","Let both p and k be prime numbers such that (p² + k) is also a prime number less than 30. What is the number of possible values of k?","non_ascii_suspect;no_primary_tag","flagged","","","","hard"
"question","3e9c5b6a-8789-5a61-80e1-5b989ad97402","2025","18","There are n sets of numbers each having only three positive integers with LCM equal to 1001 and HCF equal to 1. What is the value of n?","","","","","","hard"
"question","bd2d5195-3a61-5b2d-9dad-51d86a6e83c0","2025","19","Let PQR be a 3-digit number, PPT be a 3-digit number and PS be a 2-digit number, where P, Q, R, S, T are distinct non-zero digits. Further, ","non_ascii_suspect","flagged","","","","hard"
"question","6adfd0f3-51ac-507e-ad74-8a4ae59d6597","2025","20","Consider the sequence AB_CC_A_BCCC_BBC_C that follows a certain pattern. Which one of the following completes the sequence?","","spot_check","","","","medium"
"question","ca729d21-0ec6-5162-9270-ed8d23b20b9a","2025","21","Which one of the following statements best reflects the most logical, rational and pragmatic message conveyed by the author of the passage?","","","","","","hard"
