year,paper,section_id,db_question_number,db_source_question_ref,extract_paper_local_number,extract_source_question_ref,db_text,unlockias_text,score,action,has_tag,source_confidence,phase3_db_verdict,phase3_db_score,phase3_unlockias_verdict,phase3_unlockias_score,regate_db_verdict,regate_db_score,regate_unlockias_verdict,regate_unlockias_score,gate_relaxed,apply_eligible,late_db_verdict,late_db_score,late_unlockias_verdict,late_unlockias_score,phase2_db_verdict,phase2_db_score,phase2_unlockias_verdict,phase2_unlockias_score
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,1,GS1-Q1,1,GS1-Q1,"Though not very useful from the point of view of a connected political history of South India, the Sangam literature portrays the social and economic conditions of its time with remarkable vividness. Comment.","Though not very useful from the point of view of a connected political history of South India, the Sangam literature portrays the social and economic conditions of its time with remarkable vividness. Comment.",100.0,keep,true,aggregator,,,,,,,,,,,,,,,exact,100.0,exact,100.0
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,2,GS1-Q2,2,GS1-Q2,Discuss the Tandava dance as recorded in the early Indian inscriptions and sculpture.,(a) Discuss the 'Tandava' dance as recorded in early Indian inscriptions. (100 words) (b) Chola architecture represents a high watermark in the evolution of temple architecture. Discuss. (100 words),87.6,keep,true,aggregator,,,,,,,,,,,,,,,orphan,83.3,orphan,74.6
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,3,GS1-Q3,,,Chola architecture represents a high watermark in the history of South Indian architecture. Discuss.,,83.7,review,true,aggregator,,,,,,,,,,,,,,,orphan,83.7,,
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,4,GS1-Q4,3,GS1-Q3,"Defying the barriers of age, gender and religion, the Bhakti movement opened the doors of liberation to all. Discuss.","Defying the barriers of age, gender and religion, the Indian women became the torch-bearer during the struggle for freedom in India. Discuss.",73.5,review,true,aggregator,,,,,,,,,,true,,,,,orphan,69.9,exact,100.0
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,5,GS1-Q5,,,"""Strictly speaking, the Battle of Plassey was not a great battle but a great betrayal."" Explain.",,50.0,delete,true,aggregator,,,,,,,,,,,,,,,orphan,49.5,,
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,6,GS1-Q6,,,Bring out the factors that led to the commercialization of agriculture in India during the colonial rule. State its consequences.,,54.4,delete,true,aggregator,,,,,,,,,,,,,,,orphan,52.0,,
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,7,GS1-Q7,,,The Regulating Act of 1773 was the first step towards the centralization of British administration in India. Discuss.,,55.1,delete,true,aggregator,,,,,,,,,,,,,,,orphan,53.9,,
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,8,GS1-Q8,,,The policy of 'Ring Fence' pursued by Warren Hastings was a precursor to the Subsidiary Alliance system of Wellesley. Comment.,,46.4,delete,true,aggregator,,,,,,,,,,,,,,,orphan,46.7,,
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,9,GS1-Q9,,,Discuss the reasons for the rise of Indian Nationalism in the late 19th century.,,55.7,delete,true,aggregator,,,,,,,,,,,,,,,orphan,55.7,,
2013,GS1,daca2e9f-012e-46fc-8b10-b6df340b4200,10,GS1-Q10,,,Evaluate the role of the Indian National Army (INA) in the freedom struggle of India.,,56.1,delete,true,aggregator,,,,,,,,,,,,,,,orphan,56.1,,
