slug	exams	name	act
fsa-pss-act-authorisation-revocation-and-appeal-s-4-s-9-s-34-6522ce78	ifsca,pfrda,sebi	PSS Act — authorisation, revocation and appeal (s.4–s.9, s.34)	Payment and Settlement Systems Act, 2007
fsa-pss-act-designated-authority-and-payments-regulatory-board-s-3-42d69444	ifsca,pfrda,sebi	PSS Act — designated authority and Payments Regulatory Board (s.3)	Payment and Settlement Systems Act, 2007
fsa-pss-act-settlement-finality-netting-and-customer-funds-s-23-s-23a-558d449e	ifsca,pfrda,sebi	PSS Act — settlement finality, netting and customer funds (s.23, s.23A)	Payment and Settlement Systems Act, 2007
fsa-pss-act-rbi-directions-and-oversight-s-17-8adadd3b	ifsca,pfrda,sebi	PSS Act — RBI directions and oversight (s.17)	Payment and Settlement Systems Act, 2007
fsa-pss-act-offences-penalties-and-eft-dishonour-s-25-s-30-1628f8d5	ifsca,pfrda,sebi	PSS Act — offences, penalties and EFT dishonour (s.25–s.30)	Payment and Settlement Systems Act, 2007
fsa-cicra-registration-and-minimum-capital-of-credit-information-companies-4adf6a55	ifsca,pfrda,sebi	CICRA — registration and minimum capital of credit information companies	Credit Information Companies (Regulation) Act, 2005
fsa-cicra-credit-institutions-membership-and-specified-users-68d8c34e	ifsca,pfrda,sebi	CICRA — credit institutions, membership and specified users	Credit Information Companies (Regulation) Act, 2005
fsa-cicra-privacy-principles-and-unauthorised-access-88b9d2f2	ifsca,pfrda,sebi	CICRA — privacy principles and unauthorised access	Credit Information Companies (Regulation) Act, 2005
fsa-cicra-correction-of-credit-information-and-dispute-timelines-69b7c986	ifsca,pfrda,sebi	CICRA — correction of credit information and dispute timelines	Credit Information Companies (Regulation) Act, 2005
fsa-cicra-offences-and-rbi-penalties-1100a1bc	ifsca,pfrda,sebi	CICRA — offences and RBI penalties	Credit Information Companies (Regulation) Act, 2005
fsa-factoring-act-factoring-business-assignor-debtor-and-receivables-78348f29	ifsca,pfrda,sebi	Factoring Act — factoring business, assignor, debtor and receivables	Factoring Regulation Act, 2011
fsa-factoring-act-registration-of-factors-and-rbi-powers-7084663c	ifsca,pfrda,sebi	Factoring Act — registration of factors and RBI powers	Factoring Regulation Act, 2011
fsa-factoring-act-assignment-notice-and-rights-of-the-factor-1e053e13	ifsca,pfrda,sebi	Factoring Act — assignment, notice and rights of the factor	Factoring Regulation Act, 2011
fsa-factoring-act-registration-of-assignments-with-cersai-and-treds-072f8843	ifsca,pfrda,sebi	Factoring Act — registration of assignments with CERSAI and TReDS	Factoring Regulation Act, 2011
fsa-factoring-act-penalties-2fddcc92	ifsca,pfrda,sebi	Factoring Act — penalties	Factoring Regulation Act, 2011
fsa-ni-act-promissory-notes-bills-of-exchange-and-cheques-4375664f	ifsca,pfrda,sebi	NI Act — promissory notes, bills of exchange and cheques	Negotiable Instruments Act, 1881
fsa-ni-act-holder-holder-in-due-course-and-negotiation-7e1a816c	ifsca,pfrda,sebi	NI Act — holder, holder in due course and negotiation	Negotiable Instruments Act, 1881
fsa-ni-act-maturity-and-days-of-grace-d0a1b497	ifsca,pfrda,sebi	NI Act — maturity and days of grace	Negotiable Instruments Act, 1881
fsa-ni-act-crossing-of-cheques-and-banker-protection-bc226f72	ifsca,pfrda,sebi	NI Act — crossing of cheques and banker protection	Negotiable Instruments Act, 1881
fsa-ni-act-cheque-dishonour-under-s-138-and-complaint-timelines-24c62cde	ifsca,pfrda,sebi	NI Act — cheque dishonour under s.138 and complaint timelines	Negotiable Instruments Act, 1881
fsa-ni-act-interim-compensation-and-appeal-deposit-s-143a-s-148-25c1830e	ifsca,pfrda,sebi	NI Act — interim compensation and appeal deposit (s.143A, s.148)	Negotiable Instruments Act, 1881
