ref,topic_id,topic
GEOG-P2-1986-T001,d3821dd1-31be-4875-964a-758c5aa032bc,Drainage system and watersheds
GEOG-P2-1987-T002,7b0e2951-fa48-4798-b3fe-b82679ebcd6d,Structure and relief
GEOG-P2-1987-T005,6a5296f3-6bd2-421c-bbf1-f0c1e5d8d34c,Mechanism of the Indian monsoon and rainfall patterns
GEOG-P2-1988-T005,b7d0e08d-7c34-4413-bcd7-186fbefcb7bc,Historical perspective of Indian society
GEOG-P2-1988-T007,fe1b82fa-0513-4402-9e7c-533e33dca0c5,Climatic regions of India
GEOG-P2-1988-T008,7b0e2951-fa48-4798-b3fe-b82679ebcd6d,Structure and relief
GEOG-P2-1989-T009,234100fc-0923-4fa6-819a-cd46e6b41057,"Environmental degradation; deforestation, desertification and soil erosion"
GEOG-P2-1989-T010,7b0e2951-fa48-4798-b3fe-b82679ebcd6d,Structure and relief
GEOG-P2-1990-T010,6a5296f3-6bd2-421c-bbf1-f0c1e5d8d34c,Mechanism of the Indian monsoon and rainfall patterns
GEOG-P2-1991-T009,d3821dd1-31be-4875-964a-758c5aa032bc,Drainage system and watersheds
GEOG-P2-1992-T008,233d8c64-0e0f-48a1-9e4f-da721e7f5536,Soil types and their distribution
GEOG-P2-1992-T010,6a5296f3-6bd2-421c-bbf1-f0c1e5d8d34c,Mechanism of the Indian monsoon and rainfall patterns
GEOG-P2-1993-T009,510b7513-9992-4419-b743-b5b2be801aa8,Natural vegetation
GEOG-P2-1993-T011,b7d0e08d-7c34-4413-bcd7-186fbefcb7bc,Historical perspective of Indian society
GEOG-P2-1994-T010,d3821dd1-31be-4875-964a-758c5aa032bc,Drainage system and watersheds
GEOG-P2-1994-T011,6a5296f3-6bd2-421c-bbf1-f0c1e5d8d34c,Mechanism of the Indian monsoon and rainfall patterns
GEOG-P2-1995-T009,6a5296f3-6bd2-421c-bbf1-f0c1e5d8d34c,Mechanism of the Indian monsoon and rainfall patterns
GEOG-P2-1995-T010,233d8c64-0e0f-48a1-9e4f-da721e7f5536,Soil types and their distribution
GEOG-P2-1995-T011,aba1c174-7979-4124-9ee7-228090c2a7c7,Physiographic regions of India
GEOG-P2-1996-T009,d3821dd1-31be-4875-964a-758c5aa032bc,Drainage system and watersheds
GEOG-P2-1996-T011,510b7513-9992-4419-b743-b5b2be801aa8,Natural vegetation
GEOG-P2-1996-T013,fe1b82fa-0513-4402-9e7c-533e33dca0c5,Climatic regions of India
GEOG-P2-1997-T011,aba1c174-7979-4124-9ee7-228090c2a7c7,Physiographic regions of India
GEOG-P2-1998-T012,2f57ca50-427d-4951-a8f2-cdec0460c9d3,Linkage of rivers
GEOG-P2-1999-T010,7b0e2951-fa48-4798-b3fe-b82679ebcd6d,Structure and relief
GEOG-P2-1999-T012,6a5296f3-6bd2-421c-bbf1-f0c1e5d8d34c,Mechanism of the Indian monsoon and rainfall patterns
GEOG-P2-2000-T009,7b0e2951-fa48-4798-b3fe-b82679ebcd6d,Structure and relief
GEOG-P2-2001-T008,7b0e2951-fa48-4798-b3fe-b82679ebcd6d,Structure and relief
GEOG-P2-2001-T009,aba1c174-7979-4124-9ee7-228090c2a7c7,Physiographic regions of India
GEOG-P2-2001-T010,510b7513-9992-4419-b743-b5b2be801aa8,Natural vegetation
GEOG-P2-2002-T009,6a5296f3-6bd2-421c-bbf1-f0c1e5d8d34c,Mechanism of the Indian monsoon and rainfall patterns
GEOG-P2-2003-T009,d3821dd1-31be-4875-964a-758c5aa032bc,Drainage system and watersheds
GEOG-P2-2004-T009,fe1b82fa-0513-4402-9e7c-533e33dca0c5,Climatic regions of India
GEOG-P2-2006-T007,3126bdf8-0e3f-482f-b995-e2c61261d2b5,Energy and mineral resources
GEOG-P2-2007-T007,7b0e2951-fa48-4798-b3fe-b82679ebcd6d,Structure and relief
GEOG-P2-2008-T009,d3821dd1-31be-4875-964a-758c5aa032bc,Drainage system and watersheds
GEOG-P2-2009-T007,233d8c64-0e0f-48a1-9e4f-da721e7f5536,Soil types and their distribution
GEOG-P2-2009-T008,6a5296f3-6bd2-421c-bbf1-f0c1e5d8d34c,Mechanism of the Indian monsoon and rainfall patterns
GEOG-P2-2009-T009,7b0e2951-fa48-4798-b3fe-b82679ebcd6d,Structure and relief
GEOG-P2-2010-T013,7b0e2951-fa48-4798-b3fe-b82679ebcd6d,Structure and relief
GEOG-P2-2010-T014,510b7513-9992-4419-b743-b5b2be801aa8,Natural vegetation
GEOG-P2-1986-T002,3126bdf8-0e3f-482f-b995-e2c61261d2b5,Energy and mineral resources
GEOG-P2-1986-T008,65fb2e5b-e19c-470b-977f-6b7ba0ceb489,Forest and wildlife resources and their conservation
GEOG-P2-1988-T003,3126bdf8-0e3f-482f-b995-e2c61261d2b5,Energy and mineral resources
GEOG-P2-1989-T004,ce89a58e-e963-4239-a99e-e5b4defe6531,Biotic and marine resources
GEOG-P2-1989-T006,810713a3-20fe-4186-bcee-4eb2204f1d4e,Surface and ground water resources
GEOG-P2-1989-T008,168f5405-49b1-4bbb-a609-48a8a2df0542,Industrial houses and complexes including public sector undertakings
GEOG-P2-1990-T007,5faac06a-1f02-4463-b5b2-091c5eb09a49,"Agricultural infrastructure: irrigation, seeds, fertilizers, power"
GEOG-P2-1990-T009,3126bdf8-0e3f-482f-b995-e2c61261d2b5,Energy and mineral resources
