"q","topic","difficulty","text"
"1","Inference and implied meaning","medium","What can be inferred about the economy of the world from the passage?"
"2","Explicit detail retrieval","easy","Which of the following was/were the objectives of the off -cycle meeting by RBI?"
"3","Explicit detail retrieval","medium","Which of the following come(s) under the changes introduced by the RBI’s new policies?"
"5","Explicit detail retrieval","easy","Which of the following is true according to the data in the passage?"
"6","Main idea and central theme","medium","What is the primary focus of the author in the passage?"
"7","Passage-based synonym and antonym","easy","From among the following given options, choose the word most similar in meaning to the highlighted word “gradual”, as used in the context of"
"8","Passage-based synonym and antonym","easy","Which of the following words is most opposite in meaning to the highlighted word “deleterious”?"
"9","Logical Order","medium","Which is the fourth sentence after rearrangement?"
"10","Logical Order","medium","What is the correct rearrangement of the given sentences?"
"14","Single-word contextual fit","easy","The king released the lion from its cage into the arena where the champion stood, and by t he end, the champion ultimately turned out to be "
"15","Single-word contextual fit","easy","Observing all the reports, the supervisor noted that the productivity of the wareho use was _____________ for the company’s needs."
"16","Single-word contextual fit","easy","As soon as he entered the room, he was unable to see anything due to the stark ____________ inside."
"17","Single-word contextual fit","easy","Noticing how the dimensions of the bridge were different than that of others in the city, my guest asked me why the bridg e was so _________"
"18","Connector-based completion","medium","(i) BIMSTEC has, finally, taken measures to strengthen the Secretariat, (ii) some members are yet to extend adequate personnel support to it"
"19","Connector-based completion","medium","(i) Earlier in March, Musk said he would put the deal ""temporarily on hold"", (ii) he waits for the social media company to provide more of i"
"20","Connector-based completion","medium","(i) There are nearly 500 plus heritage buildings dotting the skyline of Mysuru, (ii) only about 150 are notified while the rest are not decl"
"21","Explicit detail retrieval","medium","Which of the following is not a benefit of adopting a vegetarian diet?"
"22","Explicit detail retrieval","medium","Which of the following qualifies as a difference between a vegetarian and a non -vegetarian diet?"
"23","Explicit detail retrieval","medium","How is proper planning important for a vegetarian li festyle?"
"24","Explicit detail retrieval","medium","Which of the following ways can help in making vegetarian diets more interesting to adopt according to the passage?"
"25","Single-blank contextual cloze","easy","Which of the following words can most appropriately be substituted in the blank in the passage?"
"26","Vocabulary from context within a passage","medium","Which of the following words is the most similar in its definition as the highlighted word adequate , the definition corresponding to its us"
"27","Passage-based synonym and antonym","easy","Choose the word from the following options which most aptly acts as an antonym to the highlighted word beneficial as it is used in the conte"
