slug	exams	name	act
fsa-sebi-act-establishment-board-composition-and-functions-117fb99d	ifsca,pfrda,sebi	SEBI Act — establishment, Board composition and functions	Securities and Exchange Board of India Act, 1992
fsa-sebi-act-directions-interim-measures-cis-and-registration-d5e8f953	ifsca,pfrda,sebi	SEBI Act — directions, interim measures, CIS and registration	Securities and Exchange Board of India Act, 1992
fsa-sebi-act-chapter-via-penalties-and-adjudication-1665ac49	ifsca,pfrda,sebi	SEBI Act — Chapter VIA penalties and adjudication	Securities and Exchange Board of India Act, 1992
fsa-sebi-act-sat-appeals-settlement-recovery-and-offences-5dc5f8e7	ifsca,pfrda,sebi	SEBI Act — SAT appeals, settlement, recovery and offences	Securities and Exchange Board of India Act, 1992
fsa-scra-definitions-of-securities-derivatives-spot-delivery-and-options-c6d22c82	ifsca,pfrda,sebi	SCRA — definitions of securities, derivatives, spot delivery and options	Securities Contracts (Regulation) Act, 1956
fsa-scra-recognition-bye-laws-and-control-of-stock-exchanges-d57338bc	ifsca,pfrda,sebi	SCRA — recognition, bye-laws and control of stock exchanges	Securities Contracts (Regulation) Act, 1956
fsa-scra-contracts-in-notified-areas-and-legality-of-derivatives-6c68e473	ifsca,pfrda,sebi	SCRA — contracts in notified areas and legality of derivatives	Securities Contracts (Regulation) Act, 1956
fsa-scra-listing-delisting-appeals-and-minimum-public-shareholding-9547a88f	ifsca,pfrda,sebi	SCRA — listing, delisting appeals and minimum public shareholding	Securities Contracts (Regulation) Act, 1956
fsa-scra-penalties-and-adjudication-under-s-23-to-s-23h-4a18aa02	ifsca,pfrda,sebi	SCRA — penalties and adjudication under s.23 to s.23H	Securities Contracts (Regulation) Act, 1956
fsa-depositories-act-depository-participant-and-beneficial-owner-9c56d888	ifsca,pfrda,sebi	Depositories Act — depository, participant and beneficial owner	Depositories Act, 1996
fsa-depositories-act-option-to-hold-transfer-fungibility-and-opt-out-61f0883c	ifsca,pfrda,sebi	Depositories Act — option to hold, transfer, fungibility and opt-out	Depositories Act, 1996
fsa-depositories-act-rights-of-depository-and-bo-pledge-and-indemnity-60813add	ifsca,pfrda,sebi	Depositories Act — rights of depository and BO, pledge and indemnity	Depositories Act, 1996
fsa-depositories-act-penalties-sebi-powers-and-appeals-eab300cd	ifsca,pfrda,sebi	Depositories Act — penalties, SEBI powers and appeals	Depositories Act, 1996
