row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty,stimulus_preview
question,39234f11-779c-45c3-a35e-70e5614a4b7f,2013,150,Identify the elements of change in India's foreign policy.,no_primary_tag,flagged,verified,,,,
question,29ade191-018e-4209-b6d3-0c1311655527,2013,151,Sketch the leadership role of India in WTO negotiations.,no_primary_tag,flagged,verified,,,,
question,d4f469e7-ed8e-465c-bd70-af0a16d79747,2013,152,Examine the recent developments in India-Japan relationship.,no_primary_tag,flagged,verified,,,,
question,760bfc5b-33b3-41b1-a4d2-5907c7d42839,2013,153,Bring out the objectives of India seeking permanent seat in Security Council.,no_primary_tag,flagged,verified,,,,
question,8b8f560f-20f0-4285-8b62-ef61be0b18d0,2013,154,Is India's Nuclear doctrine a viable one?,no_primary_tag,flagged,verified,,,,
question,8cee0697-7818-47ab-a399-80f9d88a275b,2013,155,Compare and contrast social movements in advanced industrial and developing societies.,no_primary_tag,flagged,verified,,,,
question,74f58137-2e90-45ee-8218-b2aa17155d3f,2013,156,Give reasons for Regionalism of world politics.,no_primary_tag,flagged,verified,,,,
question,27a1d22a-610a-45c3-9e67-0166723dbcef,2013,157,Compare and Contrast Sin-India approaches to global Environmental concerns.,no_primary_tag,flagged,verified,,,,
question,3d4f629a-0459-4ebb-a44e-13034fb43570,2013,158,"What roles do norms, taboos and epistemic play in the context of nuclear proliferation?",no_primary_tag,flagged,verified,,,,
question,19202ed7-5f15-41e7-8c15-71508c479d0d,2013,159,Substitantiate APEC as a regional economic and trade arrangement.,no_primary_tag,flagged,verified,,,,
question,22b6c3f4-9340-4605-b65e-6995460ce48d,2013,160,Identify the major changes in the International Political economy in post Cold War period.,no_primary_tag,flagged,verified,,,,
question,7d66003a-4224-4e27-b0b2-6d272770dece,2013,161,Is the rise of social movement a sign of opening up of popular space in political process or decline of representative politics?Examine.,no_primary_tag,flagged,verified,,,,
question,52fa75f5-d3ed-4a4a-9c73-11cd7702a77b,2013,162,Highlight the major features of Non-alignment 2.0 document.,no_primary_tag,flagged,verified,,,,
question,462230db-b8cd-44ee-9dd9-2dc24a4432ba,2013,163,Identify the role and place of Gender in the global economy.,no_primary_tag,flagged,verified,,,,
question,9b1b09d7-c148-49bb-a2d2-b1801786e2a9,2013,164,Identify the challenges to American hegemony in post Soviet world.,no_primary_tag,flagged,verified,,,,
question,1bed3026-49fb-4d9e-9d4f-1d51b07891bc,2013,165,What does the pace of nuclear proliferation in post Cold War suggest?,no_primary_tag,flagged,verified,,,,
question,ca7b125d-252f-4244-ae20-7a73661b588a,2013,166,State the place of Gender Justice in global agenda.,no_primary_tag,flagged,verified,,,,
question,bd80570c-eed9-4dcf-b9be-6c76fe03cf56,2013,167,"""Global commons belong to global society and requires global attention"".Comment.",no_primary_tag,flagged,verified,,,,
question,d943cbeb-3ffa-41bb-a8c2-f2952e00157f,2013,168,Sketch the journey of global political economy from Washington consensus to the present.,no_primary_tag,flagged,verified,,,,
question,827550bf-ca4a-4a1a-b16c-f84f6e1dfb20,2013,169,Examine major principles of State centric world views.,no_primary_tag,flagged,verified,,,,
