file,year,paper,question_number,paper_local_number,global_number,en_len,verdict,best_score,ocr_derived,gate_relaxed,origin_phase
UPSCCSEMains2014ALL.json,2014,GS1,1,1,1,140,exact,100.0,true,true,phase2
UPSCCSEMains2014ALL.json,2014,GS1,2,2,2,72,exact,100.0,true,true,phase2
UPSCCSEMains2014ALL.json,2014,GS1,3,3,3,210,exact,95.2,true,true,phase2
UPSCCSEMains2014ALL.json,2014,GS1,4,4,4,106,exact,97.1,true,true,phase2
UPSCCSEMains2014ALL.json,2014,GS1,5,5,5,172,variant,90.5,true,true,phase2
UPSCCSEMains2014ALL.json,2014,GS1,6,6,6,142,variant,85.1,true,true,phase2
UPSCCSEMains2014ALL.json,2014,GS1,7,7,7,116,variant,87.8,true,true,phase2
UPSCCSEMains2014ALL.json,2014,GS1,8,8,8,101,orphan,70.4,true,true,phase2
UPSCCSEMains2014ALL.json,2014,GS1,9,9,9,101,orphan,50.0,true,true,phase2
UPSCCSEMains2014ALL.json,2014,GS1,10,10,10,90,orphan,64.4,true,true,phase2
UPSCCSEMains2014ALL.json,2014,GS1,11,11,11,92,orphan,50.5,true,true,phase2
UPSCCSEMains2014ALL.json,2014,GS1,12,12,12,110,orphan,48.1,true,true,phase2
UPSCCSEMains2014ALL.json,2014,GS1,13,13,13,83,orphan,50.0,true,true,phase2
UPSCCSEMains2014ALL.json,2014,GS1,14,14,14,117,orphan,50.0,true,true,phase2
UPSCCSEMains2014ALL.json,2014,GS1,15,15,15,125,orphan,51.2,true,true,phase2
UPSCCSEMains2014ALL.json,2014,GS1,16,16,16,130,orphan,50.4,true,true,phase2
UPSCCSEMains2014ALL.json,2014,GS1,17,17,17,119,orphan,49.2,true,true,phase2
UPSCCSEMains2014ALL.json,2014,GS1,18,18,18,135,orphan,49.6,true,true,phase2
UPSCCSEMains2014ALL.json,2014,GS1,19,19,19,115,orphan,51.3,true,true,phase2
UPSCCSEMains2014ALL.json,2014,GS1,20,20,20,119,orphan,50.4,true,true,phase2
UPSCCSEMains2014GS1.json,2014,GS1,1,1,1,140,exact,100.0,true,true,phase2
UPSCCSEMains2014GS1.json,2014,GS1,2,2,2,72,exact,100.0,true,true,phase2
UPSCCSEMains2014GS1.json,2014,GS1,3,3,3,210,exact,95.2,true,true,phase2
UPSCCSEMains2014GS1.json,2014,GS1,4,4,4,106,exact,97.1,true,true,phase2
UPSCCSEMains2014GS1.json,2014,GS1,5,5,5,172,variant,90.5,true,true,phase2
UPSCCSEMains2014GS1.json,2014,GS1,6,6,6,142,variant,85.1,true,true,phase2
UPSCCSEMains2014GS1.json,2014,GS1,7,7,7,116,variant,87.8,true,true,phase2
UPSCCSEMains2014GS1.json,2014,GS1,8,8,8,101,orphan,70.4,true,true,phase2
UPSCCSEMains2014GS1.json,2014,GS1,9,9,9,101,orphan,50.0,true,true,phase2
UPSCCSEMains2014GS1.json,2014,GS1,10,10,10,90,orphan,64.4,true,true,phase2
UPSCCSEMains2014GS1.json,2014,GS1,11,11,11,92,orphan,50.5,true,true,phase2
