id,subject,microtopic,level,factcheck_verdict,verify_fact,stem_excerpt,keyed_answer,ref,sample,reviewer,decision,fix_note,minutes_spent
ECO-003,economics,GVA at basic price vs GDP,L1,fix_needed,Y,"In India's national accounts (SNA 2008 based), GVA at basic prices is obtained from GVA at factor cost by:",A. Adding production taxes and deducting production subsidies,"SNA 2008 / MoSPI national accounts (base 2022-23 series, released Feb 2026).",,,,,
ECO-027,economics,GVA at basic price vs GDP,L3,fix_needed,Y,"From the following (₹ crore), GVA at basic prices is: | Item | ₹ crore | |---|---:| | GVA at factor cost | 20,000 | | Production taxes | 600 | | Production sub…","A. ₹20,350 crore","SNA 2008 / MoSPI national accounts (base 2022-23 series, released Feb 2026).",,,,,
ECO-193,economics,Inflation targeting framework and the MPC,L2,fix_needed,Y,"Under the RBI Act, the Monetary Policy Committee consists of:","B. Six: Governor (casting vote), a Deputy Governor, one RBI officer and three Centre appointees","RBI Act 1934 ss. 45ZA–45ZN (inflation target, MPC); Monetary Policy Committee and Monetary Policy Process Regulations, 2016.",,,,,
ECO-091,economics,Monetary base and high-powered money,L4,confirmed,Y,[case ECO-MONEY-CASE-E] **Q.** Reserve money (M0) is:,D. ₹40.5 lakh crore,"RBI monetary aggregates (Second Working Group on Money Supply definitions: M0, M1, M2, M3, M4).",Y,,,,
ECO-140,economics,Fiscal deficit — definition and components,L1,confirmed,Y,Primary deficit is obtained as:,B. Fiscal deficit minus interest payments,Union Budget documents — 'Budget at a Glance' deficit definitions; FRBM Act 2003 (as amended).,Y,,,,
ECO-144,economics,Plan and non-plan expenditure,L1,confirmed,Y,"With effect from the Union Budget 2017-18, the plan / non-plan classification of expenditure was:","C. Discontinued, with the focus shifting to the revenue / capital classification","Constitution of India, Arts. 110, 112–117, 266–267; Union Budget practice from 2017-18.",Y,,,,
ECO-151,economics,Revenue vs capital expenditure,L2,confirmed,Y,"In the Union Budget, proceeds from strategic disinvestment of a central PSU are classified as:",C. A non-debt capital receipt,Union Budget documents — 'Budget at a Glance' deficit definitions; FRBM Act 2003 (as amended).,Y,,,,
ECO-165,economics,Fiscal deficit — definition and components,L3,confirmed,Y,"The Union reduces grants to states for creation of capital assets by ₹1,000 crore and spends the same amount itself on capital projects. Consider: 1. Revenue d…",A. 1 and 2 only,Union Budget documents — 'Budget at a Glance' deficit definitions; FRBM Act 2003 (as amended).,Y,,,,
ECO-203,economics,Exchange rate regimes,L3,confirmed,Y,"Consider the following statements: 1. Under a clean float, a BoP disequilibrium is corrected by the exchange rate without any change in official reserves. 2. U…","C. 1, 2 and 4 only",RBI exchange-rate policy statements; IMF AREAER classification.,Y,,,,
ECO-001,economics,"GDP, GNP, NNP and NDP concepts",L1,not_flagged,N,The difference between Gross National Product and Gross Domestic Product of an economy (both at market prices) is equal to:,C. Net factor income from abroad,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ECO-002,economics,Factor cost vs market price,L1,not_flagged,N,GDP at market prices exceeds GDP at factor cost by:,C. Indirect taxes minus subsidies,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ECO-004,economics,"Measurement methods — income, expenditure, product",L1,not_flagged,N,"While estimating national income by the income method, which of the following is excluded?",A. Old-age pension paid by the government,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ECO-005,economics,Limitations of national income accounting,L1,not_flagged,N,Which of the following is a recognised limitation of GDP as a measure of economic welfare?,A. Unpaid household work by family members is excluded,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ECO-006,economics,Per capita income,L1,not_flagged,N,"A country's national income (NNP at factor cost) is ₹4,20,000 crore and its population is 3.5 crore. Per capita income is:","C. ₹1,20,000",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ECO-007,economics,Real vs nominal income; GDP deflator,L1,not_flagged,N,"Nominal GDP is ₹2,52,000 crore and real GDP (at base-year prices) is ₹2,10,000 crore. The GDP deflator is:",B. 120,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ECO-008,economics,Personal income and disposable income — derivation,L1,not_flagged,N,Which of the following is included in personal income but NOT in national income?,B. Current transfers to households from government,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ECO-009,economics,NNP at factor cost — computation,L1,not_flagged,N,"In standard macro-economic usage, 'national income' refers to:",C. Net National Product at factor cost,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ECO-010,economics,"GDP, GNP, NNP and NDP concepts",L2,not_flagged,N,"For an economy: GDP at market prices ₹2,40,000 crore; factor income received from abroad ₹6,500 crore; factor income paid to abroad ₹9,800 crore. GNP at market…","A. ₹2,36,700 crore",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ECO-011,economics,Factor cost vs market price,L2,not_flagged,N,"GDP at market prices ₹5,000 crore; consumption of fixed capital ₹450 crore; indirect taxes ₹620 crore; subsidies ₹170 crore. NDP at factor cost is:","B. ₹4,100 crore",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ECO-012,economics,"Measurement methods — income, expenditure, product",L2,not_flagged,N,A manufacturing firm reports (₹ lakh): | Item | ₹ lakh | |---|---:| | Sales | 800 | | Change in stock (closing − opening) | +50 | | Purchase of raw materials |…,D. ₹405 lakh,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ECO-013,economics,GVA at basic price vs GDP,L2,confirmed,Y,"GVA at basic prices is ₹1,80,000 crore; product taxes ₹21,000 crore; product subsidies ₹6,500 crore. GDP is:","D. ₹1,94,500 crore","SNA 2008 / MoSPI national accounts (base 2022-23 series, released Feb 2026).",,,,,
ECO-014,economics,Real vs nominal income; GDP deflator,L2,not_flagged,N,Nominal GDP grows by 11.4% and the GDP deflator rises by 4.2% in the same year. The exact growth of real GDP is:,D. 6.91%,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ECO-015,economics,Per capita income,L2,not_flagged,N,Real national income rises by 9.0% and population by 1.5% in a year. The exact growth in real per capita income is:,A. 7.39%,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ECO-016,economics,Personal income and disposable income — derivation,L2,not_flagged,N,"Personal income ₹45,000 crore; direct personal taxes ₹5,200 crore; miscellaneous receipts of government administrative departments (fees, fines) ₹600 crore; co…","B. ₹39,200 crore",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ECO-017,economics,"Measurement methods — income, expenditure, product",L2,not_flagged,N,Private final consumption ₹600 crore; gross investment ₹180 crore; government final consumption ₹140 crore; exports ₹90 crore; imports ₹110 crore; purchase of…,D. ₹900 crore,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ECO-018,economics,"GDP, GNP, NNP and NDP concepts",L2,not_flagged,N,"From the following (₹ crore), net factor income from abroad is: | Item | ₹ crore | |---|---:| | Compensation of residents working abroad (short-term) | 120 | |…",A. −₹180 crore,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ECO-019,economics,"Measurement methods — income, expenditure, product",L2,not_flagged,N,"Rent ₹300 crore; interest ₹250 crore; royalty ₹60 crore; profits ₹900 crore (of which dividends ₹400 crore, corporation tax 200 and undistributed profits 300).…","B. ₹1,510 crore",Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ECO-020,economics,"Measurement methods — income, expenditure, product",L2,not_flagged,N,Which of the following purchases is a FINAL good in national income accounting?,C. A tractor bought by a farmer,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
ECO-021,economics,Real vs nominal income; GDP deflator,L2,not_flagged,N,"GDP at current prices ₹3,15,000 crore; GDP at constant (base-year) prices ₹2,80,000 crore. The implicit price deflator and the price rise since the base year a…",A. 112.5 and 12.5%,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
