id,subject,microtopic,level,factcheck_verdict,verify_fact,stem_excerpt,keyed_answer,ref,sample,reviewer,decision,fix_note,minutes_spent
FINA-088,finance,"Call, notice and term money",L3,wrong_key,Y,"A scheduled commercial bank's capital funds (Tier 1 + Tier 2) at the end of the previous financial year were ₹4,000 crore. Under RBI's current directions, each…","A. ₹2,000 crore","RBI Call, Notice and Term Money Markets (Reserve Bank) Directions, 2021 (as amended 8 June 2023) — Board-approved limits within inter-bank liability (IBL) limits; earlier 2016 Master Direction percentage caps withdrawn",,,,,
FINA-132,finance,Depositories and dematerialisation,L2,fix_needed,Y,"**Assertion (A):** Shareholders of a listed company holding physical share certificates cannot transfer them to a buyer in physical form, though they can still…","D. Both A and R are true, and R correctly explains A","SEBI (LODR) Regulations 2015, Reg 40(1) (as amended June 2018; proviso substituted by LODR (Amendment) Regulations, 24 January 2022)",,,,,
FINA-150,finance,Anchor investors and lock-in,L4,fix_needed,Y,"[case FINA-CASE-IPO] Assume allocation norms: QIBs not more than 50% of the net offer; anchor investors up to 60% of the QIB portion, 40% of the anchor portion reserved — one-third…",A. 1.80 crore shares; 0.60 crore shares,"SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018 — anchor investor provisions (Schedule XIII) and lock-in (Regs 16–17); Reg 32(1); ICDR (Third Amendment) Regulations 2025 — 40% anchor reservation (⅓ MFs, balance life insurers & pension funds)",,,,,
FINA-158,finance,DTAA and tax administration bodies,L2,fix_needed,Y,Match the body (List I) with its constitutional/statutory basis or function (List II): | List I | List II | |---|---| | P. Central Board of Direct Taxes | 1. A…,"D. P-2, Q-1, R-4, S-3",Central Boards of Revenue Act 1963; Constitution Art. 279A; Income-tax Act 2025 — Appellate Tribunal provisions (appeal to Tribunal s.362; formerly ss.252–253 of the 1961 Act),,,,,
FINA-086,finance,"Call, notice and term money",L1,confirmed,Y,"In the Indian money market, funds lent for a period of 2 to 14 days are classified as:",C. Notice money,"RBI Call, Notice and Term Money Market directions",Y,,,,
FINA-092,finance,"Development financial institutions — NABARD, SIDBI, NHB, NaBFID, EXIM",L2,confirmed,Y,"Consider the following statements: 1. NABARD, SIDBI, NHB, EXIM Bank and NaBFID are regulated and supervised by the RBI as All India Financial Institutions. 2.…",C. 1 and 2 only,NaBFID Act 2021; Finance (No.2) Act 2019 amendments to NHB Act; RBI AIFI framework,Y,,,,
FINA-131,finance,Depositories Act 1996,L3,confirmed,Y,"Consider the following statements under the Depositories Act, 1996: 1. A depository is deemed to be the registered owner for effecting transfer of ownership, b…","A. 1, 2 and 4 only","Depositories Act 1996, ss.3, 9, 10",Y,,,,
FINA-143,finance,FSDC and regulatory coordination,L1,confirmed,Y,The Financial Stability and Development Council (FSDC) is:,D. A non-statutory body chaired by the Finance Minister; its sub-committee is chaired by the RBI Governor,Government of India resolution constituting FSDC (2010),Y,,,,
FINA-151,finance,Anchor investors and lock-in,L4,confirmed,Y,"[case FINA-CASE-IPO] Assume allocation norms: QIBs not more than 50% of the net offer; anchor investors up to 60% of the QIB portion, one-third of the anchor portion reserved for d…",C. They pay an additional ₹10.80 crore; 50% locked for 30 days and 50% for 90 days from allotment,"SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018 — anchor investor provisions (Schedule XIII) and lock-in (Regs 16–17)",Y,,,,
FINA-160,finance,Direct vs indirect taxes,L1,confirmed,Y,Which of the following taxes is administered by the Central Board of Direct Taxes (CBDT)?,D. Securities Transaction Tax,"Finance (No.2) Act 2004, Chapter VII (STT); Union Budget receipt classification",Y,,,,
FINA-166,finance,"GST — supply, input tax credit, zero-rated, exports",L3,confirmed,Y,"Common input tax credit (C2) of a manufacturer for a month is ₹9,00,000. Its turnover in the State is: taxable domestic supplies ₹1,20,00,000, exempt supplies…","B. ₹1,35,000",CGST Act 2017 s.17(2); CGST Rules r.42; IGST Act s.16,Y,,,,
FINA-001,finance,Bond yield and pricing,L1,not_flagged,N,"Other things remaining the same, which of the following bonds will show the LARGEST percentage price change for a 50 bp rise in market yield?",B. A 15-year zero-coupon bond,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
FINA-002,finance,Bond yield and pricing,L2,not_flagged,N,"A bond of face value ₹1,000 carries a 7.50% coupon payable annually and has 5 years to maturity. It is redeemable at par. If the market yield on comparable bon…",D. ₹972.20,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
FINA-003,finance,Bond yield and pricing,L2,not_flagged,N,A ₹100 face value bond with a 7.15% annual coupon is quoted at ₹96.40. Its current yield is:,C. 7.42%,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
FINA-004,finance,Bond yield and pricing,L3,not_flagged,N,"A 6-year, 8% annual-coupon bond (face ₹1,000, redeemable at par) trades at ₹945. Using the standard approximation formula, its yield to maturity is closest to:",C. 9.17%,Standard exam pattern (ICAI/ICMAI/standard texts). Original figures and entities; no text reproduced.,,,,,
