"row_type","row_id","paper_year","question_number_or_topic_id","text_preview","flags","sample_reason","decision","notes","assign_topic_id","difficulty"
"question","9f893d32-07de-4eca-8e9a-d918858bd432","2019","1","Consider the following statements: Agricultural soils release nitrogen oxides into the environment. Cattle releases ammonia into the environ","","spot_check","verified","","","medium"
"question","ff69d159-2b30-4746-b1c9-7fc89e34b702","2019","2","What is common to the places known as Aliyar, Isapur and Kangsabati?","","","verified","","","hard"
"question","3837cc50-7c89-4ffc-8f61-c40924954a29","2019","3","In the context of proposals to the use of hydrogen-enriched CNG (H-CNG) as fuel for buses in public transport, consider the following statem","","","verified","","","medium"
"question","e695a870-716e-49a0-a77b-046b1d7f6349","2019","4","Why are dewdrops not formed on a cloudy night?","","","verified","","","easy"
"question","e638568c-53bc-4219-9fc3-db6eeade8bb7","2019","5","Consider the following statements: The 44th Amendment to the Constitution of India introduced an Article placing the election of the Prime M","","","verified","","","medium"
"question","96ff2c8f-77bc-47d2-b27d-3c342a0a307c","2019","6","Consider the following statements: The- motion to impeach a Judge of the Supreme Court of India cannot be rejected by the Speaker of the Lok","non_ascii_suspect","flagged","verified","","","medium"
"question","82134561-abb5-4fba-84c9-fbc8bab9bdc0","2019","7","The Ninth Schedule was introduced in the Constitution of India during the prime ministership of-","","","verified","","","medium"
"question","d607412c-4cef-4962-a20b-66534b05d55c","2019","8","Consider the following statements: Coal sector was nationalized by the Government of India under Indira Gandhi. Now, coal blocks are allocat","","","verified","","","medium"
"question","bb24d907-98af-451d-8307-e7dd477cd53b","2019","9","Consider the following statements: The Parliament (Prevention of Disqualification) Act, 1959 exempts several posts from disqualification on ","non_ascii_suspect","flagged","verified","","","hard"
"question","e50d632b-86ee-479f-87a1-40bb6c5134bc","2019","10","Under which Schedule of the Constitution of India can the transfer of tribal land to private parties for mining be declared null and void?","","","verified","","","medium"
"question","ccdf2494-7526-4adb-94f4-98cd1ff8213f","2019","11","Recently, there was a growing awareness in our country about the importance of Himalayan nettle (Girardinia diversifolia) because it is foun","","","verified","","","hard"
"question","bfd1f252-e1ef-4b1b-94b3-1d96f07dd7a2","2019","12","For the measurement/estimation of which of the following are satellite images/remote sensing data used? Chlorophyll content in the vegetatio","","spot_check","verified","","","easy"
"question","035d24c0-a682-47e7-9f7d-e29be0b93aa9","2019","13","Consider the following States: Chhattisgarh M dhya Pradesh Maharashtra Odisha With reference to the States mentioned above, in terms of perc","","","verified","","","hard"
"question","2551d7e3-4bd2-4320-a93b-500670d23f68","2019","14","Which of the following statements are correct about the deposits of “methane hydrate”? Global warming might trigger the release of methane g","non_ascii_suspect","flagged","verified","","","medium"
"question","6146bba3-1297-430f-acac-83fa1a32897d","2019","15","Consider the following: Carbon monoxide Methane Ozone Sulphur dioxide Which of the above are released into atmosphere due to the burning of ","","","verified","","","easy"
"question","1504043f-a296-488f-81d9-c385c28910cd","2019","16","Consider the following pairs: Sea : Bordering country 1. Adriatic Sea : Albania 2. Black Sea : Croatia 3. Caspian Sea : Kazakhstan 4. Medite","","","verified","","","easy"
"question","657d3c65-cc5b-4a99-b328-3f342f75c4d7","2019","17","Among the following, which one is the largest exporter of rice in the world in the last five years?","","","verified","","","medium"
"question","07e289b6-17c8-47b0-a05d-889bffdba7e0","2019","18","Consider the following pairs: Glacier : River 1. Bandarpunch : Yamuna 2. Bara Shigri : Chenab 3. Milam : Mandakini 4. Siachen : Nubra 5. Zem","","","verified","","","hard"
"question","a5bdbc46-f8bd-4df1-8a34-d89121d28b58","2019","19","In India, the use of carbofuran, methyl parathion, phorate and triazophos is viewed with apprehension. These chemicals are used as","","","verified","","","medium"
"question","a9cd1b8c-17b2-4324-80a0-d9e8fe5fda7f","2019","20","Consider the following statements: Under Ramsar Convention, it is mandatory on the part of the Government of India to protect and conserve a","","","verified","","","medium"
"question","2e8b0829-be8e-4545-84d9-523f4a244ef5","2019","21","Building ‘Kalyaana Mandapas’ was a notable feature in the temple construction in the kingdom of","non_ascii_suspect","flagged","verified","","","medium"
"question","557fd94e-7bd4-4696-8c32-362bfba4d7a5","2019","22","Consider the following statements: In the revenue administration of Delhi Sultanate, the in-charge of revenue collection was known as ‘Amil’","non_ascii_suspect","flagged","verified","","","medium"
"question","e18da360-a610-4c66-b294-3b46f1202bd8","2019","23","Consider the following statements: Saint Nimbarka was a contem-porary of Akbar. Saint Kabir was greatly influenced by Shaikh Ahmad Sirhindi.","","","verified","","","hard"
"question","0028c6e5-41a4-41f1-888b-57915b2233bf","2019","24","With reference to the British colonial rule in India, consider the following statements: Mahatma Gandhi was instrumental in the abolition of","non_ascii_suspect","flagged","verified","","","medium"
"question","bc0f1e79-5d9f-45d7-b4c2-1a80b0fa51c3","2019","25","With reference to Indian National Movement, consider the following pairs: Person : Position held 1. Sir Tej Bahadur Sapru : President, All I","","spot_check","verified","","","hard"
"question","6552b9a6-396f-4d6a-a8b8-0eecd0230406","2019","26","With reference to Mian Tansen, which one of the following statements is not correct?","","","verified","","","medium"
