year,paper_id
1980,66ada610-84ca-48fb-bfd2-abe0dd0b0e6d
1981,07da9383-9810-4efd-bb28-39070886b001
1982,7da32218-b791-47d6-8dfd-1d6ce7bf7b37
1983,ece92be6-487f-4eb6-9a62-7d9d86236de4
1984,014b0760-fd1e-458d-a881-a0912dcaf706
1985,b3275b8d-f7ed-42d1-802a-b35efadbdada
1986,0e071b82-6c72-4e2e-adc8-58b4c7d1f988
1987,1cf40403-3dad-4adf-afd0-a9fa5cc7663f
1988,4967b0c6-56f9-4f1b-9ec7-ed7063fea6e9
1989,786fefdd-a916-415b-9147-c820d4f0e350
1990,9caeb6d2-cd5e-4244-87c5-f03f0bcda39a
1991,77166636-51f1-435c-ba87-d7560035df2a
1992,2f8d4234-f874-49cd-a54d-5fbe7bb8c89e
1993,34e35c57-1707-46c5-b048-ee6b6eb6aa5d
1994,637fb295-602a-47b9-86ff-498e8ebc2375
1995,6506f592-8431-4a55-927f-f5357a31d87d
1996,c165b284-e145-4b55-b52f-34c95060c46b
1997,e5676128-5fb4-4778-8f3d-a4accbb7e772
1998,9ff33349-98c9-47ab-9811-592ee1d5b315
1999,c34831f0-13c0-411b-9c52-a057e2995fe4
2000,20a345e1-d2e7-4702-b5a0-ccc777b2a1b6
2001,a6a9f0da-d205-4667-82a6-e1013b5871df
2002,597d9fd9-7cec-4ba8-b93b-ca98ce918c3a
2003,d807696b-3ee2-4beb-8898-e50059a2d3e9
2004,3f8d6309-5051-420f-ae7c-d247c2af94dc
2005,c7e0b3c3-2a91-439d-a908-1faadca17567
2006,5feb1c6b-4458-4835-afe1-1cbba8e51422
2007,cba8ab31-6cf0-411a-9dc7-fccbad693f38
2008,61448975-84f2-42ff-9897-fdfffdc9617b
2009,3ac9d95c-6734-443e-ab87-fa67415fa0e1
2010,3bc550d4-ea62-4bf1-b9da-1cb4ec8111fb
