question_number,assign_topic_id,microtopic_name,confidence
1,8713e217-9921-44f4-a1d7-b99bbc4178cf,"Partition, integration and independence",check
2,0ad674a9-0694-42e8-ac87-a79e85e9f5b1,Right to life and personal liberty,ok
3,8e834bd5-5d64-4d60-b105-14b2a0dce8cc,"Agricultural marketing, MSP and procurement",ok
4,99998dde-a7ad-4cba-aea4-5149d5d7d140,Protected area categories,ok
5,e57ad5b3-4576-482b-91f0-0bdfc6339454,Indian space programme and launch vehicles,ok
6,3d5f609a-e595-44bf-9c51-1ee9272153b6,Public sector banks and governance,ok
7,0e80d2a1-69d8-42b6-b305-8f6cbec1a798,Taxation — direct and indirect,ok
8,7a9ef97f-03cf-491f-a0f4-01851b3df797,Forest laws and forest rights,ok
9,59a26ffc-714a-49b3-8857-63d46e05d3ea,"Viruses, bacteria and microbiology",check
10,1e6c07b8-b818-49ad-894e-9bdbdbed9080,Sustainable and regenerative farming methods,ok
11,8c9499a4-5221-4f79-ac73-e151581dd97c,Types of bills and the legislative process,ok
12,758fb132-d14b-4c86-b117-eed7728d7d04,President — election and powers,ok
13,edb85caf-ff68-4e7e-88c4-8a2352a2c1f4,Export control and non-proliferation regimes,ok
14,1af4be87-f327-4d7e-831d-98b4571d5858,Regional groupings and economic blocs,ok
15,69f5f696-e1f0-4a23-95e0-447297437ac3,"Climate treaties, institutions and initiatives",ok
16,e5a97b06-21bf-48f8-97cc-ff70ec70164d,Data protection and digital governance,check
17,ef2163b5-bdc8-403b-a01e-d8cb279b69df,World political geography and regions in news,ok
18,8c060e1c-e55a-481b-9676-6d0d49874acb,Constitutional reforms and Government of India Acts,ok
19,33a6cc51-e142-4304-bf79-757e88586701,"Presiding officers, privileges and office of profit",ok
20,b75efc14-0e32-4fc1-9fcb-bf313d91cb28,Constitutional philosophy and rule of law,ok
21,89f9867d-8ca9-4782-9182-cb76d16c1eb3,Governor and the state executive,ok
22,4ff96891-ea5e-40e2-808c-dacc04c5a1f8,Painting traditions and schools,ok
23,47eba1b6-51b8-46c4-a5e5-727343167cce,Missile systems and strategic weapons,ok
