source,file,year,paper,question_number,paper_local_number,global_number,en_len,verdict,best_score,best_other_score,best_other_year,best_other_paper,ocr_derived,scoring_pass
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS1,39,1,1,196,unverifiable,,50.5,2013,GS3,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS1,40,2,2,94,unverifiable,,81.5,2013,GS1,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS1,41,3,3,128,unverifiable,,52.0,2026,GS4,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS1,42,4,4,83,unverifiable,,59.8,2026,GS2,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS1,43,5,5,113,unverifiable,,54.5,2013,GS1,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS1,44,6,6,78,unverifiable,,57.1,2022,GS4,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS1,45,7,7,107,unverifiable,,51.4,2017,GS3,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS1,46,8,8,93,unverifiable,,54.9,2016,GS2,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS1,47,9,9,154,unverifiable,,60.0,2018,GS4,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS1,48,10,10,115,unverifiable,,53.2,2026,GS4,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS1,49,11,11,92,unverifiable,,59.3,2023,GS3,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS1,50,12,12,93,unverifiable,,58.7,2014,GS3,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS1,51,13,13,137,unverifiable,,50.7,2020,GS4,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS1,52,14,14,72,unverifiable,,69.0,2016,GS3,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS1,53,15,15,114,unverifiable,,54.5,2013,GS3,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS1,54,16,16,116,unverifiable,,52.2,2026,GS4,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS1,55,17,17,72,unverifiable,,62.0,2023,GS3,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS1,56,18,18,124,unverifiable,,54.5,2020,GS4,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS1,57,19,19,82,unverifiable,,58.2,2026,GS4,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS1,58,20,20,108,unverifiable,,57.5,2016,GS3,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS2,59,1,21,133,orphan,69.7,53.8,2015,GS2,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS2,60,2,22,104,orphan,51.5,57.4,2014,GS2,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS2,61,3,23,123,orphan,51.3,53.8,2020,GS2,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS2,62,4,24,125,orphan,50.0,59.8,2018,GS2,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS2,63,5,25,135,orphan,50.4,63.6,2014,GS2,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS2,64,6,26,123,orphan,50.0,65.8,2017,GS4,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS2,65,7,27,88,orphan,50.6,64.7,2020,GS2,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS2,66,8,28,134,orphan,50.0,54.6,2013,GS1,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS2,67,9,29,114,orphan,50.0,56.4,2026,GS3,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS2,68,10,30,107,orphan,60.6,55.8,2014,GS2,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS2,69,11,31,113,orphan,56.2,55.4,2016,GS3,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS2,70,12,32,142,orphan,50.4,53.2,2015,GS2,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS2,71,13,33,131,orphan,50.4,54.3,2026,GS2,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS2,72,14,34,111,orphan,57.4,54.6,2015,GS2,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS2,73,15,35,98,orphan,50.0,55.2,2026,GS4,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS2,74,16,36,151,orphan,46.9,51.7,2014,GS4,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS2,75,17,37,130,orphan,52.8,56.7,2026,GS4,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS2,76,18,38,102,orphan,60.4,61.4,2026,GS2,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS2,77,19,39,134,orphan,51.9,55.0,2026,GS2,true,phase3
db,UPSCCSEMains2016APPENDGS1GS2.json,2016,GS2,78,20,40,131,orphan,55.0,55.8,2019,GS3,true,phase3
db,UPSCCSEMains2016GS1.json,2016,GS1,1,1,1,196,unverifiable,,50.5,2013,GS3,true,phase3
db,UPSCCSEMains2016GS1.json,2016,GS1,2,2,2,94,unverifiable,,81.5,2013,GS1,true,phase3
db,UPSCCSEMains2016GS1.json,2016,GS1,3,3,3,128,unverifiable,,52.0,2026,GS4,true,phase3
db,UPSCCSEMains2016GS1.json,2016,GS1,4,4,4,83,unverifiable,,59.8,2026,GS2,true,phase3
db,UPSCCSEMains2016GS1.json,2016,GS1,5,5,5,113,unverifiable,,54.5,2013,GS1,true,phase3
db,UPSCCSEMains2016GS1.json,2016,GS1,6,6,6,78,unverifiable,,57.1,2022,GS4,true,phase3
db,UPSCCSEMains2016GS1.json,2016,GS1,7,7,7,107,unverifiable,,51.4,2017,GS3,true,phase3
db,UPSCCSEMains2016GS1.json,2016,GS1,8,8,8,93,unverifiable,,54.9,2016,GS2,true,phase3
db,UPSCCSEMains2016GS1.json,2016,GS1,9,9,9,154,unverifiable,,60.0,2018,GS4,true,phase3
db,UPSCCSEMains2016GS1.json,2016,GS1,10,10,10,115,unverifiable,,53.2,2026,GS4,true,phase3
db,UPSCCSEMains2016GS1.json,2016,GS1,11,11,11,92,unverifiable,,59.3,2023,GS3,true,phase3
db,UPSCCSEMains2016GS1.json,2016,GS1,12,12,12,93,unverifiable,,58.7,2014,GS3,true,phase3
db,UPSCCSEMains2016GS1.json,2016,GS1,13,13,13,137,unverifiable,,50.7,2020,GS4,true,phase3
db,UPSCCSEMains2016GS1.json,2016,GS1,14,14,14,72,unverifiable,,69.0,2016,GS3,true,phase3
db,UPSCCSEMains2016GS1.json,2016,GS1,15,15,15,114,unverifiable,,54.5,2013,GS3,true,phase3
db,UPSCCSEMains2016GS1.json,2016,GS1,16,16,16,116,unverifiable,,52.2,2026,GS4,true,phase3
db,UPSCCSEMains2016GS1.json,2016,GS1,17,17,17,72,unverifiable,,62.0,2023,GS3,true,phase3
db,UPSCCSEMains2016GS1.json,2016,GS1,18,18,18,124,unverifiable,,54.5,2020,GS4,true,phase3
db,UPSCCSEMains2016GS1.json,2016,GS1,19,19,19,82,unverifiable,,58.2,2026,GS4,true,phase3
db,UPSCCSEMains2016GS1.json,2016,GS1,20,20,20,108,unverifiable,,57.5,2016,GS3,true,phase3
db,UPSCCSEMains2016GS2.json,2016,GS2,1,1,21,133,orphan,69.7,53.8,2015,GS2,true,phase3
