question_number,correct_option_label
1,a
2,b
3,b
4,a
5,d
6,a
7,c
8,a
9,d
10,d
11,c
12,c
13,a
14,a
15,c
16,d
17,b
18,c
19,b
20,c
21,d
22,a
23,b
24,a
25,d
26,a
27,c
28,c
29,b
30,c
31,a
32,b
33,c
34,c
35,a
36,d
37,b
38,c
39,b
40,c
41,a
42,b
43,d
44,d
45,d
46,b
47,b
48,a
49,c
50,d
51,b
52,c
53,a
54,
55,b
56,a
57,d
58,d
59,d
60,c
61,a
62,c
63,d
64,d
65,c
66,d
67,a
68,c
69,a
70,a
71,b
72,c
73,d
74,b
75,b
76,c
77,b
78,d
79,c
80,a
81,a
82,b
83,a
84,d
85,c
86,c
87,b
88,d
89,a
90,d
91,b
92,b
93,d
94,c
95,b
96,c
97,d
98,d
99,c
100,c
