question_number,correct_option_label
1,b
2,b
3,b
4,d
5,d
6,d
7,d
8,c
9,b
10,d
11,d
12,b
13,b
14,d
15,a
16,a
17,a
18,a
19,a
20,d
21,a
22,c
23,d
24,b
25,b
26,d
27,a
28,b
29,c
30,
31,c
32,b
33,b
34,b
35,c
36,a
37,c
38,c
39,a
40,b
41,b
42,c
43,d
44,d
45,d
46,b
47,a
48,c
49,d
50,d
51,c
52,c
53,a
54,a
55,a
56,c
57,d
58,b
59,a
60,b
61,c
62,a
63,b
64,b
65,d
66,b
67,d
68,a
69,c
70,b
71,c
72,b
73,d
74,a
75,b
76,c
77,c
78,d
79,a
80,d
81,c
82,a
83,b
84,c
85,d
86,a
87,d
88,d
89,b
90,c
91,c
92,b
93,d
94,a
95,b
96,d
97,a
98,a
99,d
100,d
