row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty,stimulus_preview
question,241ad0dd-ba23-4a33-a672-eae7eee06f3c,2011,200,'A crisis of credibility' in the administrative system can be overcome only by 'reinventing government'. Comment.,no_primary_tag,flagged,,,,,
question,1f349cca-0dca-42c9-a1a2-a65cf8727572,2011,201,'Media is a Parliament of citizens'. Explain.,no_primary_tag,flagged,,,,,
question,3e8334d3-a42c-42c7-a137-febdf9d4833b,2011,202,E-governance is the final arrival of Max Weber's 'iron cage of rationality'. Discuss.,no_primary_tag,flagged,,,,,
question,53a2221a-9327-493c-aba0-8973f70f2a19,2011,203,"In the evolution of the discipline of Public Administration. Minnowbrook Conference I, II and III reflect the discipline's reconceptualizati",no_primary_tag,flagged,,,,,
question,f758efbb-9c2c-4d41-a433-45fb883c3c42,2011,204,Critically examine conflict resolution according to M. P. Follett. Explain how McGregor took forward her ideas to the context of complex org,no_primary_tag,flagged,,,,,
question,15827049-7f32-4c32-9518-0cdcddb5f364,2011,205,"Whereas Downs' model is largely dependent on a theory of Psychological motivation, Niskanen's model is framed by neo-classical thinking. In ",no_primary_tag,flagged,,,,,
question,ab2607c4-992f-4522-a5d1-c86a4d54ab34,2011,206,The Systems Approach is relevant even today for organisational analysis. Discuss how Chester Barnard and David Easton adopted this approach ,no_primary_tag,flagged,,,,,
question,56fbc9b1-34a2-4d4e-b94c-13fc5d279bec,2011,207,"Whereas 'value for money' audit aims at economy and 'performance' audit seeks efficiency, 'social' audit goes beyond both, to examine the ef",no_primary_tag,flagged,,,,,
question,6512f5b2-5c52-4c9e-b1ab-ac840bf6756e,2011,208,(i) Make a critical assessment of Dicey's understanding of the Rule of Law and Droit Administratif.,no_primary_tag,flagged,,,,,
question,126f067b-1b3b-4777-9845-162d053fb529,2011,209,Make out a case for Delegated Legislation.,no_primary_tag,flagged,,,,,
question,a782c323-a805-4c50-8b13-fac94c855af1,2011,210,'Budget is a series of goals with price-tags attached.' Explain.,no_primary_tag,flagged,,,,,
question,2015f6b5-1bf4-4d42-8a9e-4473f020647b,2011,211,'Policy is being made as it is being administered and administered as it is being made.' Comment.,no_primary_tag,flagged,,,,,
question,fc58cb8a-9fed-4697-9503-844dad8a73e0,2011,212,'Position Classification can be problematic. A serious complaint in its practice is that it dehumanises the employee.' Discuss. www.lotusari,no_primary_tag,flagged,,,,,
question,232613a6-0bf2-4cc2-9e8b-7aa0ae1c4a79,2011,213,Neither Edward Weidner nor Fred Riggs was able to describe the process of development administration adequately. Explain the drawbacks and w,no_primary_tag,flagged,,,,,
question,b1f824f6-4112-4e07-a003-2fafdb7c2dbe,2011,214,Indicate the milestones in the story of development from the Nehruvian Model to the Liberalisation Model.,no_primary_tag,flagged,,,,,
question,5ce9b2ef-d522-4be3-adee-09128ecc198f,2011,215,"Civil Servants must be social moralists in action, living up to Paul Appleby's dictum that 'responsible government is ethical government'. E",no_primary_tag,flagged,,,,,
question,29577c83-ffca-4fa0-80d4-befde4036b49,2011,216,Critically examine the following statements in the field of Policy Sciences.,no_primary_tag,flagged,,,,,
question,7cff4f80-0283-4e91-8a9b-a3b122d12b1c,2011,217,The incrementalist paradigm posits a conservative tendency in public policy making.,no_primary_tag,flagged,,,,,
question,6149d12e-aef7-45fa-9ed6-b100ab293d22,2011,218,Dror's Optimal Model is a fusion of the economically rational model with the extra - rational model.,no_primary_tag,flagged,,,,,
question,477fd88c-ec31-4e49-845a-c87b0df23d42,2011,219,(i) What are the main functions of an O and M office?,no_primary_tag,flagged,,,,,
question,d2747c67-de34-404c-913c-e3b0b6b3f74c,2011,220,A system of Information ties planning and control by managers to the operational system of implementation. Elaborate. (b) An administrator u,no_primary_tag,flagged,,,,,
question,7ddcce20-42e2-4114-b67b-5e95032e8bd2,2012,200,"'On a more sophisticated plane public choice is concerned with ""Pareto optimality"", or at least with ""Pareto improvements"".' Comment.",no_primary_tag,flagged,,,,,
