row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty,stimulus_preview
question,1eb4f650-d91d-4b30-aa15-823ed1fb5de2,2020,650,"On the outline map of india provided to you,mark the location of all of the following. Write in your QCR Booklet the significance the these ",no_primary_tag,flagged,,,,,
question,e9ee6d35-9f1a-46bf-85ad-803cc1bdab4c,2020,651,Vadhawan.,empty_or_short;no_primary_tag,flagged,,,,,
question,43c81826-6f49-41a9-872d-15fcbea48941,2020,652,Salkhan.,empty_or_short;no_primary_tag,flagged,,,,,
question,6664bfa3-c28d-4005-bf41-d1db5a83c659,2020,653,Coorg.,empty_or_short;no_primary_tag,flagged,,,,,
question,4499af25-66d1-43a7-b0f5-771d3668b84a,2020,654,Mhow.,empty_or_short;no_primary_tag,flagged,,,,,
question,a21abd7e-7161-46d5-8307-2b81ef54a9a1,2020,655,Umroi.,empty_or_short;no_primary_tag,flagged,,,,,
question,d6de4eb6-f992-4dd4-97c0-795aa90ee8d7,2020,656,Thoothukudi.,empty_or_short;no_primary_tag,flagged,,,,,
question,2b18f7d8-129c-4199-a5ec-b536cb960da8,2020,657,Bargarh.,empty_or_short;no_primary_tag,flagged,,,,,
question,b4c9512e-5cb3-43b9-b38b-59fb6b61f655,2020,658,Atal Tunnel.,empty_or_short;no_primary_tag,flagged,,,,,
question,93ce5b0b-0d26-4a7a-8294-a5deef9be221,2020,659,Gurushikhar.,empty_or_short;no_primary_tag,flagged,,,,,
question,f2ae5999-b880-400e-a423-cd613dfe692f,2020,660,Bum La.,empty_or_short;no_primary_tag,flagged,,,,,
question,0d2ad45a-0fb6-4221-a6cc-53263aa79032,2020,661,Climate change has unsettled the rhythm of seasons. Comment with examples and empirical evidence.,no_primary_tag,flagged,,,,,
question,bf5bdd2d-e3d9-42e8-b142-450afd24beaa,2020,662,Discuss the method of crops residue management in rural india to reduce pollution.,no_primary_tag,flagged,,,,,
question,daad81c7-d424-4b3e-998a-eacde65bb30b,2020,663,Has the regional aspiration of the people of Jammu and Kashmir been addressed through re-organization of the state? Make an assessment.,no_primary_tag,flagged,,,,,
question,1eb9604a-1f4b-4b2e-8a5c-54bd169281fc,2020,664,"Identifying areas covered under tribal sum-plan, discus the programmers initiated to address to their problems. www.lotusarise.com 97.",no_primary_tag,flagged,,,,,
question,93787f93-c1c9-4163-bd64-982d08a57e3d,2020,665,"Soil type in India, classified on the basis of colour, possess specific chemical and mineral characteristics. Discuss.",no_primary_tag,flagged,,,,,
question,1543f54f-fb03-4b64-9d70-985186afc036,2020,666,The Pharmaceutical industry in india depend on the import of raw material. Evaluate this statement in viewe of the Indo-Chinese relationship,no_primary_tag,flagged,,,,,
question,ada127f5-3e9e-4cc7-8f3e-d136af6afd3a,2020,667,India has opened-up its space to private sectors for satellite-based activities. Critically examine its implications indicating the major se,no_primary_tag,flagged,,,,,
question,fe6b7196-4633-41ab-9117-69e4f84d13be,2020,668,Identify oilseeds producing areas in India and the dicusse the measure to promote edible oil industry.,no_primary_tag,flagged,,,,,
question,2576e404-a296-40ac-b71b-a653d292667e,2020,669,Give a reasoned geographical account of changing rural folk houses in india.,no_primary_tag,flagged,,,,,
question,e6453f67-1f31-4adf-be4e-91c92b2ea387,2020,670,Border are development is an important national priority. What are the resilient steps needed for peaceful borders?,no_primary_tag,flagged,,,,,
question,ba04182e-d184-4541-88ed-c4b78d5e7fa4,2020,671,Stunting and wasting among children are major consequences of food in insecurity. Discuss various schemes of the Government of India to addr,no_primary_tag,flagged,,,,,
question,9e200628-0c6d-4149-887d-e6052363ea17,2020,672,"The Essential Commodities (Amendment)Bill 2020 aims to deregulate the production, supply, and distribution of farm produce. Critically exami",no_primary_tag,flagged,,,,,
question,914bfdad-a6bd-4c39-8998-a99734d4865a,2020,673,The success of Panchayati Raj depends upon meaningful participation of people grassroots level. Examine.,no_primary_tag,flagged,,,,,
question,52211e8a-a561-49fd-b461-df718439a897,2020,674,Elucidate the benefits of neem coated urea scheme for indian agriculture. www.lotusarise.com 98.,no_primary_tag,flagged,,,,,
question,83262516-14a9-467b-8536-93850bb6ba09,2020,675,Canal irrigation has led to monocropping in India. Explain with suitable exmples.,no_primary_tag,flagged,,,,,
question,afc98b20-6d04-4390-8b1f-cbd35bf4d568,2020,676,The pattern of growing ecological foot-prints is uneven in nature. Analyze with reference to land resources in India.,no_primary_tag,flagged,,,,,
question,764b4c88-09ef-4507-b50c-676497fd05de,2020,677,Identify challenges faced by generative and parasitic towns in India and their possible remedies.,no_primary_tag,flagged,,,,,
question,1f4b565d-d505-4839-80b0-9267d3beaf9b,2020,678,Digital Divide in India needs quick redressal to reduce regional disparity in development. Elaborate with suitable examples.,no_primary_tag,flagged,,,,,
question,5444744e-1c7f-4937-a461-f68a4a1b625b,2020,679,Awalanche is a major hazard in the Himalayas. What are its causes and mitigation measures?,no_primary_tag,flagged,,,,,
question,4377b8be-33b4-4985-8d50-45a9cd9fd894,2020,680,The process of demographic transition is not uniform in India. Examine this statement in the context of demographic transition theory.,no_primary_tag,flagged,,,,,
question,7c6d751a-41ec-4c2c-bda1-d5e3e3e425c7,2020,681,"Demarcating the seismic zones of India, suggest suitable interventions required the most sensitive seismic zones for sustainable human settl",no_primary_tag,flagged,,,,,
question,aa999467-81f1-43a3-b7e5-aaf096d921df,2020,682,What are the characteristics of Blue Flag certified beaches? Discuss their significance for beach tourism in India.,no_primary_tag,flagged,,,,,
question,846ed834-4832-4b10-be77-704d6f4a6448,2020,683,Urban sprawl around planned cities evolves leading to the emergence of squatter settlements. Discuss the advantages and disadvantages of suc,no_primary_tag,flagged,,,,,
question,16f749e5-2ef7-48f9-b138-7b9db09a0daf,2020,684,Analyse the changing nature of workforce composition vis-à-vis rural-urban divide in India. www.lotusarise.com 99.,non_ascii_suspect;no_primary_tag,flagged,,,,,
question,9cc09981-0338-4b36-888d-5befd231a6c4,2020,685,"Describe the economic, maritime and strategic interests of India in South China Sea.",no_primary_tag,flagged,,,,,
question,81b4105b-5d58-4363-97b7-546cce72ab67,2020,686,What kind of skill promotion programmes have been initiated for job deficient regions in India? Explain. www.lotusarise.com 100.,no_primary_tag,flagged,,,,,
question,d5268a3c-b57a-47c9-98eb-291db9553f5f,2021,650,"On the outline map of India provided to you, mark the location of all the following. Write in your QCA Booklet the significance of these loc",no_primary_tag,flagged,,,,,
