id,subject,microtopic,level,factcheck_verdict,verify_fact,stem_excerpt,keyed_answer,ref,sample,reviewer,decision,fix_note,minutes_spent
CAA-042,companies-act,Cost audit,L2,wrong_key,Y,Sanjeevani Pharma Ltd operates in a regulated sector (Table A). In the preceding financial year its overall turnover was ₹60 crore; the aggregate turnover of i…,"C. It must maintain cost records, but cost audit is not required","Companies (Cost Records and Audit) Rules 2014, Rule 3 and Rule 4(1) (aggregate turnover of covered products)",,,,,
CAA-045,companies-act,Delivery timeline for transfer of securities,L2,fix_needed,Y,"A duly stamped and executed instrument of transfer of physical shares of Rupal Traders Pvt Ltd, a small company (not required to dematerialise), is lodged with…",D. 5 February 2026,Companies Act 2013 s.56(4)(c); Share Capital Rules r.9A/r.9B (demat mandate — small private company outside r.9B),,,,,
CAA-054,companies-act,Divisible profits and managerial remuneration,L4,fix_needed,Y,"[case CAA-CASE-A] Vellora re-appoints its MD in FY 2026-27, a year in which its profits turn out to be inadequate. Figures as at 31 March 2026 (₹ crore): | Item | ₹ crore | |---…",D. ₹84 lakh,"Companies Act 2013 Schedule V Part II Section II and Explanation I (effective capital), as amended 2018 and 2021",,,,,
CAA-066,companies-act,Divisible profits and managerial remuneration,L3,fix_needed,Y,"Before depreciation, Rohini Ltd earned ₹18 crore in FY 2025-26, including an unrealised fair-value gain of ₹1.5 crore. Schedule II depreciation for the year is…",C. ₹6.50 crore,Companies Act 2013 s.123(1)(a) proviso and fourth proviso to s.123(1),,,,,
CAA-077,companies-act,Further issue of capital and rights issue,L2,wrong_key,Y,"In a rights issue by a public company under s.62(1)(a), the offer must remain open for ____ and the notice must be dispatched at least ____ before the opening…",D. not less than 7 days and not more than 30 days; 3 days,"Companies Act 2013 s.62(1)(a)(i) (amended 2020), s.62(2); Rule 12A, Share Capital and Debentures Rules 2014 (GSR 113(E), 11 Feb 2021)",,,,,
CAA-091,companies-act,Issue of shares at a discount — exceptions,L2,fix_needed,Y,"Laxmi Ltd issues 1,00,000 equity shares of ₹10 each at ₹8 each to investors (no s.53 exception applies). The consequence is:","A. Void; refund ₹8,00,000 with 12% p.a. interest; penalty up to lower of amount raised and ₹5 lakh","Companies Act 2013 s.53(2),(3) (substituted by Companies (Amendment) Act 2019, w.e.f. 2 Nov 2018)",,,,,
CAA-104,companies-act,NCLAT chairperson — age limit,L1,fix_needed,Y,The Chairperson of the NCLAT holds office until attaining the age of:,B. 70 years,Companies Act 2013 s.413 (as enacted); Madras Bar Association v. UoI (MBA-IV/V directions; 2025 INSC 1330),,,,,
CAA-105,companies-act,NCLAT chairperson — age limit,L2,fix_needed,Y,"Consider the following about the NCLAT: 1. The Chairperson must be, or must have been, a Judge of the Supreme Court or the Chief Justice of a High Court. 2. Th…","A. 1, 2 and 3 only","Companies Act 2013 s.411(1), s.413 (as enacted); Madras Bar Association v. UoI (MBA-IV/V directions; 2025 INSC 1330)",,,,,
CAA-117,companies-act,"Powers, duties and the auditor's report",L3,wrong_key,Y,Hira Pvt Ltd (not an OPC or small company) had turnover of ₹42 crore per its latest audited financial statements; its bank borrowings peaked at ₹28 crore durin…,B. Yes — exemption needs turnover < ₹50 crore and borrowings < ₹25 crore; borrowings hit ₹28 crore,Companies Act 2013 s.143(3)(i); MCA notification GSR 583(E) dated 13 June 2017 as corrected by corrigendum dated 13 July 2017,,,,,
CAA-010,companies-act,Appeal window to the NCLAT,L1,confirmed,Y,An appeal to the NCLAT against an order of the NCLT under the Companies Act must be filed within:,"A. 45 days from availability of the order copy, plus up to 45 days for sufficient cause",Companies Act 2013 s.421(3),Y,,,,
