"row_type","row_id","paper_year","question_number_or_topic_id","text_preview","flags","sample_reason","decision","notes","assign_topic_id","difficulty","stimulus_preview"
"question","6c6220a5-333e-4688-ac60-2b13abe7906b","2020","15","Q.15) What is the code for ‘investigating’?","non_ascii_suspect;mcq_no_correct_option;no_primary_tag","flagged","","","98d49687-d96b-e39c-24b2-4889fc64d54a","",""
"question","7b897175-3d75-49fd-987d-0e7f28cfce8e","2020","16","Q.16)‘while in related’ can be coded as","non_ascii_suspect;mcq_no_correct_option;no_primary_tag","flagged","","","98d49687-d96b-e39c-24b2-4889fc64d54a","",""
"question","7e80e8bb-cdef-479f-8366-1bfb2d59f0f7","2020","17","Q.17) What does ‘cdw’ stand for?","non_ascii_suspect;mcq_no_correct_option;no_primary_tag","flagged","","","98d49687-d96b-e39c-24b2-4889fc64d54a","",""
"question","ff6b282d-43f6-416a-b364-37e6c2fef95d","2021","16","Q.16) What is the code for ‘Dirty’?","non_ascii_suspect;mcq_no_correct_option;no_primary_tag","flagged","","","98d49687-d96b-e39c-24b2-4889fc64d54a","",""
"question","539e8fcb-d157-4bd8-9a73-fa87ccd550c5","2021","17","Q.17) Which word is coded as ‘ja’?","non_ascii_suspect;mcq_no_correct_option;no_primary_tag","flagged","","","98d49687-d96b-e39c-24b2-4889fc64d54a","",""
"question","25209c15-4ce5-41e2-b7e8-287e6fa8a4af","2022","13","Q.13) What will be the code for “White”?","non_ascii_suspect;mcq_no_correct_option;no_primary_tag","flagged","","","98d49687-d96b-e39c-24b2-4889fc64d54a","",""
"question","fc7e3a43-f205-4814-8018-4dcff1767fa3","2022","14","Q.14) If Orange is written as “Gk”, then what will be the code for “Brown”?","non_ascii_suspect;mcq_no_correct_option;no_primary_tag","flagged","","","98d49687-d96b-e39c-24b2-4889fc64d54a","",""
"question","c999aa6a-65ea-46f0-8045-6c362472bf78","2022","15","Q.15) The codes “Rk Sk Nk” may represent which of the following?","non_ascii_suspect;mcq_no_correct_option;no_primary_tag","flagged","","","98d49687-d96b-e39c-24b2-4889fc64d54a","",""
"question","ac39da36-c6f2-4cdc-a149-2431339464b1","2022","16","Q.16) What does the code “Fk” represents?","non_ascii_suspect;mcq_no_correct_option;no_primary_tag","flagged","","","98d49687-d96b-e39c-24b2-4889fc64d54a","",""
"question","2bf6c5ef-0b59-4173-a3d3-8b07de3cc805","2020","6","Q.6) Eight boxes are placed one above the other in a stack. Which of the following box is placed immediately above Box H? I. Three boxes are","mcq_no_correct_option;no_primary_tag","flagged","","","606d4b80-5d4a-d093-d000-3fe8ec208fc9","",""
"question","9bf83b14-28ab-4833-accb-a6fceda336aa","2020","7","Q.7) There are 6 people P, Q, R, S, T and U each lives on a different floor of a 6 storey building having 6 floors numbered 1 to 6 (the grou","non_ascii_suspect;mcq_no_correct_option;no_primary_tag","flagged","","","606d4b80-5d4a-d093-d000-3fe8ec208fc9","",""
