slug	exams	name	act
fsa-fema-residential-status-under-s-2-v-a6cc6289	ifsca,pfrda,sebi	FEMA — residential status under s.2(v)	Foreign Exchange Management Act, 1999
fsa-fema-current-and-capital-account-transactions-s-5-s-6-and-lrs-cea4e175	ifsca,pfrda,sebi	FEMA — current and capital account transactions (s.5, s.6) and LRS	Foreign Exchange Management Act, 1999
fsa-fema-authorised-persons-and-rbi-directions-s-10-to-s-12-6a68c4c3	ifsca,pfrda,sebi	FEMA — authorised persons and RBI directions (s.10 to s.12)	Foreign Exchange Management Act, 1999
fsa-fema-penalties-enforcement-and-compounding-s-13-to-s-15-5d4c30c2	ifsca,pfrda,sebi	FEMA — penalties, enforcement and compounding (s.13 to s.15)	Foreign Exchange Management Act, 1999
fsa-fema-adjudication-and-appeals-f3c94c7a	ifsca,pfrda,sebi	FEMA — adjudication and appeals	Foreign Exchange Management Act, 1999
fsa-fema-civil-character-and-contrast-with-fera-05cf5ce6	ifsca,pfrda,sebi	FEMA — civil character and contrast with FERA	Foreign Exchange Management Act, 1999
fsa-competition-act-anti-competitive-agreements-s-3-6365e41c	ifsca,pfrda,sebi	Competition Act — anti-competitive agreements (s.3)	Competition Act, 2002
fsa-competition-act-abuse-of-dominant-position-s-4-d2e98375	ifsca,pfrda,sebi	Competition Act — abuse of dominant position (s.4)	Competition Act, 2002
fsa-competition-act-combinations-and-merger-control-s-5-s-6-d04b44db	ifsca,pfrda,sebi	Competition Act — combinations and merger control (s.5, s.6)	Competition Act, 2002
fsa-competition-act-cci-composition-and-inquiry-process-a6de3bbc	ifsca,pfrda,sebi	Competition Act — CCI composition and inquiry process	Competition Act, 2002
fsa-competition-act-penalties-and-lesser-penalty-s-27-s-46-be28b1f6	ifsca,pfrda,sebi	Competition Act — penalties and lesser penalty (s.27, s.46)	Competition Act, 2002
fsa-competition-act-settlement-commitment-and-appeals-60379d10	ifsca,pfrda,sebi	Competition Act — settlement, commitment and appeals	Competition Act, 2002
fsa-llp-act-partners-designated-partners-and-mutual-rights-2fc4debb	ifsca,pfrda,sebi	LLP Act — partners, designated partners and mutual rights	Limited Liability Partnership Act, 2008
fsa-llp-act-incorporation-legal-status-and-liability-4c17408f	ifsca,pfrda,sebi	LLP Act — incorporation, legal status and liability	Limited Liability Partnership Act, 2008
fsa-llp-act-conversion-into-llp-9695455d	ifsca,pfrda,sebi	LLP Act — conversion into LLP	Limited Liability Partnership Act, 2008
fsa-llp-act-small-llp-filings-and-decriminalisation-ea45d566	ifsca,pfrda,sebi	LLP Act — small LLP, filings and decriminalisation	Limited Liability Partnership Act, 2008
fsa-llp-act-winding-up-and-dissolution-81af7b12	ifsca,pfrda,sebi	LLP Act — winding up and dissolution	Limited Liability Partnership Act, 2008
