row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty,stimulus_preview
question,6f6cfe4e-f95d-4a1d-a53c-15a06f9712e3,2017,550,"""The Maratha polity disintegrated through internal stress.""",no_primary_tag,flagged,,,,,
question,d7870ed8-9def-48c0-bd57-a97809546883,2017,551,"""The chief value of Raja's (Raja Rammohan Roy) labours seems to lie in his fight against the forces of medievalism in India.""",no_primary_tag,flagged,,,,,
question,a7b54d85-87e1-435d-bdb3-0aa910e76a59,2017,552,"""The British railway construction policy in India benefitted the British economy in the nineteenth century.""",no_primary_tag,flagged,,,,,
question,6677ffe6-2700-47e4-b241-ac58d0487237,2017,553,"""The Arya Samaj may quite logically be pronounced as the outcome of conditions imported into India from the West.""",no_primary_tag,flagged,,,,,
question,13ff943b-968c-4d92-9159-c34fa7c37a83,2017,554,"""Sri Narayana Guru's was a major intervention in the social reform movement from a subaltern perspective.""",no_primary_tag,flagged,,,,,
question,9f6b733f-79ca-4c60-be84-a280d9907ebb,2017,555,Explain the factors responsible for the recurrence of famines in the nineteenth century. What remedial measures were adopted by the British ,no_primary_tag,flagged,,,,,
question,f830a009-096e-4eb5-a336-66cd521f8ed4,2017,556,Assess the role of the press in arousing awareness on important social issues in the second half of the nineteenth century.,no_primary_tag,flagged,,,,,
question,1d81d4a0-ccf8-4683-8382-4076e12fe8e4,2017,557,Underline the major considerations of the British imperial power that led to the annexation of Punjab.,no_primary_tag,flagged,,,,,
question,1ceaa45b-7390-4453-8f22-3c612a637f46,2017,558,Trace the origin of the Ghadar movement and discuss its impact on the revolutionaries in India.,no_primary_tag,flagged,,,,,
question,88755693-4131-442b-9a25-fea3a72eb62a,2017,559,Explain why the efforts at finding solution to India's constitutional impasse failed during 1942- 1946.,no_primary_tag,flagged,,,,,
question,8577ef0d-ccbc-41ed-aeda-6663a31d244d,2017,560,Discuss the nature of peasant movements under the Kisan Sabhas during 1920-1940.,no_primary_tag,flagged,,,,,
question,4f2f70c9-ba8f-445d-817d-3b6b3130de92,2017,561,Discuss how the Satyagrahas of Gandhi removed the spell of fear among Indians and thus knocked off an important pillar of imperialism.,no_primary_tag,flagged,,,,,
question,a6ad9e5d-850a-4bbd-9682-91ba2327498c,2017,562,How far did the developments in science and technology in the post-Independence period put India on the path of modernity?,no_primary_tag,flagged,,,,,
