question_id,pyq_paper_id,year,question_number,stored_key_label,stored_key_text,upsc_key_label,upsc_key_text,solved_answer,solvable,current_correct_option_id,new_correct_option_id,applies,verdict,confidence,note
9914d3fe-4c7c-4faf-b7ce-6542cd5462e9,586d515e-2d3d-485d-a944-3983e4569e53,2023,1,d,Neither 1 nor 2,d,Neither 1 nor 2,not solvable: missing passage,no,48f7fcec-884c-4e92-81c3-3ad3d66a438e,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: missing passage; working: Question refers to a passage that is not in the stem.
b58d1d16-d4d3-41f1-9704-2d77d3818bcc,586d515e-2d3d-485d-a944-3983e4569e53,2023,2,c,Segregation of municipal solid waste is the first step in ensuring the success of waste-to-energy plants.,c,Segregation of municipal solid waste is the first step in ensuring the success of waste-to-energy plants.,not solvable: missing passage,no,7ac1a585-403b-40a2-98c5-2614c0a448bf,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: missing passage; working: Question refers to a passage that is not in the stem.
38721bc7-a427-4b73-8a75-e2a2ecf3ec48,586d515e-2d3d-485d-a944-3983e4569e53,2023,3,b,2 only,b,2 only,not solvable: missing passage,no,0790ee8c-16d7-4666-be31-19ebf4769122,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: missing passage; working: Question refers to a passage that is not in the stem.
5507ac9e-e1a5-469c-918d-d5b98e317f59,586d515e-2d3d-485d-a944-3983e4569e53,2023,4,c,"In India, farmers need to be guided and helped to make their organic farming sustainable.",c,"In India, farmers need to be guided and helped to make their organic farming sustainable.",not solvable: missing passage,no,7c4e3a16-f520-4fa6-a9dc-9079f6238a1c,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: missing passage; working: Question refers to a passage that is not in the stem.
758ad0cd-4a83-40b3-87b8-0f7e95b3d073,586d515e-2d3d-485d-a944-3983e4569e53,2023,5,b,2 and 3 only,b,2 and 3 only,not solvable: missing passage,no,1c28671e-5809-4b6c-9db3-6ca093f3edc5,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: missing passage; working: Question refers to a passage that is not in the stem.
9f6a6d66-23aa-4806-a053-928db230d7fc,586d515e-2d3d-485d-a944-3983e4569e53,2023,6,c,Both 1 and 2,c,Both 1 and 2,Both 1 and 2,yes,8d4f6624-01d3-4427-9221-0d32d11400e2,,no,MATCH,high,"working: Stmt1: 13+19+25+27+37+53=174, +1=175 true. Stmt2: all except black 20+26+28+38+54=166, +1=167 true."
4f0d9653-6dca-4eb3-955f-4e7c193542fa,586d515e-2d3d-485d-a944-3983e4569e53,2023,7,d,SODBHU,d,SODBHU,SODBHU,yes,6f66dba5-d7f4-467b-841c-64f2af802598,,no,MATCH,high,"working: Each letter +3: Z->C,E->H,R->U,O->R; PLAYER -> SODBHU."
74a46c34-8a4d-49b8-8a9f-3041885bbda5,586d515e-2d3d-485d-a944-3983e4569e53,2023,8,d,All five,d,All five,All five,yes,d0c6da63-3aa1-47d3-b8f6-946049c0f3cf,,no,MATCH,high,"working: Chain C=D>F>A>B, E youngest; each statement needed to exclude someone from being oldest (1 excludes B, 3 excludes E, 2 ties C,D, 4 puts D above F, 5 puts F above A). All five."
2ef082f0-61e0-4949-8388-d56ba154b052,586d515e-2d3d-485d-a944-3983e4569e53,2023,9,c,All four statement together are sufficient to answer the Question.,c,All four statement together are sufficient to answer the Question.,All four statement together are sufficient to answer the Question.,yes,8f4355de-41a3-474d-92e4-eaed782bfe68,,no,MATCH,high,"working: 2+4: A is D's daughter (sister of C); 3: E is D's son so E is A's brother; 1: B is A's spouse -> E is B's brother-in-law. Needs all four (without 2, D not linked to A/C). Assumes A and C are full sisters."
1fd58c72-2cb6-4483-a2e3-1642018897d0,586d515e-2d3d-485d-a944-3983e4569e53,2023,10,d,"83, 89, 91, 97",d,"83, 89, 91, 97","83, 89, 91, 97",yes,cd5c6d58-b1b4-4ac0-a967-dc1581e66208,,no,MATCH,high,"working: All numbers in a,b,c are prime; group d contains 91=7x13 (composite)."
c1516fcc-ab83-48e3-82c6-3757c87ca7d7,586d515e-2d3d-485d-a944-3983e4569e53,2023,11,b,Knee-jerk reactions cannot but an evidence-based approach will be more effective.,b,Knee-jerk reactions cannot but an evidence-based approach will be more effective.,not solvable: missing passage,no,7924e9a7-6d02-4a11-bbb7-d9b02924624f,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: missing passage; working: Question refers to a passage that is not in the stem.
4848d708-0fb3-46b1-8502-f4cfdb13a8a5,586d515e-2d3d-485d-a944-3983e4569e53,2023,12,b,Good corporate governance improves the credibility of the firms.,b,Good corporate governance improves the credibility of the firms.,not solvable: missing passage,no,207a713d-1d2d-4e34-981a-ab5e079c6864,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: missing passage; working: Question refers to a passage that is not in the stem.
38eaa9c7-0212-4ffd-9723-45879e2c1f28,586d515e-2d3d-485d-a944-3983e4569e53,2023,13,b,Elephants are the keystone species and they benefit the biodiversity.,b,Elephants are the keystone species and they benefit the biodiversity.,not solvable: missing passage,no,4d0378f1-a955-449c-82d2-73bd7b1d4fe0,,no,MATCH,medium,stored key equals UPSC key by letter; not independently solvable; stem: missing passage; working: Question refers to a passage that is not in the stem.
2c4e3802-2a48-4a19-b509-234613200048,586d515e-2d3d-485d-a944-3983e4569e53,2023,14,a,6,a,6,6,yes,44113890-bd26-47e9-afad-13c3743ce787,,no,MATCH,high,"stem: operator symbol garbled (U+F0C5 private-use glyph); working: Rule: sum of digits of (a+b+c): 26->8, 50->5, 49->13 (4+9); 23+4+15=42 -> 6. Operator glyph is a private-use char (U+F0C5, likely a circled operator) but rule is recoverable from examples."
88f1b3ce-d874-4bb8-b400-ee49b0079230,586d515e-2d3d-485d-a944-3983e4569e53,2023,15,c,12,c,12,12,yes,b6e92e55-4273-447a-bbce-bdcd69d60bc4,,no,MATCH,high,working: x | 7x+96 iff x | 96 = 2^5*3 -> 6*2=12 divisors.
b5343502-0159-477b-8079-c768688b00d4,586d515e-2d3d-485d-a944-3983e4569e53,2023,16,b,225,b,225,225,yes,f0e0708b-7067-4aea-965f-1e892125dbc2,,no,MATCH,high,"working: Use 9,8,7,6: sum 30 split 15+15 (9+6, 8+7) -> 225."
