"paper_code","paper_id","year","subjects","questions","created_at"
"UPSC-CSE-MAINS-OPT-2011","6be53fba-a1e7-4468-a666-74499a5a1b07","2011","1","39","2026-09-10T01:47:43"
"UPSC-CSE-MAINS-OPT-2012","ece5a1f2-f975-4d6b-8810-c287aeb81b58","2012","1","53","2026-09-10T01:47:43"
"UPSC-CSE-MAINS-OPT-2013","4daa4cb6-1614-4c06-b0e3-a541cfe36e70","2013","4","224","2026-09-10T01:47:44"
"UPSC-CSE-MAINS-OPT-2014","260cca98-4798-469a-befb-e0c31d35dbb1","2014","4","225","2026-09-10T01:47:44"
"UPSC-CSE-MAINS-OPT-2015","dbc38888-32c5-4270-a964-866f8b7935a6","2015","4","224","2026-09-10T01:47:45"
"UPSC-CSE-MAINS-OPT-2016","45f9abd8-85e8-4865-8f95-a69f0e26d610","2016","4","222","2026-09-10T01:47:46"
"UPSC-CSE-MAINS-OPT-2017","8d8dbb7b-10bb-4faa-841f-e00bcd1c7872","2017","5","292","2026-09-10T01:47:46"
"UPSC-CSE-MAINS-OPT-2018","2d627c9c-ed12-442a-b7ee-2cab135a850d","2018","5","270","2026-09-10T01:47:47"
"UPSC-CSE-MAINS-OPT-2019","f854dbb1-634e-490a-9f68-a4ca1272728f","2019","5","295","2026-09-10T01:47:47"
"UPSC-CSE-MAINS-OPT-2020","4ab15f67-94dd-49c6-844c-5b87bca9100b","2020","6","359","2026-09-10T01:47:48"
"UPSC-CSE-MAINS-OPT-2021","9a69289b-632c-44bb-84b7-c7bf0720d319","2021","6","348","2026-09-10T01:47:48"
"UPSC-CSE-MAINS-OPT-2022","8038add2-54de-4588-92b2-4fd3a61e6f13","2022","6","351","2026-09-10T01:47:49"
"UPSC-CSE-MAINS-OPT-2023","35e1d647-48b8-42d3-9571-7046a5b1f0af","2023","6","347","2026-09-10T01:47:49"
"UPSC-CSE-MAINS-OPT-2024","257f0674-03cd-478f-a52f-895cbd918c4e","2024","6","350","2026-09-10T01:47:50"
"UPSC-CSE-MAINS-OPT-2025","7d2173b6-7902-4298-979e-254957e92ba3","2025","6","360","2026-09-10T01:47:51"
"UPSC-CSE-MAINS-OPT-2026","dc89a70d-cd87-4f2a-8b80-87b51e5d7981","2026","1","56","2026-09-10T01:47:51"
