id,subject,microtopic,level,factcheck_verdict,verify_fact,stem_excerpt,keyed_answer,ref,sample,reviewer,decision,fix_note,minutes_spent
ACTP-061,financial-sector-acts,Factoring Act — penalties,L3,wrong_key,Y,A factor defaults in filing assignment particulars under s.19; the default continues for 32 days. Which option correctly states the maximum sanction and who im…,"D. Fine up to ₹1.60 lakh, imposed by a court on the company and its officers in default","Factoring Regulation Act, 2011, s.21 (contrast s.22)",,,,,
ACTP-065,financial-sector-acts,"Factoring Act — assignment, notice and rights of the factor",L4,fix_needed,Y,"[case ACTP-CASE-KAVERI] Narmada pays the ₹35.00 lakh due exactly 3 months after the appointed day under the MSMED Act. Taking the RBI bank rate as 6.75% (given), which statement about…","C. Sutlej recovers ₹1,80,194 and must pay it over to Kaveri","Factoring Regulation Act, 2011, s.14(2); MSMED Act 2006, s.16",,,,,
ACTP-066,financial-sector-acts,Factoring Act — registration of assignments with CERSAI and TReDS,L4,wrong_key,Y,"[case ACTP-CASE-KAVERI] Sutlej fails to register the particulars of the assignment with the Central Registry within the prescribed time, and the default continues for 15 days. Which s…","B. Sutlej and its defaulting officers face a court fine up to ₹75,000","Factoring Regulation Act, 2011, s.19, s.21",,,,,
ACTP-001,financial-sector-acts,"PSS Act — authorisation, revocation and appeal (s.4–s.9, s.34)",L1,confirmed,Y,"Under s.4(1) of the Payment and Settlement Systems Act, 2007, a person other than the Reserve Bank may commence or operate a payment system only:",A. Under and in accordance with an authorisation issued by the RBI,"Payment and Settlement Systems Act, 2007, s.4",Y,,,,
ACTP-025,financial-sector-acts,CICRA — registration and minimum capital of credit information companies,L1,confirmed,Y,"Under s.3 of the Credit Information Companies (Regulation) Act, 2005, no company shall commence or carry on the business of credit information without a certif…",D. The Reserve Bank of India,"Credit Information Companies (Regulation) Act, 2005, s.3",Y,,,,
ACTP-026,financial-sector-acts,"CICRA — credit institutions, membership and specified users",L1,confirmed,Y,"Under s.15(2) of CICRA, a credit institution that comes into existence after the commencement of the Act must, unless the RBI extends the time, become a member…",C. At least one credit information company within three months,"Credit Information Companies (Regulation) Act, 2005, s.15",Y,,,,
ACTP-054,financial-sector-acts,"Factoring Act — assignment, notice and rights of the factor",L2,confirmed,Y,"A debtor owes ₹18.00 lakh on an invoice assigned to a factor. After receiving a valid notice of assignment, the debtor pays ₹7.00 lakh to the assignor and ₹11.…",C. ₹7.00 lakh,"Factoring Regulation Act, 2011, s.9, s.12",Y,,,,
ACTP-057,financial-sector-acts,"Factoring Act — factoring business, assignor, debtor and receivables",L3,confirmed,Y,"Consider the following under s.2 of the Factoring Regulation Act, 2011 (as amended): 1. A 'factor' may be an NBFC holding a certificate under s.3, a bank, a st…",A. 1 and 2 only,"Factoring Regulation Act, 2011, s.2",Y,,,,
ACTP-069,financial-sector-acts,"NI Act — holder, holder in due course and negotiation",L1,confirmed,Y,"Under s.9 of the NI Act, a 'holder in due course' is one who became the holder:","A. For value, before maturity, without cause to suspect defect","Negotiable Instruments Act, 1881, s.9",Y,,,,
ACTP-077,financial-sector-acts,"NI Act — holder, holder in due course and negotiation",L2,confirmed,Y,"Prakash obtains a promissory note from its maker by fraud and endorses it for value to Qadir, who takes it in good faith before maturity. Qadir later gifts the…","D. Can recover, as she has Qadir's rights as HIDC","Negotiable Instruments Act, 1881, s.53",Y,,,,
