id,subject,microtopic,level,factcheck_verdict,verify_fact,stem_excerpt,keyed_answer,ref,sample,reviewer,decision,fix_note,minutes_spent
FINC-074,finance,Income-tax — assessment and rectification,L2,fix_needed,Y,"Under the Income-tax Act, 2025, compute the tax payable for tax year 2026-27 by Mr Devansh, a resident individual under the new regime whose only income is a s…","C. ₹1,61,200","Income-tax Act, 2025 (w.e.f. 1 April 2026) — verify against official text",,,,,
FINC-075,finance,Income-tax — assessment and rectification,L3,fix_needed,Y,"Under the Income-tax Act, 2025, two resident salaried individuals opt for the new regime for tax year 2026-27: Ms Esha (salary ₹12,60,000) and Mr Farhan (salar…","C. Nil and ₹15,600","Income-tax Act, 2025 (w.e.f. 1 April 2026) — verify against official text (rebate with marginal relief, s.156)",,,,,
FINC-072,finance,Income-tax — assessment and rectification,L2,confirmed,Y,"Under the Income-tax Act, 2025, how are the following two periods of Ms Anika's salary income correctly labelled? (i) 1 April 2024 – 31 March 2025, assessed un…",A. (i) Assessment year 2025-26; (ii) tax year 2026-27,"Income-tax Act, 2025 (w.e.f. 1 April 2026) — verify against official text",Y,,,,
FINC-001,finance,"Cost of capital — debt, preference and equity",L1,not_flagged,N,"In computing the specific cost of each source of finance, the cost of debentures is taken net of tax while the cost of preference shares is not. The reason is…",A. Interest is a tax-deductible expense; preference dividend is an appropriation of profit,Standard ICAI/ICMAI Financial Management pattern. Original figures and entities; no text reproduced.,,,,,
FINC-002,finance,"Cost of capital — debt, preference and equity",L1,not_flagged,N,"A company finances part of its expansion from retained earnings. Ignoring shareholders' personal taxes, the cost of retained earnings is best taken as:","C. Equal to the cost of equity, with no adjustment for flotation cost",Standard ICAI/ICMAI Financial Management pattern. Original figures and entities; no text reproduced.,,,,,
FINC-003,finance,"Cost of capital — debt, preference and equity",L2,not_flagged,N,Vedant Textiles Ltd issues 10% irredeemable debentures of face value ₹100 at the current market price of ₹94. Flotation cost is 2% of the issue price and the t…,D. 8.14%,Standard ICAI/ICMAI Financial Management pattern. Original figures and entities; no text reproduced.,,,,,
FINC-004,finance,"Cost of capital — debt, preference and equity",L2,not_flagged,N,The equity shares of Sarthak Pharma Ltd trade at ₹120. The dividend just paid is ₹6.00 per share and dividends are expected to grow at 8% a year indefinitely.…,B. 13.625%,Standard ICAI/ICMAI Financial Management pattern. Original figures and entities; no text reproduced.,,,,,
FINC-005,finance,"Cost of capital — debt, preference and equity",L3,not_flagged,N,"Kaveri Cables Ltd issues redeemable debentures on the following terms: | Particulars | Data | |---|---:| | Face value | ₹1,000 | | Coupon | 11% | | Issue price…",D. 8.95%,Standard ICAI/ICMAI Financial Management pattern. Original figures and entities; no text reproduced.,,,,,
FINC-006,finance,"Cost of capital — debt, preference and equity",L3,not_flagged,N,Anvaya Chemicals Ltd issues 9% preference shares of ₹100 each at par. Flotation cost is 3% of the issue price and the shares are redeemable at a premium of 10%…,B. 9.95%,Standard ICAI/ICMAI Financial Management pattern. Original figures and entities; no text reproduced.,,,,,
FINC-007,finance,"Cost of capital — debt, preference and equity",L3,not_flagged,N,"Nirmal Agro Ltd has just reported EPS of ₹20. It retains 60% of earnings and earns a return of 15% on equity, which is expected to continue. The share trades a…",B. 14.81%,Standard ICAI/ICMAI Financial Management pattern. Original figures and entities; no text reproduced.,,,,,
FINC-008,finance,Weighted average and marginal cost of capital,L1,not_flagged,N,"A firm plans to raise new capital in a fixed target mix. In constructing its marginal cost of capital schedule, a break point occurs at a total new financing e…",C. The amount of the cheaper tranche of a source ÷ that source's weight,Standard ICAI/ICMAI Financial Management pattern. Original figures and entities; no text reproduced.,,,,,
FINC-009,finance,Weighted average and marginal cost of capital,L2,not_flagged,N,Ishaan Motors Ltd uses the following target capital structure. Its tax rate is 30%. | Source | Target weight | Cost | |---|---:|---:| | Equity | 60% | 16% | |…,A. 13.22%,Standard ICAI/ICMAI Financial Management pattern. Original figures and entities; no text reproduced.,,,,,
FINC-010,finance,Weighted average and marginal cost of capital,L2,not_flagged,N,Extract from the books of Tarang Electricals Ltd: | Source | Book value (₹ lakh) | Market data | Cost | |---|---:|---:|---:| | Equity shares (₹10 each) | 50 |…,B. 14.02%,Standard ICAI/ICMAI Financial Management pattern. Original figures and entities; no text reproduced.,,,,,
FINC-011,finance,Weighted average and marginal cost of capital,L3,not_flagged,N,"Ojas Ceramics Ltd raises new funds in the ratio debt 40 : equity 60. Retained earnings of ₹18 lakh are available at a cost of 15%; beyond that, new equity cost…",D. 12.36%,Standard ICAI/ICMAI Financial Management pattern. Original figures and entities; no text reproduced.,,,,,
FINC-012,finance,Weighted average and marginal cost of capital,L3,not_flagged,N,Capital of Lohit Paper Ltd: | Source | Book value (₹ lakh) | Market price | |---|---:|---:| | Equity shares of ₹10 each | 100 | ₹50 per share | | 10% irredeema…,C. 13.56%,Standard ICAI/ICMAI Financial Management pattern. Original figures and entities; no text reproduced.,,,,,
FINC-013,finance,"CAPM, beta and the security market line",L1,not_flagged,N,"In the Capital Asset Pricing Model, the beta of a security measures:",B. Its systematic risk — sensitivity of its return to market returns,Standard ICAI/ICMAI Financial Management pattern. Original figures and entities; no text reproduced.,,,,,
FINC-014,finance,"CAPM, beta and the security market line",L1,not_flagged,N,Consider the following statements: 1. The security market line relates expected return to beta and applies to individual securities as well as portfolios. 2. T…,B. 1 and 2 only,Standard ICAI/ICMAI Financial Management pattern. Original figures and entities; no text reproduced.,,,,,
FINC-015,finance,"CAPM, beta and the security market line",L2,not_flagged,N,The covariance between the returns of Pranav Steel Ltd and the market index is 0.0216. The standard deviation of the market return is 15% and that of Pranav St…,C. 12.28%,Standard ICAI/ICMAI Financial Management pattern. Original figures and entities; no text reproduced.,,,,,
FINC-016,finance,"CAPM, beta and the security market line",L2,not_flagged,N,"An investor holds the following portfolio: | Stock | Shares held | Price (₹) | Beta | |---|---:|---:|---:| | A | 2,000 | 200 | 1.4 | | B | 5,000 | 70 | 0.8 | |…",C. 12.69%,Standard ICAI/ICMAI Financial Management pattern. Original figures and entities; no text reproduced.,,,,,
FINC-017,finance,"CAPM, beta and the security market line",L3,not_flagged,N,The risk-free rate is 6% and the expected market return 13%. | Stock | Beta | Analyst's expected return | |---|---:|---:| | P | 1.2 | 15.0% | | Q | 0.8 | 11.2%…,A. P and S,Standard ICAI/ICMAI Financial Management pattern. Original figures and entities; no text reproduced.,,,,,
FINC-018,finance,"CAPM, beta and the security market line",L3,not_flagged,N,Returns over five years: | Year | Market return (%) | Return on Hemant Ltd (%) | |---|---:|---:| | 1 | 10 | 15 | | 2 | 6 | 4 | | 3 | -2 | 1 | | 4 | 14 | 18 | |…,D. 0.97,Standard ICAI/ICMAI Financial Management pattern. Original figures and entities; no text reproduced.,,,,,
FINC-019,finance,Capital budgeting — payback and discounted payback,L1,not_flagged,N,Consider the following statements about payback methods: 1. The simple payback period ignores the time value of money. 2. For a conventional project with a pos…,A. 1 and 2 only,Standard ICAI/ICMAI Financial Management pattern. Original figures and entities; no text reproduced.,,,,,
