year,paper_id,question_number,microtopic,topic_id,stem
2023,586d515e-2d3d-485d-a944-3983e4569e53,1,Statement and assumption,fc3e9289-0478-4a6c-a0e8-1f6f3f79f82a,"Based on the above passage, the following assumptions have b"
2023,586d515e-2d3d-485d-a944-3983e4569e53,2,Main idea and central theme,baf763bb-6d36-4a25-b1ba-6419e3b26852,Which one of the following statements best reflects the crux
2023,586d515e-2d3d-485d-a944-3983e4569e53,3,Statement and assumption,fc3e9289-0478-4a6c-a0e8-1f6f3f79f82a,"Based on the above passage, the following assumptions have b"
2023,586d515e-2d3d-485d-a944-3983e4569e53,4,"Author tone, attitude and purpose",ebdd3a2a-f038-4775-9684-647b6cbbdcbb,Which one of the following statements best reflects the most
2023,586d515e-2d3d-485d-a944-3983e4569e53,5,Statement and assumption,fc3e9289-0478-4a6c-a0e8-1f6f3f79f82a,"Based on the above passage, the following assumptions have b"
2023,586d515e-2d3d-485d-a944-3983e4569e53,6,"Permutations, combinations and counting",de0e24eb-5c25-4e0f-8eeb-325b8732f9cc,"A box contains 14 black balls, 20 blue balls, 26 green balls"
2023,586d515e-2d3d-485d-a944-3983e4569e53,7,Letter shifting and alphabet position,2ba3fb21-1709-4d8b-9059-bbfee5264d8f,"If 'ZERO' is written as 'CHUR', then how is 'PLAYER' written"
2023,586d515e-2d3d-485d-a944-3983e4569e53,8,"Ages — present, past and future",cd574056-f811-4f7b-8fdd-a4e37d0c9772,Consider the following statements: 1. A is older than B. 2. 
2023,586d515e-2d3d-485d-a944-3983e4569e53,9,Family tree puzzle with generations,652eb8c7-a25a-48c1-b51d-ddf64f8ede1b,Consider the following including the Question and the Statem
2023,586d515e-2d3d-485d-a944-3983e4569e53,10,Odd one out from a list,ebb5aad8-4088-4f4f-b2a9-0506b1a55072,Choose the group which is different from the others:
2023,586d515e-2d3d-485d-a944-3983e4569e53,11,Explicit detail retrieval,342ec4bb-5625-4398-9b44-2963d65062a4,Which one of the following statements best reflects the most
2023,586d515e-2d3d-485d-a944-3983e4569e53,12,Inference and implied meaning,420312ba-2e38-4e16-a836-7e6764a05535,Which of the following statements best reflects the logical 
2023,586d515e-2d3d-485d-a944-3983e4569e53,13,Inference and implied meaning,420312ba-2e38-4e16-a836-7e6764a05535,Which one of the following statements best reflects the most
2023,586d515e-2d3d-485d-a944-3983e4569e53,14,Linear equations in one and two variables,5194061c-a0ed-423e-aa9d-b3c774115dc8,"If 7  9  10 = 8, 9  11  30 = 5, 11  17  21 = 13, what "
2023,586d515e-2d3d-485d-a944-3983e4569e53,15,"LCM, HCF and divisibility",14c51cd0-d60f-42bb-a584-89639d2306fa,Let x be a positive integer such that 7x + 96 is divisible b
2023,586d515e-2d3d-485d-a944-3983e4569e53,16,Linear equations in one and two variables,5194061c-a0ed-423e-aa9d-b3c774115dc8,"If p, q, r and s are distinct single digit positive numbers,"
2023,586d515e-2d3d-485d-a944-3983e4569e53,17,"LCM, HCF and divisibility",14c51cd0-d60f-42bb-a584-89639d2306fa,A number N is formed by writing 9 for 99 times. What is the 
2023,586d515e-2d3d-485d-a944-3983e4569e53,18,"LCM, HCF and divisibility",14c51cd0-d60f-42bb-a584-89639d2306fa,Each digit of a 9-digit number is 1. It is multiplied by its
2023,586d515e-2d3d-485d-a944-3983e4569e53,19,"LCM, HCF and divisibility",14c51cd0-d60f-42bb-a584-89639d2306fa,What is the sum of all digits which appear in all the intege
2023,586d515e-2d3d-485d-a944-3983e4569e53,20,"Area and perimeter — rectangle, square, triangle",424d99d5-720f-409e-ba66-8660ac95a486,ABCD is a square. One point on each of AB and CD; and two di
2023,586d515e-2d3d-485d-a944-3983e4569e53,21,Main idea and central theme,baf763bb-6d36-4a25-b1ba-6419e3b26852,Which one of the following statements best reflects the cruc
2023,586d515e-2d3d-485d-a944-3983e4569e53,22,Statement and assumption,fc3e9289-0478-4a6c-a0e8-1f6f3f79f82a,Which one of the following statements best implies the most 
2023,586d515e-2d3d-485d-a944-3983e4569e53,23,Main idea and central theme,baf763bb-6d36-4a25-b1ba-6419e3b26852,Which one of the following statements best reflects the crux
2023,586d515e-2d3d-485d-a944-3983e4569e53,24,Sets of consecutive and patterned numbers,16630438-beb1-473f-b251-baccce8cd86a,"Three of the five positive integers p, q, r, s, t are even a"
2023,586d515e-2d3d-485d-a944-3983e4569e53,25,"LCM, HCF and divisibility",14c51cd0-d60f-42bb-a584-89639d2306fa,Consider the following in respect of prime number p and comp
2023,586d515e-2d3d-485d-a944-3983e4569e53,26,"LCM, HCF and divisibility",14c51cd0-d60f-42bb-a584-89639d2306fa,"A 3-digit number ABC, on multiplication with D gives 37DD wh"
2023,586d515e-2d3d-485d-a944-3983e4569e53,27,"LCM, HCF and divisibility",14c51cd0-d60f-42bb-a584-89639d2306fa,"For any choices of values of X, Y and Z, the 6 digit number "
2023,586d515e-2d3d-485d-a944-3983e4569e53,28,"Area and perimeter — rectangle, square, triangle",424d99d5-720f-409e-ba66-8660ac95a486,125 identical cubes are arranged in the form of cubical bloc
2023,586d515e-2d3d-485d-a944-3983e4569e53,29,"LCM, HCF and divisibility",14c51cd0-d60f-42bb-a584-89639d2306fa,How many distinct 8-digit numbers can be formed by rearrangi
2023,586d515e-2d3d-485d-a944-3983e4569e53,30,Individual and combined work rates,9da6f0b1-57ff-4a8b-a0e7-40f85cee7b22,"A, B, C working independently can do a piece of work in 8, 1"
2023,586d515e-2d3d-485d-a944-3983e4569e53,31,Explicit detail retrieval,342ec4bb-5625-4398-9b44-2963d65062a4,Which one of the following statements best reflects the most
2023,586d515e-2d3d-485d-a944-3983e4569e53,32,Inference and implied meaning,420312ba-2e38-4e16-a836-7e6764a05535,Which one the following statements best reflects what is imp
2023,586d515e-2d3d-485d-a944-3983e4569e53,33,Main idea and central theme,baf763bb-6d36-4a25-b1ba-6419e3b26852,Which one of the following statements best reflects the most
2023,586d515e-2d3d-485d-a944-3983e4569e53,34,"Permutations, combinations and counting",de0e24eb-5c25-4e0f-8eeb-325b8732f9cc,"Raj has ten pairs of red, nine pairs of white and eight pair"
2023,586d515e-2d3d-485d-a944-3983e4569e53,35,Number series — arithmetic and difference patterns,b0e8a0b7-df35-4f9e-9bdb-dfa6558e2b7a,In how many ways can a batsman score exactly 25 runs by scor
2023,586d515e-2d3d-485d-a944-3983e4569e53,36,"Permutations, combinations and counting",de0e24eb-5c25-4e0f-8eeb-325b8732f9cc,There are four letters and four envelopes and exactly one le
2023,586d515e-2d3d-485d-a944-3983e4569e53,37,"LCM, HCF and divisibility",14c51cd0-d60f-42bb-a584-89639d2306fa,What is the remainder when 85 × 87 × 89 × 91 × 95 × 96 is di
2023,586d515e-2d3d-485d-a944-3983e4569e53,38,"LCM, HCF and divisibility",14c51cd0-d60f-42bb-a584-89639d2306fa,What is the unit digit in the expansion of (57242)9×7×5×3×1 
2023,586d515e-2d3d-485d-a944-3983e4569e53,39,"LCM, HCF and divisibility",14c51cd0-d60f-42bb-a584-89639d2306fa,"If ABC and DEF are both 3-digit numbers such that A, B, C, D"
2023,586d515e-2d3d-485d-a944-3983e4569e53,40,"LCM, HCF and divisibility",14c51cd0-d60f-42bb-a584-89639d2306fa,D is a 3-digit number such that the ratio of the number to t
2023,586d515e-2d3d-485d-a944-3983e4569e53,41,"Author tone, attitude and purpose",ebdd3a2a-f038-4775-9684-647b6cbbdcbb,Which one of the following statements most likely reflects a
2023,586d515e-2d3d-485d-a944-3983e4569e53,42,Explicit detail retrieval,342ec4bb-5625-4398-9b44-2963d65062a4,Which one of the following statements best reflects the most
2023,586d515e-2d3d-485d-a944-3983e4569e53,43,Explicit detail retrieval,342ec4bb-5625-4398-9b44-2963d65062a4,"Based on the above passage, which one of the following terms"
