slug	exams	name	topic
reas-direct-coded-inequality-4e115de6		Direct coded inequality	Inequalities
reas-either-or-conclusions-in-inequality-0a9ae6c4		Either-or conclusions in inequality	Inequalities
reas-multi-chain-inequality-with-linked-variables-26ae9265		Multi-chain inequality with linked variables	Inequalities
reas-symbol-substitution-inequality-92327ea2		Symbol-substitution inequality	Inequalities
reas-box-and-stack-puzzle-60988bfb		Box and stack puzzle	Puzzles
reas-category-and-attribute-matching-puzzle-e5f2f3ac		Category and attribute matching puzzle	Puzzles
reas-clock-time-scheduling-puzzle-6b2a94df		Clock-time scheduling puzzle	Puzzles
reas-data-sufficiency-with-numbered-statements-cb6e8f2a		Data sufficiency with numbered statements	Puzzles
reas-day-and-week-scheduling-puzzle-076b2549		Day and week scheduling puzzle	Puzzles
reas-floor-and-flat-double-variable-puzzle-fd87d2ea		Floor and flat double-variable puzzle	Puzzles
reas-floor-puzzle-1df93898		Floor puzzle	Puzzles
reas-month-and-date-scheduling-puzzle-3404d95a		Month and date scheduling puzzle	Puzzles
reas-odd-one-out-within-an-arrangement-8a59afe3		Odd-one-out within an arrangement	Puzzles
reas-circular-arrangement-facing-centre-49054cf2		Circular arrangement — facing centre	Seating Arrangement
reas-circular-arrangement-mixed-facing-5596b070		Circular arrangement — mixed facing	Seating Arrangement
reas-linear-row-facing-both-directions-08c55ceb		Linear row — facing both directions	Seating Arrangement
reas-linear-row-single-row-one-direction-3c93ae0f		Linear row — single row, one direction	Seating Arrangement
reas-row-with-unknown-number-of-persons-cb13e578		Row with unknown number of persons	Seating Arrangement
reas-square-and-rectangular-arrangement-18e7b720		Square and rectangular arrangement	Seating Arrangement
reas-either-or-and-complementary-pairs-52508ad3		Either-or and complementary pairs	Syllogism
reas-only-and-only-a-few-statements-d42e0ef7		Only and only-a-few statements	Syllogism
reas-possibility-conclusions-b7cd9da3		Possibility conclusions	Syllogism
reas-three-or-more-statement-syllogism-e8800438		Three or more statement syllogism	Syllogism
reas-two-statement-syllogism-7f65e035		Two-statement syllogism	Syllogism
