question_id,year,question_number,question_text_excerpt,combined_verdict,peryear_verdict,combined_reason,peryear_reason,recommended_verdict,justification
06a71546-9158-4fe8-bc64-b5a1f84f9ce4,2023,1,"India’s BSR system needs to be robust, timely, comprehensive and open to change, stated Michael Patra, deputy governor of Reserve Bank of India (RBI). The BSR C",PERISHABLE,DURABLE,BSR anniversary year count tied to October 2022,BSR code structure and its fixed 50-year anniversary count; answer does not change,PERISHABLE,"Asks the age of BSR ""in October 2022"" - an as-of count that changes every year; the code structure in the stem is context, not the question."
ed85a17d-941f-426c-b997-fbda496d4843,2023,27,"In June 2023, a financial inclusion dashboard named ‘Antardrishti’ was launched. The dashboard, as its name suggests, provides the necessary knowledge to evalua",DURABLE,PERISHABLE,Organisation that launched the Antardrishti financial-inclusion dashboard,Launch of the Antardrishti dashboard; product launch,PERISHABLE,Stem anchors on a June 2023 launch; boundary rule: a durable subject with a dated instance is perishable.
206667d0-5750-4ee4-ae1b-80e027ebd0de,2024,7,Which initiative has been launched by the Deendayal Antyodaya Yojana–National Rural Livelihoods Mission (DAY-NRLM) to empower individuals across India with syst,DURABLE,PERISHABLE,DAY-NRLM systems-design initiative; scheme identity,DAY-NRLM initiative launch; product launch,PERISHABLE,"Asks the name of a newly launched DAY-NRLM initiative - launch news, not scheme design."
d37da05c-2330-413d-aad0-cb8457ad536c,2024,16,"India has been included in the JP Morgan Global Bond Index - Emerging Markets. The inclusion process started on June 28, 2024, with a gradual increase in India’",DURABLE,PERISHABLE,Maximum weight cap for Indian government bonds in the index,Index weight cap reached by a stated date; dated inclusion schedule,PERISHABLE,"Index weight to be reached ""by March 31, 2025"" - a dated schedule figure."
c2377279-c3a4-4bce-9fac-ad9fe5bce7e8,2024,75,"In a significant development within the banking sector, the Reserve Bank of India (RBI) has approved a merger that will reshape the landscape of small finance b",DURABLE,PERISHABLE,Banks involved in a completed small finance bank merger,Banks involved in a dated merger approval; corporate event,PERISHABLE,"A specific merger effective April 1, 2024 - dated corporate event."
b7108e45-936d-4893-870f-624e6e2bef72,2025,1,"According to the Economic Survey, which of the following crop-leading producing state pairs is correctly matched?",DURABLE,PERISHABLE,Leading producer states for named crops,Economic Survey crop-state pairing; per-edition data,PERISHABLE,"""According to the Economic Survey"" - producer-state ranking is a per-edition datum that can shift."
0187dc2a-c63d-43db-87d5-19149ae39a53,2025,65,"Recently, India’s first bamboo-based ethanol plant was inaugurated by PM Modi. Where is the plant established?",DURABLE,PERISHABLE,Location of India's first bamboo-based ethanol plant,Location of a newly inaugurated plant; dated event,PERISHABLE,"""Recently ... inaugurated"" - dated event; location is event news."
00ac2d8f-3e72-4b55-b0e9-f0611b410010,2025,71,What is the name of the world’s first Tri-Service all-women circumnavigation sailing expedition flagged off by the Ministry of Defence?,DURABLE,PERISHABLE,Name of the tri-service all-women circumnavigation expedition,Name of a flagged-off expedition; dated event,PERISHABLE,Name of a flagged-off expedition - dated event.
e7dae8e3-af8f-461e-b9db-6259a422c869,2025,80,Which of the following sites are included in the UNESCO World Heritage List?,DURABLE,PERISHABLE,Sites on the UNESCO World Heritage List,Which sites are on the UNESCO list; list grows each session,DURABLE,"All three sites were inscribed decades ago; inscriptions are not removed, so the answer does not change as the list grows."
ef3abb4d-658b-48b1-af7e-d8f6b0bfd75d,2026,3,India signed a Comprehensive Economic Partnership Agreement (CEPA) in December 2025 with which of the following country?,DURABLE,PERISHABLE,Counterparty to the CEPA signed in December 2025,Counterparty to a CEPA signed in a stated month; dated agreement,PERISHABLE,"Stem names ""December 2025"" - dated agreement; boundary rule applies."
731f7ea2-af59-4434-963c-ec99b77bf40e,2026,24,Which of the following species is listed as Near Threatened in the International Union for Conservation of Nature (IUCN) Red List?,DURABLE,PERISHABLE,IUCN Red List category of a named species,IUCN Red List status of a species; reassessed periodically,PERISHABLE,IUCN categories are reassessed; Near Threatened is an as-of status.
b2e9bac9-ffee-4db3-b5cb-0737ec403527,2026,77,The report titled “Moving Towards Effective City Government – A Framework for Million-Plus Cities” is released by which of the following?,DURABLE,PERISHABLE,Body that released a named urban governance report,Publisher of a dated urban governance report; report edition,PERISHABLE,Publisher of a one-off dated report - per-edition datum (weak; defensible either way).
