row_type,row_id,paper_year,question_number_or_topic_id,text_preview,flags,sample_reason,decision,notes,assign_topic_id,difficulty
question,c06b9c2e-4dea-49bf-9706-e8d9e0f01250,2025,1,"With reference to investments, consider the following : I. Bonds II. Hedge Funds III. Stocks IV. Venture Capital How many of the above are t",,spot_check,verified,,,
question,e27a47e3-9a6d-4908-9322-55818fc32dc9,2025,2,Which of the following are the sources of income for the Reserve Bank of India? I. Buying and selling Government bonds II. Buying and sellin,,,verified,,,
question,e2e53aa0-b900-4d46-a8ce-5f788bd2dcf3,2025,3,"With reference to the Government of India, consider the following information : Organization | Some of its functions | It works under I. Dir",,,verified,,,
question,a036533e-d2e1-4ba0-9525-b33f368444e5,2025,4,Consider the following statements : I. The Reserve Bank of India mandates all the listed companies in India to submit a Business Responsibil,,,verified,,,
question,34af794a-31ee-4376-899c-a21b678e68e7,2025,5,"Consider the following statements : Statement I : In India, income from allied agricultural activities like poultry farming and wool rearing",,,verified,,,
question,abbc1f8a-4e7b-458a-b0b7-0e6eef587947,2025,6,Consider the following statements : I. India has joined the Minerals Security Partnership as a member. II. India is a resource-rich country ,,,verified,,,
question,99f84257-2380-4b44-9f76-e1fe19a51ff7,2025,7,"Consider the following statements : Statement I : As regards returns from an investment in a company, generally, bondholders are considered ",,,verified,,,
question,0b57ce1c-ff92-46f5-a9f4-21d53d7f1b49,2025,8,Consider the following statements : I. India accounts for a very large portion of all equity option contracts traded globally thus exhibitin,,,verified,,,
question,d4f4723b-db36-4d90-9f37-038a3505ca41,2025,9,Consider the following statements : Statement I : Circular economy reduces the emissions of greenhouse gases. Statement II : Circular econom,,,verified,,,
question,711acf80-bd28-4098-bc55-243e6f909aa2,2025,10,Consider the following statements : I. Capital receipts create a liability or cause a reduction in the assets of the Government. II. Borrowi,,,verified,,,
question,36c043bc-2db2-40e4-9565-acffad78dbda,2025,11,Consider the following statements about Raja Ram Mohan Roy : I. He possessed great love and respect for the traditional philosophical system,,,verified,,,
question,716289de-7ba7-496d-bf28-cc954a331a66,2025,12,Consider the following subjects with regard to Non-Cooperation Programme : I. Boycott of law-courts and foreign cloth II. Observance of stri,,spot_check,verified,,,
question,36f7f5a9-9f45-459e-beee-483550e99b23,2025,13,The irrigation device called 'Araghatta' was,,,verified,,,
question,c180caa8-7a49-46ea-9889-008c088b14f9,2025,14,"Who among the following rulers in ancient India had assumed the titles 'Mattavilasa', 'Vichitrachitta' and 'Gunabhara'?",,,verified,,,
question,1010dc4a-1f0d-4b7b-85e3-ea4a49c85b22,2025,15,"Fa-hien (Faxian), the Chinese pilgrim, travelled to India during the reign of",,,verified,,,
question,23035544-53cc-4305-8e4e-6a9b7d7e9d91,2025,16,"Who among the following led a successful military campaign against the kingdom of Srivijaya, the powerful maritime State, which ruled the Ma",,,verified,,,
