year,question_number,option_label,option_id,question_id,option_text
2018,1,a,f42ce7a4-1b9e-4e4f-86eb-4c5f835267f6,b9a45a63-cef7-4af4-8341-3a8108f87bf1,4-1-2-3
2018,1,b,d0c8e087-d9fb-49ca-9e93-d55f7a728777,b9a45a63-cef7-4af4-8341-3a8108f87bf1,3-2-1-4
2018,1,c,c100fa45-0ed9-42bc-a297-c6c002a70dbe,b9a45a63-cef7-4af4-8341-3a8108f87bf1,4-2-1-3
2018,1,d,29b2ab53-70d3-4c20-bc68-2355cd538b73,b9a45a63-cef7-4af4-8341-3a8108f87bf1,3-1-2-4
2018,2,a,6846619b-ddca-4cc3-b91e-b29ac6582050,2b29bf87-3519-4ffd-b46d-5444e0e82b34,Article 14 and the provisions under the 42nd Amendment to the Constitution
2018,2,b,886179c3-b2d6-4150-bf25-2aa9049e8d4d,2b29bf87-3519-4ffd-b46d-5444e0e82b34,Article 17 and the Directive Principles of State Policy in part IV
2018,2,c,631a00a3-cd7f-40b5-b3d7-5c96c3d67c19,2b29bf87-3519-4ffd-b46d-5444e0e82b34,Article 21 and the freedoms guaranteed in Part III
2018,2,d,48e337e6-97d3-434b-b2c1-ae8d58e5faf3,2b29bf87-3519-4ffd-b46d-5444e0e82b34,Article 24 and the provisions under the 44th Amendment to the Constitution
2018,3,a,d12ba21c-46f8-4182-a43c-6ee36f4cb0fe,d3a91fe7-3b41-4ee0-b370-74c1586fb5ad,"1, 2, 3 and 7 only"
2018,3,b,6ccdebe9-e3a4-43ec-b4f0-2c233bcc3d9b,d3a91fe7-3b41-4ee0-b370-74c1586fb5ad,"2, 4, 5 and 6 only"
2018,3,c,441f9ea5-136f-4066-bda3-4aecadcc9c9e,d3a91fe7-3b41-4ee0-b370-74c1586fb5ad,"1, 3, 4, 5 and 6 only"
2018,3,d,17f16ec8-2ded-432f-bedb-5a546150437b,d3a91fe7-3b41-4ee0-b370-74c1586fb5ad,"1, 2, 3, 4, 5, 6 and 7"
2018,4,a,96bd24d1-2bba-47d5-b295-1a10bd3289e2,4da89ac1-c939-4938-bc31-bbc399b25efa,Arunachal Pradesh
