"question_id","question_number","section","assign_topic_id","proposed_topic_label","difficulty","decision","proposal_note"
"ad3f17d6-c21f-4481-a8c0-92f9eb2f23cc","2","General Intelligence and Reasoning","ebb5aad8-4088-4f4f-b2a9-0506b1a55072","Odd one out from a list","medium","","letter clusters"
"b7ccbc05-bdf8-4a94-a19b-bc399bc0ba5f","3","General Intelligence and Reasoning","2ba3fb21-1709-4d8b-9059-bbfee5264d8f","Letter shifting and alphabet position","medium","","shift coding"
"da336146-5d76-41e7-92f6-ce41a1056326","4","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","number-set relation"
"aec4608e-1c70-4a21-8d64-ba6d6c1353e9","5","General Intelligence and Reasoning","479587ab-2cef-4046-9da4-c0ca924e8ef6","Word formation from given letters","easy","","alphabetical reorder"
"1a4f3a17-c4dc-4425-a1d3-46ac7ca1efd2","7","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","number-pair operation"
"5c7b0bb9-5982-43ec-a730-698dcc2b21cf","8","General Intelligence and Reasoning","ba50fea4-a0f8-4254-9e5c-dbd2046eacdc","Alphanumeric and mixed series","medium","","letters plus numbers"
"22ec91df-a4ce-48cd-b29e-8accb78f939a","9","General Intelligence and Reasoning","7d5a08c1-a3ac-4337-8f3e-28b5762b1857","Alphabet series","medium","","fill blanks"
"2a70466d-4251-4451-9cc1-d4f2f4a85fc3","11","General Intelligence and Reasoning","","UNMAPPED - Venn diagram (GIR)","medium","","Venn counts; no Venn leaf in GIR catalogue"
"6a7f12b3-e70b-42f3-9867-2a285bc0e18f","12","General Intelligence and Reasoning","ebb5aad8-4088-4f4f-b2a9-0506b1a55072","Odd one out from a list","medium","","numbers"
"fd301e38-aa80-426e-99a2-fa94514f17f1","13","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","letter-cluster analogy"
"d6e2ffd1-1246-4752-ad6b-748aa6e3251e","14","General Intelligence and Reasoning","","UNMAPPED - Venn diagram (GIR)","medium","","Venn counts; no Venn leaf"
"3ae24ee6-bb42-4e10-a44b-0706fb505f43","15","General Intelligence and Reasoning","ba50fea4-a0f8-4254-9e5c-dbd2046eacdc","Alphanumeric and mixed series","medium","","3-letter cluster series"
"95417e6b-4110-40ae-8fc5-e46aae23c167","17","General Intelligence and Reasoning","eec9932e-256a-18d5-0dab-59a425f911a1","Number series","easy","","35,38,43,50,59; needs Number series leaf; filled from migration 306"
"3d5769c4-3270-46b2-99fd-b2577750ac7d","18","General Intelligence and Reasoning","e380c325-7879-4dca-9efc-a587a9499da0","Number and letter analogy","medium","","triad relation"
"99df565f-d065-4749-b818-61320a90d525","20","General Intelligence and Reasoning","dad69132-676d-4a7b-be3d-1da364bd36f9","Arithmetic operation machine","medium","","interchange two numbers"
"01a850d4-8d96-445d-98e1-980920ba4782","21","General Intelligence and Reasoning","01fd4d51-951b-4624-4a21-24ff77be30db","Mathematical operations - sign interchange","easy","","sign interchange; moved per migration 306"
"b8b7e1ff-f7c2-4c02-9ccc-688be7692ec5","22","General Intelligence and Reasoning","258d7491-2b80-469d-84c9-6f9ee74b1e4d","Coded blood relation","medium","","symbol chain"
"700d4373-fa7e-4992-8194-a7857a97995e","24","General Intelligence and Reasoning","a4dddc0f-e194-4eb6-bfc6-078240c8d4f0","Number and digit coding","medium","","letter position coding"
