slug	exams	name	topic
qa-algebraic-identities-and-factorisation-e8595f7a		Algebraic identities and factorisation	Algebra
qa-inequalities-and-relationship-determination-a6a6a638		Inequalities and relationship determination	Algebra
qa-linear-equations-in-one-and-two-variables-dbd6b335		Linear equations in one and two variables	Algebra
qa-quadratic-equations-root-comparison-x-vs-y-03936368		Quadratic equations — root comparison (x vs y)	Algebra
qa-simultaneous-equations-from-word-conditions-29e84158		Simultaneous equations from word conditions	Algebra
qa-bar-and-line-graph-interpretation-35302e14		Bar and line graph interpretation	Data Interpretation
qa-caselet-data-interpretation-372ea92b		Caselet data interpretation	Data Interpretation
qa-data-sufficiency-0fd64dd8		Data sufficiency	Data Interpretation
qa-mixed-and-combined-di-4edc5bb5		Mixed and combined DI	Data Interpretation
qa-pie-chart-interpretation-32cf3346		Pie chart interpretation	Data Interpretation
qa-set-based-data-interpretation-8e13c5a7		Set-based data interpretation	Data Interpretation
qa-tabular-data-interpretation-e6e4b3de		Tabular data interpretation	Data Interpretation
qa-area-and-perimeter-rectangle-square-triangle-e23db61d		Area and perimeter — rectangle, square, triangle	Geometry and Mensuration
qa-circle-area-circumference-and-sectors-e98b662b		Circle — area, circumference and sectors	Geometry and Mensuration
qa-circle-theorems-chords-tangents-and-cyclic-quadrilaterals-3a6cb205		Circle theorems — chords, tangents and cyclic quadrilaterals	Geometry and Mensuration
qa-congruence-and-similarity-19870cbb		Congruence and similarity	Geometry and Mensuration
qa-coordinate-and-line-geometry-eb041f58		Coordinate and line geometry	Geometry and Mensuration
qa-lines-and-angles-f48e31c3		Lines and angles	Geometry and Mensuration
qa-quadrilaterals-and-polygons-4a164691		Quadrilaterals and polygons	Geometry and Mensuration
qa-reshaping-and-equal-perimeter-problems-ef477223		Reshaping and equal-perimeter problems	Geometry and Mensuration
qa-triangle-properties-and-centres-b1451b8f		Triangle properties and centres	Geometry and Mensuration
qa-volume-and-surface-area-of-solids-42588cef		Volume and surface area of solids	Geometry and Mensuration
clocks-and-calendars		Clocks and calendars	Number System
qa-lcm-hcf-and-divisibility-bad12219		LCM, HCF and divisibility	Number System
qa-number-series-arithmetic-and-difference-patterns-130693e5		Number series — arithmetic and difference patterns	Number System
qa-number-series-multiplicative-and-mixed-patterns-340f34bd		Number series — multiplicative and mixed patterns	Number System
permutations-and-combinations		Permutations, combinations and counting	Number System
qa-remainders-and-factors-0faad1db		Remainders and factors	Number System
qa-sets-of-consecutive-and-patterned-numbers-57029c73		Sets of consecutive and patterned numbers	Number System
qa-wrong-term-series-af3f2c81		Wrong-term series	Number System
qa-approximation-with-decimals-and-surds-5e910263		Approximation with decimals and surds	Simplification
qa-bodmas-and-order-of-operations-eaf71d19		BODMAS and order of operations	Simplification
qa-fraction-and-percentage-equivalents-475121ec		Fraction and percentage equivalents	Simplification
qa-missing-term-simplification-find-47d869c3		Missing-term simplification (find ?)	Simplification
qa-square-roots-cube-roots-and-powers-f19808cb		Square roots, cube roots and powers	Simplification
qa-complementary-angles-c7318569		Complementary angles	Trigonometry
qa-heights-and-distances-7268e06f		Heights and distances	Trigonometry
qa-trigonometric-ratios-and-identities-179e3e31		Trigonometric ratios and identities	Trigonometry
