"question_id","year","question_number","current_topic_id","current_topic","question_text","tag_ok","assign_topic_id","difficulty","decision","proposal_note"
"d3320121-9bad-40c6-9718-29b67e8db354","2022","4","f7deb105-9d9d-49b6-a74a-d4f431e10c0c","Constitutional amendments and reservation","Despite spread of urbanization in villages, challenges such as race, caste, gender discrimination still persist. In this context, what are the challenges faced by protective discriminatory policy?","no","8d4ec341-9a21-4ff4-86bb-1785004d3e64","medium","verified","urbanisation + caste/gender discrimination -> social issues, not constitutional amendments; -> Multiculturalism and diversity; operator bulk-accepted 2026-09-24"
"bd531f69-a76f-45d3-b4b9-adda3a73c2b7","2022","5","9a64933c-c2fa-4db6-aed5-2b87f33c8202","Economic reforms of 1991 and liberalisation","What is meant by economic reforms? Discuss the Economic reforms in India from 1990s till date.","yes","","medium","verified","operator bulk-accepted 2026-09-24"
"88258b85-d496-48af-a13f-4315b159d24c","2022","6","0893cd2f-eb6e-4259-ab1b-d5e7784f3de8","Financial stability assessment and reporting","â€œFinancial stability is essential to any financial institution/business.â€ Discuss in the light of financial stability report of RBI and economic reforms in view of COVID outbreak in India.","yes","","hard","verified","RBI Financial Stability Report specifics; operator bulk-accepted 2026-09-24"
"faa1c5c1-0f09-4457-984d-56e010f44afd","2022","7","13d98721-2736-444f-82db-ecb3bb0fdddc","Rural entrepreneurship and business incubation","What are the challenges associated with rural entrepreneurship? How young enterprises can solve these problems?","yes","","medium","verified","operator bulk-accepted 2026-09-24"
"1bec3f57-7195-4dea-a6fd-74b909fa39a3","2022","8","d5110ca8-291e-4287-a8ff-2cd5093ce271","Monetary policy framework and inflation targeting","Write a short note on current monetary policy framework in India","yes","","easy","verified","short note, standard framework; operator bulk-accepted 2026-09-24"
"f130450d-172a-4146-8627-9e624103b3a6","2022","9","e8fccc09-a2c9-4076-a001-ad1c2378a23f","NBFC categories â€” IFC, Factor, P2P","What is NBFC? How is it different from banks? What are the five types of NBFCs registered with RBI?","yes","","medium","verified","operator bulk-accepted 2026-09-24"
"70eb87f0-2f2a-43e0-80ab-b8faa79bf685","2022","10","ac3da1f3-1a00-4666-ba67-1e02a8eb32f1","Psychological barriers","What is communication? What are the common barriers to interpersonal communication in an organization? How can these barriers be reduced by a manager?","no","2247b2ab-921c-4102-8772-d13cc3a2debb","medium","verified","interpersonal communication barriers -> communication barriers leaf, not psychological barriers; -> Barriers to communication; operator bulk-accepted 2026-09-24"
"f7b5020a-01e9-4ded-999c-aa40402f8158","2022","11","c3f45149-5b60-442a-a1de-917f2d39dfb6","Process improvement approaches","Why is change resisted in an organization? What can the management do to overcome it?","no","2230aec0-e72f-4ff4-a9a4-c9ddfbc04bc3","medium","verified","resistance to change -> change management, not process improvement; -> Organisational change and resistance; operator bulk-accepted 2026-09-24"
"64ba76e2-5065-4c43-bec0-76e9119a5270","2022","12","84bc7a94-9656-46c9-9de1-fd3340e27473","CBDC, stablecoins and crypto policy","What do you understand by blockchain technology. In the current era, where blockchain is at its peak, will it disrupt banking?","no","1d690f05-756d-4389-b40d-5bca2d050fdd","medium","verified","blockchain disrupting banking -> banking technology, not CBDC/crypto policy; -> Digital finance and technology in banking; operator bulk-accepted 2026-09-24"
"09fd1c62-bce0-421a-8b4d-3bfc2441af8c","2022","13","bad0e283-9954-4173-82e8-29efa9aa37a5","Monetary policy operations â€” SDF, VRRR, LAF","What is targeted long-term repo operations (TLTRO)?","yes","","medium","verified","operator bulk-accepted 2026-09-24"
