year,paper,paper_local_number,unlockias_text,best_score,matched_docx_qno,verdict
2024,GS1,1,Underline the changes in the field of society and economy from the Rig Vedic to the later Vedic period.,100.0,1,exact
2024,GS1,2,Estimate the contribution of Pallavas of Kanchi for the development of Art and literature of South India.,100.0,2,exact
2024,GS1,3,"Though the great Cholas are no more, yet their name is still remembered with great pride because of their highest achievements in the domain of art and architecture.” Comment.",100.0,11,exact
2024,GS1,4,What were the events that led to the Quit India Movement? Point out its results.,100.0,3,exact
2024,GS1,5,How far was the Industrial Revolution in England responsible for the decline of handicrafts and cottage industries in India?,100.0,13,exact
2024,GS1,6,How far is it correct to say that the First World War was fought essentially for the preservation of balance of power?,100.0,12,exact
2024,GS1,7,"Intercaste marriages between castes which have socio-economic parity have increased, to some extent, but this is less true of interreligious marriages. Discuss.",100.0,9,exact
2024,GS1,8,Critically analyse the proposition that there is a high correlation between India’s cultural diversities and socio-economic marginalities.,100.0,20,exact
2024,GS1,9,Why do large cities tend to attract more migrants than smaller towns? Discuss in the light of conditions in developing countries.,100.0,5,exact
2024,GS1,10,What is the concept of a ‘demographic winter’? Is the world moving towards such a situation? Elaborate.,100.0,7,exact
2024,GS1,11,"Distinguish between gender equality, gender equity and women’s empowerment. Why is it important to take gender concerns into account in programme design and implementation?",100.0,8,exact
2024,GS1,12,"In dealing with socio-economic issues of development, what kind of collaboration between government, NGOs and private sector would be most productive?",100.0,10,exact
2024,GS1,13,"Globalization has increased urban migration by skilled, young, unmarried women from various classes. How has this trend impacted upon their personal freedom and relationship with family?",100.0,19,exact
2024,GS1,14,What is regional disparity? How does it differ from diversity? How serious is the issue of regional disparity in India.,100.0,17,exact
2024,GS1,15,"Despite comprehensive policies for equity and social justice, underprivileged sections are not yet getting the full benefits of affirmative action envisaged by the Constitution. Comment.",100.0,18,exact
2024,GS1,16,What is sea surface temperature rise? How does it affect the formation of tropical cyclones?,100.0,4,exact
2024,GS1,17,What is the phenomenon of ‘cloudbursts’? Explain.,100.0,6,exact
2024,GS1,18,What are aurora australis and aurora borealis? How are these triggered?,100.0,15,exact
2024,GS1,19,What is a twister? Why are the majority of twisters observed in areas around the Gulf of Mexico?,100.0,16,exact
2024,GS1,20,The groundwater potential of the gangetic valley is on a serious decline. How may it affect the food security of India?,100.0,14,exact
2024,GS2,1,Right to privacy is intrinsic to life and personal liberty and is inherently protected under Article 21 of the constitution. Explain. In this reference discuss the law relating to D.N.A. testing of child in the womb to establish its paternity.,51.2,12,orphan
2024,GS2,2,Analyse the role of local bodies in providing good governance at local level and bring out the pros and cons merging the rural local bodies with the urban local bodies.,55.5,5,orphan
2024,GS2,3,What changes has the Union Government recently introduced in the domain of Centre-State relations? Suggest measures to be adopted to build the trust between the Centre and the States and for strengthening federalism.,63.4,13,orphan
2024,GS2,4,Discuss India as a secular state and compare with the secular principles of the US constitution.,72.3,15,orphan
2024,GS2,5,“The growth of cabinet system has practically resulted in the marginalisation of the parliamentary supremacy.” Elucidate.,64.3,3,orphan
2024,GS2,6,"Explain the reasons for the growth of public interest litigation in India. As a result of it, has the Indian Supreme Court emerged as the world’s most powerful judiciary?",66.3,14,orphan
2024,GS2,7,Examine the need for electoral reforms as suggested by various committees with particular reference to “one nation – one election” principle.,59.6,1,orphan
2024,GS2,8,Explain and distinguish between Lok Adalats and Arbitration Tribunals. Whether they entertain civil as well as criminal cases?,67.0,2,orphan
2024,GS2,9,The duty of the Comptroller and Auditor General is not merely to ensure the legality of expenditure but also its propriety.” Comment.,54.9,4,orphan
2024,GS2,10,"What are the aims and objects of recently passed and enforced, The Public Examination (Prevention of Unfair Means) Act, 2024? Whether University/State Education Board examinations, too, are covered under the Act?",71.4,11,orphan
2024,GS2,11,Public charitable trusts have the potential to make India’s development more inclusive as they relate to certain vital public issues. Comment.,74.1,6,orphan
2024,GS2,12,In a crucial domain like the public healthcare system the Indian State should play a vital role to contain the adverse impact of marketisation of the system. Suggest some measures through which the State can enhance the reach of public healthcare at the grassroots level.,56.4,17,orphan
2024,GS2,13,"Poverty and malnutrition create a vicious cycle, adversely affecting human capital formation. What steps can be taken to break the cycle?",65.7,7,orphan
2024,GS2,14,The Citizens’ charter has been a landmark initiative in ensuring citizen-centric administration. But it is yet to reach its full potential. Identify the factors hindering the realisation of its promise and suggest measures to overcome them.,59.8,16,orphan
2024,GS2,15,e-governance is not just about the routine application of digital technology in service delivery process. It is as much about multifarious interactions for ensuring transparency and accountability. In this context evaluate the role of the ‘Interactive Service Model’ of e-governance.,59.9,18,orphan
2024,GS2,16,The Doctrine of Democratic Governance makes it necessary that the public perception of the integrity and commitment of civil servants becomes absolutely positive. Discuss.,62.7,8,orphan
2024,GS2,17,Discuss the geopolitical and geostrategic importance of Maldives for India with a focus on global trade and energy flows. Further also discuss how this relationship affects India’s maritime security and regional stability amidst international competition?,58.7,20,orphan
2024,GS2,18,‘The West is fostering India as an alternative to reduce dependence on China’s supply chain and as a strategic ally to counter China’s political and economic dominance.’ Explain this statement with examples.,63.0,9,orphan
2024,GS2,19,"Critically analyse India’s evolving diplomatic, economic and strategic relations with the Central Asian Republics (CARs) highlighting their increasing significance in regional and global geopolitics.",52.3,10,orphan
2024,GS2,20,‘Terrorism has become a significant threat to global peace and security.’ Evaluate the effectiveness of the United Nations Security Council’s Counter Terrorism Committee (CTC) and its associated bodies in addressing and mitigating this threat at the international level.,53.4,19,orphan
2024,GS3,1,Examine the pattern and trend of public expenditure on Social Services in the post-reforms period in India. To what extent this has been in consonance with achieving the objective of inclusive growth?,69.3,1,orphan
2024,GS3,2,What are the causes of persistent high food inflation in India? Comment on the effectiveness of the monetary policy of the RBI to control this type of inflation.,76.9,2,orphan
2024,GS3,3,Explain the role of millets for ensuring health and nutritional security in India.,82.6,4,variant
2024,GS3,4,Elucidate the importance of buffer stocks for stabilizing agricultural prices in India. What are the challenges associated with the storage of buffer stock? Discuss.,72.7,14,orphan
2024,GS3,5,What are the major challenges faced by Indian irrigation system in recent times? State the measures taken by the government for efficient irrigation management.,63.9,13,orphan
2024,GS3,6,What were the factors responsible for the successful implementation of land reforms in some parts of the country? Elaborate.,74.2,3,orphan
2024,GS3,7,Discuss the merits and demerits of the four Labour Codes in the context of labour market reforms in India. What has been the progress so far in this regard?,68.5,11,orphan
2024,GS3,8,"What is the need for expanding the regional air connectivity in India? In this context, discuss the government’s UDAN Scheme and its achievements.",68.4,12,orphan
2024,GS3,9,"What is the present world scenario of intellectual property rights with respect to life materials? Although India is second in the world to file patents, still only a few have been commercialized. Explain the reasons behind this less commercialization.",57.6,5,orphan
2024,GS3,10,What are asteroids? How real is the threat of them causing extinction of life? What strategies have been developed to prevent such a catastrophe?,62.1,16,orphan
2024,GS3,11,What is the technology being employed for electronic toll collection on highways? What are its advantages and limitations? What are the proposed changes that will make this process seamless? Would this transition carry any potential hazards?,70.9,6,orphan
2024,GS3,12,Describe the context and salient features of the Digital Personal Data Protection Act 2023.,91.1,10,variant
2024,GS3,13,Industrial pollution of river water is a significant environmental issue in India. Discuss the various mitigation measures to deal with this problem and also the government’s initiatives in this regard.,62.6,7,orphan
2024,GS3,14,What role do environmental NGOs and activists play in influencing Environmental Impact Assessment (EIA) outcomes for major projects in India? Cite four examples with all important details.,71.1,8,orphan
2024,GS3,15,The world is facing an acute shortage of clean and safe freshwater. What are the alternative technologies which can solve this crisis? Briefly discuss any three such technologies citing their key merits and demerits.,65.1,15,orphan
2024,GS3,16,Flooding in urban areas is an emerging climate-induced disaster. Discuss the causes of this disaster. Mention the features of two such major floods in the last two decades in India. Describe the policies and frameworks in India that aim at tackling such floods.,57.4,18,orphan
2024,GS3,17,What is disaster resilience? How is it determined? Describe various elements of a resilience framework. Also mention the global targets of Sendai Framework for Disaster Risk Reduction (2015-2030).,62.7,17,orphan
2024,GS3,18,Explain how narco-terrorism has emerged as a serious threat across the country. Suggest suitable measures to counter narco-terrorism.,77.5,9,orphan
2024,GS3,19,"India has a long and troubled border with China and Pakistan, fraught with contentious issues. Examine the conflicting issues and security challenges along the border. Also give out the development being undertaken in these areas under the Border Area Development Programme (BADP) and Border Infrastructure and Management (BIM) Scheme.",64.1,19,orphan
2024,GS3,20,Social media and encrypting messaging services pose a serious security challenge. What measures have been adopted at various levels to address the security implications of social media? Also suggest any other remedies to address the problem.,65.4,20,orphan
2025,GS1,1,Discuss the salient features of the Harappan architecture. (10 M)),95.1,1,exact
2025,GS1,2,Examine the main aspects of Akbar’s religious syncretism.,100.0,2,exact
2025,GS1,3,‘The sculptors filled the Chandella artform with resilient vigor and breadth of life.’ Elucidate.,97.8,3,exact
2025,GS1,4,Mahatma Jotirao Phule’s writings and efforts of social reforms touched issues of almost all subaltern classes. Discuss.,96.6,11,exact
2025,GS1,5,"Trace India’s consolidation process during early phase of independence in terms of polity, economy, education and international relations.",97.0,12,exact
2025,GS1,6,The French Revolution has enduring relevance to the contemporary world. Explain.,100.0,13,exact
2025,GS1,7,The ethos of civil service in India stand for the combination of professionalism with nationalistic consciousness – Elucidate.,99.2,9,exact
2025,GS1,8,"How does smart city in India, address the issues of urban poverty and distributive justice?",100.0,8,exact
2025,GS1,9,Achieving sustainable growth with emphasis on environmental protection could come into conflict with poor people’s needs in a country like India – Comment.,91.4,19,variant
2025,GS1,10,"Does tribal development in India centre around two axes, those of displacement and of rehabilitation? Give your opinion.",93.3,20,variant
2025,GS1,11,Do you think that globalization results in only an aggressive consumer culture? Justify your answer.,100.0,10,exact
2025,GS1,12,How do you account for the growing fast food industries given that there are increased health concerns in modern society? Illustrate your answer with the Indian experience.,91.2,18,variant
2025,GS1,13,What are Tsunamis? How and where are they formed? What are their consequences? Explain with examples.,100.0,7,exact
2025,GS1,14,Discuss how the changes in shape and sizes of continents and ocean basins of the planet take place due to tectonic movements of the crustal masses.,97.3,16,exact
2025,GS1,15,What are non-farm primary activities? How are these activities related to physiographic features in India? Discuss with suitable examples.,100.0,5,exact
2025,GS1,16,"Discuss the distribution and density of population in the Ganga River Basin with special reference to land, soil and water resources.",100.0,17,exact
2025,GS1,17,Explain briefly the ecological and economic benefits of solar energy generation in India with suitable examples.,100.0,6,exact
2025,GS1,18,Give a geographical explanation of the distribution of off-shore oil reserves of the world. How are they different from the on-shore occurrences of oil reserves?,100.0,14,exact
2025,GS1,19,How are climate change and the sea level rise affecting the very existence of many island nations? Discuss with examples.,97.5,4,exact
2025,GS1,20,How can Artificial Intelligence (AI) and drones be effectively used along with GIS and RS techniques in locational and areal planning?,100.0,15,exact
