question_id,year,paper_id,section_id,section_label,question_number,question_text_excerpt,subject_slug,subject_id,topic_id,topic_level,topic_name,observed_difficulty,confidence,stimulus_group,notes
a1d29d65-8949-489b-913c-d3b578bf5261,2025,4009c3fe-f7ac-4468-bf6f-862d488509e0,d6e2cdc2-c692-468c-ac1d-4ef11c66b91c,RBI-GB-2025-P2-ESI,7,The Pradhan Mantri Suraksha Bima Yojana (PMSBY) is a government-backed accident insurance scheme aimed at providing social security coverage,insurance,33c1f18c-b6f8-4ce6-b790-acee75f5b750,19ed7d9d-144a-43cd-a1be-559713192165,microtopic,Group insurance and pensions,medium,medium,NONE,"Cross-subject: ESI section, insurance tag, per the locked routing for PMSBY. PMSBY is a bank-channel group personal-accident cover. Trade-off recorded: ESI ec1c423a ('Life and accident insurance schemes for the poor') names this scheme class more exactly, but insurance is the locked destination and 19ed7d9d is its closest microtopic — the sector has no personal-accident microtopic."
9b18d19f-4799-4e4d-89ba-458daf3848c3,2025,4009c3fe-f7ac-4468-bf6f-862d488509e0,d6e2cdc2-c692-468c-ac1d-4ef11c66b91c,RBI-GB-2025-P2-ESI,8,The Public Provident Fund (PPF) is a long-term small savings scheme introduced by the Government of India in 1968 to encourage household sav,pension-sector,9c58a847-03be-4a7c-bd66-be7e353ec42f,a3a46ed8-70dd-4651-800e-37e03f6d7b5e,microtopic,Types and features of retirement schemes in India,medium,medium,NONE,"PPF withdrawal/loan/minimum-deposit rules. Cross-subject: ESI section, pension-sector tag. PPF is a voluntary small-savings retirement vehicle, not EPF/ESI statutory social security, so ad865cb6 was rejected."
8ce8cdb3-54cb-4a01-9cb4-6381232c72b6,2025,4009c3fe-f7ac-4468-bf6f-862d488509e0,d6e2cdc2-c692-468c-ac1d-4ef11c66b91c,RBI-GB-2025-P2-ESI,9,A private training organisation proposes to open a Pradhan Mantri Kaushal Kendra (PMKK) in a semi-urban district of India. The organisation ,economic-social-issues,1a874661-957e-4c81-a90f-b0634834d889,a8e79dbb-62c4-424f-83dd-56dbf319e539,unstated,Skill development and apprenticeship,medium,high,NONE,PMKK eligibility under NSQF norms.
073aca3f-93c7-4261-943a-03083c28ce0e,2025,4009c3fe-f7ac-4468-bf6f-862d488509e0,d6e2cdc2-c692-468c-ac1d-4ef11c66b91c,RBI-GB-2025-P2-ESI,10,Consider the following statement with reference to PM Surya Ghar Muft Bijli yojana? 1. Person X wants to install a rooftop solar system. He ,economic-social-issues,1a874661-957e-4c81-a90f-b0634834d889,f225f3a4-7ad0-42d8-9ab0-acfbf821f304,unstated,Renewable energy targets and efficiency schemes,medium,high,NONE,"PM Surya Ghar rooftop-solar subsidy slabs. Household rooftop, so 55445373 (solar in agriculture) was rejected."
ec3580e8-ce61-41c0-942d-4347df1417d4,2025,4009c3fe-f7ac-4468-bf6f-862d488509e0,d6e2cdc2-c692-468c-ac1d-4ef11c66b91c,RBI-GB-2025-P2-ESI,11,"Amit is a 45 year old who recently enrolled under NPS, which of the following is true? 1. He can contribute for 25 more years. 2. He will be",pension-sector,9c58a847-03be-4a7c-bd66-be7e353ec42f,023e18bf-9868-4996-a2c3-24a2382589b0,microtopic,"Withdrawal, exit and deferment rules",medium,medium,NONE,"Cross-subject: ESI section, pension-sector tag. Four NPS facets in one stem; exit/withdrawal rules dominate."
13001bdb-7836-4d9b-9463-e3d542f0ad8e,2025,4009c3fe-f7ac-4468-bf6f-862d488509e0,d6e2cdc2-c692-468c-ac1d-4ef11c66b91c,RBI-GB-2025-P2-ESI,12,Which of the following are eligible under the CARA rules 2025? 1. A female single parent aged 45 want to adopt a male or female child aged 4,economic-social-issues,1a874661-957e-4c81-a90f-b0634834d889,67198b82-3136-4a92-8f44-676488c348d2,unstated,"Social legislation on women, children and the elderly",medium,medium,NONE,CARA adoption eligibility 2025 — social legislation on children.
66d56037-148a-4a48-abe0-4619ae387f55,2025,4009c3fe-f7ac-4468-bf6f-862d488509e0,d6e2cdc2-c692-468c-ac1d-4ef11c66b91c,RBI-GB-2025-P2-ESI,13,Which of the following students are eligible to receive benefits under SHRESHTA scheme? 1. The scheme is open to students from Scheduled Cas,economic-social-issues,1a874661-957e-4c81-a90f-b0634834d889,572d0eaa-691a-4172-aa52-98a315b3f558,unstated,Scholarships and student support schemes,medium,high,NONE,SHRESHTA scholarship eligibility and income ceiling.
7cc7dcad-b90e-4f35-b008-7a2cb53e13e5,2025,4009c3fe-f7ac-4468-bf6f-862d488509e0,d6e2cdc2-c692-468c-ac1d-4ef11c66b91c,RBI-GB-2025-P2-ESI,14,"With reference to Atal Vayo Abhyuday Yojana, consider the following statements. 1. A person belong to BPL and who is above 60 is eligible. 2",economic-social-issues,1a874661-957e-4c81-a90f-b0634834d889,a9893874-a4ba-4cb8-950f-c570eeb3dfad,unstated,Welfare schemes for senior citizens,medium,medium,NONE,"FLAG — locked routing not followed. The brief groups Atal Vayo with PMSBY/NPS/PM-SYM as pension or insurance content, but AVYAY is an old-age-home and senior-citizen grant scheme (BPL 60+, bedroom area norms, NGO grant share, Ministry of Social Justice equity support) with no pension or insurance component in the stem. Neither pension-sector nor insurance has a topic for it, so routing it there would have meant a wrong tag rather than a cross-subject one. ESI a9893874 is a precise microtopic, not a macro."
f306caff-0f00-4e2e-8fe2-c79f79cd2702,2025,4009c3fe-f7ac-4468-bf6f-862d488509e0,d6e2cdc2-c692-468c-ac1d-4ef11c66b91c,RBI-GB-2025-P2-ESI,15,"Which of the following persons are eligible to enroll under PM Shram Yogi Mandhan Yojana? 1. X earns Rs 18,000 per month and is 65 years old",pension-sector,9c58a847-03be-4a7c-bd66-be7e353ec42f,db2d5615-3eb6-4db0-80d1-3ff897cf4513,microtopic,Pension coverage in the unorganised sector,medium,high,NONE,"Cross-subject: ESI section, pension-sector tag, per the locked routing for PM-SYM. No precision is lost — db2d5615 and ESI 75791278 name the same thing."
d2248ef9-6299-4f8e-9641-3d7dfe54de47,2025,4009c3fe-f7ac-4468-bf6f-862d488509e0,d6e2cdc2-c692-468c-ac1d-4ef11c66b91c,RBI-GB-2025-P2-ESI,16,"Specialized Investment Funds (SIFs) are a new category of investment products in India, introduced by the Securities and Exchange Board of I",finance,eb273a33-ea0e-4ca7-ac8f-32afe2be5d48,739faf06-bd8e-464f-8035-5927c492ca7a,microtopic,Scheme types and fund of funds,medium,low,NONE,SEBI Specialized Investment Funds 2025. GAP: no SIF or accredited-investor microtopic exists in finance; 'Scheme types and fund of funds' is the nearest active home.
0541d59f-b575-4f4b-af14-40832341bcbd,2025,4009c3fe-f7ac-4468-bf6f-862d488509e0,d6e2cdc2-c692-468c-ac1d-4ef11c66b91c,RBI-GB-2025-P2-ESI,17,The Pradhan Mantri Dhan-Dhaanya Krishi Yojana (PMDDKY) is a groundbreaking government initiative launched to revolutionize Indian agricultur,economic-social-issues,1a874661-957e-4c81-a90f-b0634834d889,NEEDS_SOURCE,NEEDS_SOURCE,NEEDS_SOURCE,medium,low,PMDDKY-2025,DEFECT. PMDDKY passage followed by an unrelated MSME/SIDBI fintech-MoU question. Passage and stem do not match and the intended stem is not recoverable from the export. Not tagged.
e291a985-bbc3-435b-9fe2-2c312d7d9af7,2025,4009c3fe-f7ac-4468-bf6f-862d488509e0,d6e2cdc2-c692-468c-ac1d-4ef11c66b91c,RBI-GB-2025-P2-ESI,18,The Pradhan Mantri Dhan-Dhaanya Krishi Yojana (PMDDKY) is a groundbreaking government initiative launched to revolutionize Indian agricultur,economic-social-issues,1a874661-957e-4c81-a90f-b0634834d889,edfa8f79-7e0a-4f3e-8726-dbd3a97fb1de,unstated,MSME sector and its contribution,medium,medium,PMDDKY-2025,"MISMATCH (same class as Q17): PMDDKY passage, Udyam/SIDBI question. Stem is self-sufficient, so tagged on the question per the passage rule."
4e1ebff5-9265-45c7-a578-64e025093728,2025,4009c3fe-f7ac-4468-bf6f-862d488509e0,d6e2cdc2-c692-468c-ac1d-4ef11c66b91c,RBI-GB-2025-P2-ESI,19,The Pradhan Mantri Dhan-Dhaanya Krishi Yojana (PMDDKY) is a groundbreaking government initiative launched to revolutionize Indian agricultur,economic-social-issues,1a874661-957e-4c81-a90f-b0634834d889,edfa8f79-7e0a-4f3e-8726-dbd3a97fb1de,unstated,MSME sector and its contribution,medium,low,PMDDKY-2025,"MISMATCH: PMDDKY passage, but 'platform A' is defined in Q18's stem, not in the shared passage. The question is unanswerable in isolation. Tagged on its MSME content."
c2d50ff5-5bee-48ca-956d-dde74e95656e,2025,4009c3fe-f7ac-4468-bf6f-862d488509e0,d6e2cdc2-c692-468c-ac1d-4ef11c66b91c,RBI-GB-2025-P2-ESI,20,The Pradhan Mantri Dhan-Dhaanya Krishi Yojana (PMDDKY) is a groundbreaking government initiative launched to revolutionize Indian agricultur,economic-social-issues,1a874661-957e-4c81-a90f-b0634834d889,edfa8f79-7e0a-4f3e-8726-dbd3a97fb1de,unstated,MSME sector and its contribution,medium,high,PMDDKY-2025,"MISMATCH: PMDDKY passage, MSME Economic Survey 2024-25 question. Content is unambiguous."
c915b2f1-d15b-4b58-8563-c23013e406fd,2025,4009c3fe-f7ac-4468-bf6f-862d488509e0,d6e2cdc2-c692-468c-ac1d-4ef11c66b91c,RBI-GB-2025-P2-ESI,21,The Pradhan Mantri Dhan-Dhaanya Krishi Yojana (PMDDKY) is a groundbreaking government initiative launched to revolutionize Indian agricultur,economic-social-issues,1a874661-957e-4c81-a90f-b0634834d889,4d2ef984-313a-468f-87f4-d5027de94736,unstated,Sustainable agriculture missions,medium,medium,PMDDKY-2025,Genuinely uses the passage: fills the PMDDKY outlay blanks.
